city,year,province,broadband_china_pilot,smart_city_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,national_hightech_zone,ip_demo_city,information_consumption_pilot,ecommerce_demo_city,policy_source_note
七台河,2008,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2009,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2010,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2011,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2012,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2013,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2014,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2015,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2016,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2017,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2018,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2019,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2020,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2021,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2022,黑龙江省,0,0,0,0,0,0,0,0,
七台河,2023,黑龙江省,0,0,0,0,0,0,0,0,
万宁,2008,,0,0,0,0,0,0,0,0,
万宁,2009,,0,0,0,0,0,0,0,0,
万宁,2010,,0,0,0,0,0,0,0,0,
万宁,2011,,0,0,0,0,0,0,0,0,
万宁,2012,,0,0,0,0,0,0,0,0,
万宁,2013,,0,0,0,0,0,0,0,0,
万宁,2014,,0,0,0,0,0,0,0,0,
万宁,2015,,0,0,0,0,0,0,0,0,
万宁,2016,,0,0,0,0,0,0,0,0,
万宁,2017,,0,0,0,0,0,0,0,0,
万宁,2018,,0,0,0,0,0,0,0,0,
万宁,2019,,0,0,0,0,0,0,0,0,
万宁,2020,,0,0,0,0,0,0,0,0,
万宁,2021,,0,0,0,0,0,0,0,0,
万宁,2022,,0,0,0,0,0,0,0,0,
万宁,2023,,0,0,0,0,0,0,0,0,
三亚,2008,海南省,0,0,0,0,0,0,0,0,
三亚,2009,海南省,0,0,0,0,0,0,0,0,
三亚,2010,海南省,0,0,0,0,0,0,0,0,
三亚,2011,海南省,0,0,0,0,0,0,0,0,
三亚,2012,海南省,0,0,0,0,0,0,0,0,
