detail_id,url,company,license_no,license_year,business_text,idc_scope,registered_address,status
014e6194d7a04bf7be874529f81cb89d,https://www.51miit.com/details/014e6194d7a04bf7be874529f81cb89d/,保定浪潮云计算有限公司,冀B1-20240034,2024,互联网数据中心业务,,保定市惠阳街369号中关村创新基地研发中心1层106室,ok
0018fcbca8dc4249bb07d055c60e439e,https://www.51miit.com/details/0018fcbca8dc4249bb07d055c60e439e/,南阳玖云网络科技有限公司,B1-20260073,2026,互联网数据中心业务,,,ok
010d1d33a2aac10d1ab7b5722095f860,https://www.51miit.com/details/010d1d33a2aac10d1ab7b5722095f860/,北京铜牛信息科技股份有限公司,京B1.B2-20060083,2006,因特网接入服务业务:北京市因特网数据中心业务:北京市,,北京市东城区天坛东路31号铜牛信息大厦,ok
010b968c5ce84e20bd5d0ca12828f7c3,https://www.51miit.com/details/010b968c5ce84e20bd5d0ca12828f7c3/,成都伊莱科科技有限公司,B1-20194505,2019,互联网数据中心业务,,中国(四川)自由贸易试验区成都高新区锦晖西一街99号2栋1单元5层509号,ok
009f704db9424ca29fd8f50077675bf9,https://www.51miit.com/details/009f704db9424ca29fd8f50077675bf9/,上海跃鲤实业有限公司,A2.B1.B2-20191408,2019,互联网数据中心业务,,上海市嘉定区新成路500号JT2224室,ok
00d93000a9139358eecd08b96c14870e,https://www.51miit.com/details/00d93000a9139358eecd08b96c14870e/,北京舒华士科技有限公司,京B1.B2-20140061,2014,互联网接入服务业务：北京市 互联网数据中心业务：北京市,北京市,北京市西城区新开胡同甲2号新开钟楼招待所206室,ok
00443aac51fa42dabfa91dbccb9ed4ee,https://www.51miit.com/details/00443aac51fa42dabfa91dbccb9ed4ee/,湖南长城科技信息有限公司,湘B1-20200002,2020,互联网数据中心业务,,长沙高新开发区尖山路39号长沙中电软件园10栋1001室,ok
014c898ea0534024ac01ee173d9f392b,https://www.51miit.com/details/014c898ea0534024ac01ee173d9f392b/,鹰硕（韶关）信息产业集团有限公司,B1-20230608,2023,互联网数据中心业务,,韶关市武江区莞韶城一期黄沙坪创新园31栋101,ok
01328856884a4190a1fb7c7bd5f491f9,https://www.51miit.com/details/01328856884a4190a1fb7c7bd5f491f9/,贵州彩数网络技术有限公司,B1-20241063,2024,互联网数据中心业务,,贵州省贵阳市贵阳国家高新技术产业开发区长岭南路160号高科一号A栋14楼,ok
00a05ce454ee480d8cd49c4d692bf96d,https://www.51miit.com/details/00a05ce454ee480d8cd49c4d692bf96d/,北京众鑫森焱网络科技有限公司,A2.B1-20210433,2021,"互联网接入服务业务,国内互联网虚拟专用网业务,固定网国内数据传送业务,互联网数据中心业务",,北京市顺义区南法信镇顺平路南法信段10号9幢402号,ok
008eebb84f984723b1db07957edd7f6d,https://www.51miit.com/details/008eebb84f984723b1db07957edd7f6d/,甘肃中科海荣网络通讯有限公司,B1-20194917,2019,互联网数据中心业务,,甘肃省兰州市城关区高新雁南路279号9层902室,ok
00d753207c2145b49733d379775cb188,https://www.51miit.com/details/00d753207c2145b49733d379775cb188/,郑州天幕云计算技术有限公司,B1-20243565,2024,互联网数据中心业务,,,ok
01af4caa521c4342b602625c202f0638,https://www.51miit.com/details/01af4caa521c4342b602625c202f0638/,北京耀吉科技有限公司,A2.B1.B2-20254438,2025,互联网数据中心业务,,,ok
0187403ee479dd23d924c58241076baa,https://www.51miit.com/details/0187403ee479dd23d924c58241076baa/,山西聚方互联信息服务有限公司,晋B2-20070015,2007,信息服务业务（不含互联网信息服务）：山西省 信息服务业务（仅限互联网信息服务） 互联网数据中心业务：山西省,山西省,山西综改示范区太原唐槐园区龙盛街18号孵化基地5号楼5层C17号,ok
01bc4dcff832423ebe7967e01a747f06,https://www.51miit.com/details/01bc4dcff832423ebe7967e01a747f06/,北京南天智联信息科技股份有限公司,A2.B1-20233504,2023,互联网数据中心业务,,,ok
01ac128f3d2844b8abd85ee6013437d5,https://www.51miit.com/details/01ac128f3d2844b8abd85ee6013437d5/,北京宇信广智科技有限公司,A2.B1.B2-20224067,2022,互联网数据中心业务,,北京市密云区巨各庄镇政府208室-1156（集群注册）,ok
01b5bc57704e4ac2a1ea305e56fb4a29,https://www.51miit.com/details/01b5bc57704e4ac2a1ea305e56fb4a29/,苏州万慧斯特信息科技有限公司,B1-20232615,2023,互联网数据中心业务,,中国(江苏)自由贸易试验区苏州片区苏州工业园区旺墩路269号星座商务广场1幢2008室,ok
01bc47b5aec145e39800bd7a42d5f84f,https://www.51miit.com/details/01bc47b5aec145e39800bd7a42d5f84f/,清远瑞腾计算科技有限公司,B1-20220448,2022,互联网数据中心业务,,广东清远高新技术产业开发区管理委员会办公大楼204室,ok
01c5d7f68db14a83ba422faa5c93d993,https://www.51miit.com/details/01c5d7f68db14a83ba422faa5c93d993/,北京信义德瑞科技有限公司,A2.B1-20211660,2021,互联网数据中心业务,,北京市房山区城关街道顾八路1区1号-Q603,ok
01f25a7f7e9a425e91345ba6568bff59,https://www.51miit.com/details/01f25a7f7e9a425e91345ba6568bff59/,厦门万物共联信息科技有限公司,A2.B1.B2-20240517,2024,互联网数据中心业务,,,ok
