license_no,license_year,company,city,province,idc_scope,location_source
冀B1-20240034,2024,保定浪潮云计算有限公司,保定市,河北省,nan,scope_city_or_fallback
京B1.B2-20060083,2006,北京铜牛信息科技股份有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1.B2-20191408,2019,上海跃鲤实业有限公司,上海市,上海市,nan,scope_city_or_fallback
京B1.B2-20140061,2014,北京舒华士科技有限公司,北京市,北京市,北京市,scope_city_or_fallback
B1-20230608,2023,鹰硕（韶关）信息产业集团有限公司,韶关市,广东省,nan,scope_city_or_fallback
B1-20241063,2024,贵州彩数网络技术有限公司,贵阳市,贵州省,nan,scope_city_or_fallback
A2.B1-20210433,2021,北京众鑫森焱网络科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20194917,2019,甘肃中科海荣网络通讯有限公司,兰州市,甘肃省,nan,scope_city_or_fallback
A2.B1.B2-20224067,2022,北京宇信广智科技有限公司,北京市,北京市,nan,scope_city_or_fallback
A2.B1-20211660,2021,北京信义德瑞科技有限公司,北京市,北京市,nan,scope_city_or_fallback
苏B1-20220969,2022,能兴数创科技服务（常州）有限公司,常州市,江苏省,nan,scope_city_or_fallback
A2.B1-20110133,2011,北京龙腾佳讯科技股份公司,北京市,北京市,nan,scope_city_or_fallback
京B1.B2-20110098,2011,联通在线信息科技有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20181814,2018,北京华宇世通电信技术有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20234845,2023,重庆骁予慧通科技有限公司,重庆市,重庆市,nan,scope_city_or_fallback
A2.B1-20203346,2020,深圳普利技术有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20221412,2022,深圳市科乐得科技有限公司,深圳市,广东省,nan,scope_city_or_fallback
B1-20223380,2022,江苏轩亦泽信息工程有限公司,盐城市,江苏省,nan,scope_city_or_fallback
B1-20211649,2021,上海珍实信息技术有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1-20196101,2019,上海泰利丰通信技术有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20201529,2020,上海德衡数据科技有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1-20231493,2023,华易联网络科技（上海）有限公司,上海市,上海市,nan,scope_city_or_fallback
A2.B1-20203719,2020,上海瑞米信息科技有限公司,上海市,上海市,nan,scope_city_or_fallback
B1-20183536,2018,湖南网数科技有限公司,长沙市,湖南省,nan,scope_city_or_fallback
B1-20203745,2020,苏尼特左旗遥蒙网络科技有限公司,锡林郭勒盟,内蒙古自治区,nan,scope_city_or_fallback
B1-20213655,2021,安徽连舟信息技术有限公司,合肥市,安徽省,nan,scope_city_or_fallback
B1-20203403,2020,四川宇通广电信息服务有限责任公司,成都市,四川省,nan,scope_city_or_fallback
A2.B1-20173159,2017,中云汇聚（北京）通信技术有限公司,北京市,北京市,nan,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,上海市,上海市,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,北京市,北京市,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,南京市,江苏省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,南宁市,广西壮族自治区,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,广州市,广东省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,成都市,四川省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,昆明市,云南省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,杭州市,浙江省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,武汉市,湖北省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,济南市,山东省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,海口市,海南省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,福州市,福建省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,西安市,陕西省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
B1-20161377,2016,上海云瑞智通实业有限公司,贵阳市,贵州省,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,scope_city_or_fallback
