年份,省份,城市,省份代码,城市代码,city_apply,city_grant,city_invgrant,I,城市发明专利授权量变化,城市专利申请量变化,城市专利授权量变化,listed_apply,listed_grant,listed_invgrant,n_listed_firms,nonlisted_apply_proxy,listed_share_apply,nonlisted_share_apply_proxy,bad_negative_nonlisted_apply,nonlisted_grant_proxy,listed_share_grant,nonlisted_share_grant_proxy,bad_negative_nonlisted_grant,nonlisted_invgrant_proxy,listed_share_invgrant,nonlisted_share_invgrant_proxy,bad_negative_nonlisted_invgrant
2000,北京市,北京市,110000,110000,7994,5707,1032,,,,,168.0,142.0,1.0,55.0,7826.0,0.021015761821366025,0.978984238178634,False,5565.0,0.0248817241983529,0.9751182758016471,False,1031.0,0.0009689922480620155,0.999031007751938,False
2001,北京市,北京市,110000,110000,9681,6161,1138,,0.102713175,0.21103327,0.07955143,723.0,362.0,206.0,64.0,8958.0,0.07468236752401611,0.9253176324759839,False,5799.0,0.05875669534166531,0.9412433046583347,False,932.0,0.18101933216168717,0.8189806678383128,False
2002,北京市,北京市,110000,110000,11969,6051,974,,-0.14411248,0.23633923,-0.017854244,952.0,391.0,194.0,68.0,11017.0,0.07953880858885454,0.9204611914111455,False,5660.0,0.06461741860849446,0.9353825813915055,False,780.0,0.19917864476386038,0.8008213552361396,False
2003,北京市,北京市,110000,110000,13260,7597,2245,,1.3049282,0.10786197,0.25549495,928.0,813.0,533.0,75.0,12332.0,0.06998491704374057,0.9300150829562595,False,6784.0,0.10701592733973937,0.8929840726602606,False,1712.0,0.2374164810690423,0.7625835189309577,False
2004,北京市,北京市,110000,110000,15250,8858,3224,,0.4360802,0.15007542,0.16598657,1061.0,812.0,610.0,82.0,14189.0,0.06957377049180327,0.9304262295081968,False,8046.0,0.09166854820501241,0.9083314517949875,False,2614.0,0.1892059553349876,0.8107940446650124,False
2005,北京市,北京市,110000,110000,19183,9709,3396,,0.053349875,0.25790164,0.09607135,1255.0,908.0,670.0,85.0,17928.0,0.06542250951363186,0.9345774904863682,False,8801.0,0.09352147492017715,0.9064785250798228,False,2726.0,0.1972909305064782,0.8027090694935218,False
2006,北京市,北京市,110000,110000,22562,10820,4003,,0.1787397,0.17614554,0.11442991,1379.0,927.0,593.0,94.0,21183.0,0.06112046804361315,0.9388795319563868,False,9893.0,0.0856746765249538,0.9143253234750462,False,3410.0,0.1481388958281289,0.8518611041718711,False
2007,北京市,北京市,110000,110000,28387,14348,4668,,0.1661254,0.25817746,0.32606286,3143.0,1598.0,643.0,108.0,25244.0,0.11071969563532603,0.889280304364674,False,12750.0,0.11137440758293839,0.8886255924170616,False,4025.0,0.1377463581833762,0.8622536418166238,False
2008,北京市,北京市,110000,110000,38802,17668,6387,,0.36825192,0.3668933,0.23139113,4775.0,2413.0,854.0,111.0,34027.0,0.12306066697592907,0.8769393330240709,False,15255.0,0.13657459814353634,0.8634254018564637,False,5533.0,0.13370909660247376,0.8662909033975262,False
2009,北京市,北京市,110000,110000,45232,22697,9276,,0.45232505,0.1657131,0.28463888,9343.0,4938.0,1426.0,133.0,35889.0,0.20655730456314114,0.7934426954368589,False,17759.0,0.2175617923073534,0.7824382076926466,False,7850.0,0.15373005605864598,0.846269943941354,False
2010,北京市,北京市,110000,110000,54024,32330,10649,,0.1480164,0.19437566,0.42441732,15566.0,8244.0,1909.0,174.0,38458.0,0.28813120094772693,0.7118687990522731,False,24086.0,0.25499536034642745,0.7450046396535726,False,8740.0,0.17926565874730022,0.8207343412526998,False
2011,北京市,北京市,110000,110000,65633,40516,15538,,0.45910415,0.21488598,0.25320137,19993.0,12518.0,2868.0,201.0,45640.0,0.30461810369783493,0.6953818963021651,False,27998.0,0.3089643597591075,0.6910356402408925,False,12670.0,0.184579739992277,0.815420260007723,False
2012,北京市,北京市,110000,110000,82927,44782,20020,,0.28845412,0.2634955,0.10529174,27625.0,15244.0,4309.0,219.0,55302.0,0.3331243141558238,0.6668756858441762,False,29538.0,0.34040462685900585,0.6595953731409941,False,15711.0,0.21523476523476523,0.7847652347652347,False
2013,北京市,北京市,110000,110000,105485,63530,21916,,0.09470529,0.27202237,0.41865036,31828.0,22093.0,5352.0,228.0,73657.0,0.3017301038062284,0.6982698961937717,False,41437.0,0.3477569652132851,0.652243034786715,False,16564.0,0.24420514692462128,0.7557948530753787,False
2014,北京市,北京市,110000,110000,128622,74193,23403,,0.06784997,0.21933924,0.16784197,36947.0,23042.0,6572.0,240.0,91675.0,0.2872525695448679,0.7127474304551321,False,51151.0,0.31056838246195734,0.6894316175380427,False,16831.0,0.2808186984574627,0.7191813015425372,False
2015,北京市,北京市,110000,110000,147749,93141,33554,,0.4337478,0.14870706,0.25538796,41433.0,28596.0,10391.0,267.0,106316.0,0.2804282939309234,0.7195717060690766,False,64545.0,0.3070183914709956,0.6929816085290044,False,23163.0,0.30967991893663943,0.6903200810633605,False
2016,北京市,北京市,110000,110000,170352,104694,42261,,0.25949216,0.15298243,0.12403775,52382.0,32841.0,12971.0,302.0,117970.0,0.3074927209542594,0.6925072790457406,False,71853.0,0.3136855980285403,0.6863144019714597,False,29290.0,0.30692600743001824,0.6930739925699818,False
2017,北京市,北京市,110000,110000,182938,109415,47026,,0.11275171,0.07388231,0.04509332,61830.0,37287.0,15809.0,326.0,121108.0,0.33798336048278654,0.6620166395172135,False,72128.0,0.34078508431202303,0.659214915687977,False,31217.0,0.33617573257347,0.66382426742653,False
2018,北京市,北京市,110000,110000,206312,126337,47948,,0.019606175,0.12777007,0.15465887,72211.0,46808.0,16438.0,336.0,134101.0,0.35000872465004457,0.6499912753499554,False,79529.0,0.37050112002026325,0.6294988799797367,False,31510.0,0.34282973220989404,0.6571702677901059,False
2019,北京市,北京市,110000,110000,227147,134773,54201,,0.13041212,0.10098782,0.06677379,85799.0,47559.0,17868.0,364.0,141348.0,0.3777245572250569,0.6222754427749431,False,87214.0,0.3528822538639045,0.6471177461360955,False,36333.0,0.32966181435766867,0.6703381856423313,False
2020,北京市,北京市,110000,110000,260608,166576,64532,,0.19060534,0.14730988,0.23597457,110368.0,64066.0,19371.0,403.0,150240.0,0.4235019646365422,0.5764980353634578,False,102510.0,0.38460522524253193,0.6153947747574681,False,45161.0,0.30017665654249054,0.6998233434575094,False
2021,北京市,北京市,110000,110000,284997,203252,80795,,0.25201452,0.093585,0.22017577,123429.0,80839.0,26259.0,430.0,161568.0,0.4330887693554669,0.5669112306445331,False,122413.0,0.39772794363647096,0.602272056363529,False,54536.0,0.32500773562720464,0.6749922643727954,False
2022,北京市,北京市,110000,110000,302004,207266,89903,,0.11272975,0.05967431,0.019748883,154558.0,104309.0,34370.0,458.0,147446.0,0.5117746784810797,0.4882253215189203,False,102957.0,0.5032615093647776,0.49673849063522235,False,55533.0,0.3823009243295552,0.6176990756704448,False
2023,北京市,北京市,110000,110000,285964,198248,110056,,0.22416382,-0.05311188,-0.04350931,164984.0,99423.0,44519.0,469.0,120980.0,0.576939754654432,0.42306024534556796,False,98825.0,0.5015082119365643,0.4984917880634357,False,65537.0,0.4045122483099513,0.5954877516900487,False
