city,province,year,total_patents,city_id,province_id,base_ln_patents_q,base_top10_q,ln1p_idc_scope_stock_l1,ln1p_idc_scope_pre5_l1,ln1p_idc_scope_new_l1,high_compute,total_patents_field,firm_total_patents_field,firm_active_applicants_field,city_new_firm_applicants_field,field_new_firm_applicants_field,city_new_firm_patents_field,field_new_firm_patents_field,firm_incumbent_patents_field,city_new_firm_share_total_field,field_new_firm_share_total_field,city_new_firm_share_firm_field,field_new_firm_share_firm_field,firm_patent_share_field,high_compute_label,ln1p_total_patents_field,ln1p_firm_total_patents_field,ln1p_firm_active_applicants_field,ln1p_city_new_firm_applicants_field,ln1p_field_new_firm_applicants_field,ln1p_city_new_firm_patents_field,ln1p_field_new_firm_patents_field,ln1p_firm_incumbent_patents_field,tot_pat_f,firm_pat_f,firm_act_f,city_new_firm_n_f,field_new_firm_n_f,city_new_firm_pat_f,field_new_firm_pat_f,firm_inc_pat_f,city_new_share_tot_f,field_new_share_tot_f,city_new_share_firm_f,field_new_share_firm_f,firm_share_f,ln_tot_pat_f,ln_firm_pat_f,ln_firm_act_f,ln_city_new_firm_n_f,ln_field_new_firm_n_f,ln_city_new_firm_pat_f,ln_field_new_firm_pat_f,ln_firm_inc_pat_f,idc_scope_new,idc_scope_stock,idc_scope_pre5
七台河,黑龙江省,2008,10,1,1,1,4,0.0,0.0,0.0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,other,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3978952727983707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,黑龙江省,2008,10,1,1,1,4,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,黑龙江省,2009,18,1,1,1,4,0.0,0.0,0.0,0,17.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.1176470588235294,0.1176470588235294,1.0,1.0,0.1176470588235294,other,2.8903717578961645,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,17.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.1176470588235294,0.1176470588235294,1.0,1.0,0.1176470588235294,2.8903717578961645,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.0
七台河,黑龙江省,2009,18,1,1,1,4,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,黑龙江省,2010,14,1,1,1,4,0.0,0.0,0.0,0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0714285714285714,0.0714285714285714,1.0,1.0,0.0714285714285714,other,2.70805020110221,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0714285714285714,0.0714285714285714,1.0,1.0,0.0714285714285714,2.70805020110221,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.0,0.0,0.0
七台河,黑龙江省,2010,14,1,1,1,4,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,黑龙江省,2011,20,1,1,1,4,0.0,0.0,0.0,0,18.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,0.1666666666666666,0.1666666666666666,0.75,0.75,0.2222222222222222,other,2.9444389791664403,1.6094379124341005,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.3862943611198906,0.6931471805599453,18.0,4.0,2.0,1.0,1.0,3.0,3.0,1.0,0.1666666666666666,0.1666666666666666,0.75,0.75,0.2222222222222222,2.9444389791664403,1.6094379124341005,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0,0.0,0.0
七台河,黑龙江省,2011,20,1,1,1,4,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,黑龙江省,2012,23,1,1,1,4,0.0,0.0,0.0,0,22.0,4.0,3.0,3.0,3.0,4.0,4.0,0.0,0.1818181818181818,0.1818181818181818,1.0,1.0,0.1818181818181818,other,3.1354942159291497,1.6094379124341005,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.6094379124341005,1.6094379124341005,0.0,22.0,4.0,3.0,3.0,3.0,4.0,4.0,0.0,0.1818181818181818,0.1818181818181818,1.0,1.0,0.1818181818181818,3.1354942159291497,1.6094379124341005,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.6094379124341005,1.6094379124341005,0.0,0.0,0.0,0.0
七台河,黑龙江省,2012,23,1,1,1,4,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
