city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share,idc_new,idc_stock,ln1p_idc_new,ln1p_idc_stock,ln1p_idc_stock_l1,ln1p_idc_new_l1,merge_idc,ln1p_total_patents,ln1p_active_applicants,ln1p_new_applicants,ln_effective_applicants,city_id,scope_id
七台河,2008,all_pub,81,48,0.0416095107453132,0.1358024691358024,0.345679012345679,0.4691358024691358,24.032967032967036,30,47,0.5802469135802469,0.0,0.0,0.0,0.0,0.0,0.0,both,4.406719247264253,3.8918202981106265,3.4339872044851463,3.179426514159918,1,1
七台河,2009,all_pub,66,42,0.0371900826446281,0.1212121212121212,0.2878787878787879,0.4393939393939393,26.88888888888889,22,31,0.4696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,both,4.204692619390966,3.7612001156935624,3.1354942159291497,3.291713148820467,1,1
七台河,2010,all_pub,114,60,0.0761772853185595,0.2368421052631578,0.4561403508771929,0.5438596491228072,13.12727272727273,38,48,0.4210526315789473,0.0,0.0,0.0,0.0,0.0,0.0,both,4.74493212836325,4.110873864173311,3.6635616461296463,2.5746919536603556,1,1
七台河,2011,all_pub,91,42,0.0518053375196232,0.1318681318681318,0.4395604395604395,0.5824175824175825,19.3030303030303,24,46,0.5054945054945055,0.0,0.0,0.0,0.0,0.0,0.0,both,4.5217885770490405,3.7612001156935624,3.2188758248682006,2.960262094105683,1,1
七台河,2012,all_pub,161,67,0.0467188765865514,0.1677018633540372,0.3602484472049689,0.4658385093167702,21.40462427745664,35,66,0.4099378881987577,0.0,0.0,0.0,0.0,0.0,0.0,both,5.087596335232384,4.219507705176107,3.58351893845611,3.0636069864158335,1,1
七台河,2013,all_pub,206,76,0.0428881138655858,0.1699029126213592,0.3058252427184466,0.4223300970873786,23.316483516483505,46,104,0.5048543689320388,0.0,0.0,0.0,0.0,0.0,0.0,both,5.332718793265369,4.343805421853684,3.8501476017100584,3.1491605575083206,1,1
七台河,2014,all_pub,245,58,0.0845481049562682,0.1591836734693877,0.583673469387755,0.7142857142857144,11.82758620689655,35,112,0.4571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,both,5.5053315359323625,4.07753744390572,3.58351893845611,2.4704346171794658,1,1
七台河,2015,all_pub,253,60,0.0841287943882891,0.217391304347826,0.5296442687747036,0.6719367588932806,11.88653667595172,33,51,0.2015810276679842,0.0,0.0,0.0,0.0,0.0,0.0,both,5.537334267018537,4.110873864173311,3.5263605246161616,2.4754063878645516,1,1
七台河,2016,all_pub,202,60,0.0473482991863542,0.1336633663366336,0.396039603960396,0.5594059405940595,21.120082815734992,29,70,0.3465346534653465,0.0,0.0,0.0,0.0,0.0,0.0,both,5.313205979041787,4.110873864173311,3.4011973816621555,3.0502243800299462,1,1
七台河,2017,all_pub,154,66,0.0360094451003542,0.1233766233766233,0.3181818181818182,0.474025974025974,27.770491803278684,39,67,0.435064935064935,0.0,0.0,0.0,0.0,0.0,0.0,both,5.043425116919247,4.204692619390966,3.6888794541139363,3.3239740110386884,1,1
七台河,2018,all_pub,288,91,0.0742428626543209,0.2465277777777778,0.3993055555555556,0.5347222222222223,13.469308216953555,61,120,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,both,5.666426688112432,4.5217885770490405,4.127134385045092,2.600413631787446,1,1
七台河,2019,all_pub,286,108,0.0734021223531713,0.2447552447552447,0.4265734265734266,0.527972027972028,13.62358427714856,73,113,0.3951048951048951,0.0,0.0,0.0,0.0,0.0,0.0,both,5.659482215759621,4.6913478822291435,4.30406509320417,2.611802428886352,1,1
七台河,2020,all_pub,468,193,0.0171031485134049,0.0854700854700854,0.2072649572649572,0.3141025641025641,58.4687666844634,144,289,0.6175213675213675,0.0,0.0,0.0,0.0,0.0,0.0,both,6.150602768446279,5.267858159063328,4.976733742420574,4.0684927088312595,1,1
七台河,2021,all_pub,454,232,0.0095189116808011,0.0418502202643171,0.1387665198237885,0.224669603524229,105.0540265035678,163,244,0.5374449339207048,0.0,0.0,0.0,0.0,0.0,0.0,both,6.12029741895095,5.4510384535657,5.099866427824199,4.654474755957388,1,1
