省份,城市,城市代码,年份,idc_new,idc_stock,ln1p_idc_new,ln1p_idc_stock
上海市,上海市,110000.0,2000,0,0,0.0,0.0
新疆维吾尔自治区,乌鲁木齐市,110000.0,2000,0,0,0.0,0.0
北京市,北京市,110000.0,2000,0,0,0.0,0.0
天津市,天津市,110000.0,2000,0,0,0.0,0.0
浙江省,宁波市,110000.0,2000,0,0,0.0,0.0
江西省,抚州市,110000.0,2000,0,0,0.0,0.0
浙江省,杭州市,110000.0,2000,0,0,0.0,0.0
重庆市,重庆市,110000.0,2000,0,0,0.0,0.0
湖南省,长沙市,110000.0,2000,0,0,0.0,0.0
上海市,上海市,110000.0,2001,0,0,0.0,0.0
新疆维吾尔自治区,乌鲁木齐市,110000.0,2001,0,0,0.0,0.0
北京市,北京市,110000.0,2001,0,0,0.0,0.0
天津市,天津市,110000.0,2001,0,0,0.0,0.0
浙江省,宁波市,110000.0,2001,0,0,0.0,0.0
江西省,抚州市,110000.0,2001,0,0,0.0,0.0
浙江省,杭州市,110000.0,2001,0,0,0.0,0.0
重庆市,重庆市,110000.0,2001,0,0,0.0,0.0
湖南省,长沙市,110000.0,2001,0,0,0.0,0.0
上海市,上海市,110000.0,2002,0,0,0.0,0.0
新疆维吾尔自治区,乌鲁木齐市,110000.0,2002,0,0,0.0,0.0
北京市,北京市,110000.0,2002,0,0,0.0,0.0
天津市,天津市,110000.0,2002,0,0,0.0,0.0
浙江省,宁波市,110000.0,2002,0,0,0.0,0.0
江西省,抚州市,110000.0,2002,0,0,0.0,0.0
浙江省,杭州市,110000.0,2002,0,0,0.0,0.0
重庆市,重庆市,110000.0,2002,0,0,0.0,0.0
湖南省,长沙市,110000.0,2002,0,0,0.0,0.0
上海市,上海市,110000.0,2003,0,0,0.0,0.0
新疆维吾尔自治区,乌鲁木齐市,110000.0,2003,0,0,0.0,0.0
北京市,北京市,110000.0,2003,0,0,0.0,0.0
天津市,天津市,110000.0,2003,0,0,0.0,0.0
浙江省,宁波市,110000.0,2003,0,0,0.0,0.0
江西省,抚州市,110000.0,2003,0,0,0.0,0.0
浙江省,杭州市,110000.0,2003,0,0,0.0,0.0
重庆市,重庆市,110000.0,2003,0,0,0.0,0.0
湖南省,长沙市,110000.0,2003,0,0,0.0,0.0
上海市,上海市,110000.0,2004,0,0,0.0,0.0
新疆维吾尔自治区,乌鲁木齐市,110000.0,2004,0,0,0.0,0.0
北京市,北京市,110000.0,2004,0,0,0.0,0.0
天津市,天津市,110000.0,2004,1,1,0.6931471805599453,0.6931471805599453
浙江省,宁波市,110000.0,2004,0,1,0.0,0.6931471805599453
江西省,抚州市,110000.0,2004,0,1,0.0,0.6931471805599453
浙江省,杭州市,110000.0,2004,0,1,0.0,0.6931471805599453
重庆市,重庆市,110000.0,2004,0,1,0.0,0.6931471805599453
湖南省,长沙市,110000.0,2004,0,1,0.0,0.6931471805599453
上海市,上海市,110000.0,2005,2,3,1.0986122886681098,1.3862943611198906
新疆维吾尔自治区,乌鲁木齐市,110000.0,2005,0,3,0.0,1.3862943611198906
北京市,北京市,110000.0,2005,3,6,1.3862943611198906,1.9459101490553132
天津市,天津市,110000.0,2005,1,7,0.6931471805599453,2.0794415416798357
浙江省,宁波市,110000.0,2005,0,7,0.0,2.0794415416798357
江西省,抚州市,110000.0,2005,0,7,0.0,2.0794415416798357
浙江省,杭州市,110000.0,2005,1,8,0.6931471805599453,2.1972245773362196
重庆市,重庆市,110000.0,2005,0,8,0.0,2.1972245773362196
湖南省,长沙市,110000.0,2005,0,8,0.0,2.1972245773362196
上海市,上海市,110000.0,2006,1,9,0.6931471805599453,2.302585092994046
新疆维吾尔自治区,乌鲁木齐市,110000.0,2006,0,9,0.0,2.302585092994046
北京市,北京市,110000.0,2006,7,16,2.0794415416798357,2.833213344056216
天津市,天津市,110000.0,2006,2,18,1.0986122886681098,2.9444389791664403
浙江省,宁波市,110000.0,2006,0,18,0.0,2.9444389791664403
江西省,抚州市,110000.0,2006,0,18,0.0,2.9444389791664403
浙江省,杭州市,110000.0,2006,0,18,0.0,2.9444389791664403
重庆市,重庆市,110000.0,2006,0,18,0.0,2.9444389791664403
湖南省,长沙市,110000.0,2006,0,18,0.0,2.9444389791664403
上海市,上海市,110000.0,2007,0,18,0.0,2.9444389791664403
新疆维吾尔自治区,乌鲁木齐市,110000.0,2007,0,18,0.0,2.9444389791664403
北京市,北京市,110000.0,2007,7,25,2.0794415416798357,3.258096538021482
天津市,天津市,110000.0,2007,0,25,0.0,3.258096538021482
浙江省,宁波市,110000.0,2007,0,25,0.0,3.258096538021482
江西省,抚州市,110000.0,2007,0,25,0.0,3.258096538021482
浙江省,杭州市,110000.0,2007,0,25,0.0,3.258096538021482
重庆市,重庆市,110000.0,2007,0,25,0.0,3.258096538021482
湖南省,长沙市,110000.0,2007,1,26,0.6931471805599453,3.295836866004329
上海市,上海市,110000.0,2008,1,27,0.6931471805599453,3.332204510175204
新疆维吾尔自治区,乌鲁木齐市,110000.0,2008,0,27,0.0,3.332204510175204
北京市,北京市,110000.0,2008,1,28,0.6931471805599453,3.367295829986474
天津市,天津市,110000.0,2008,0,28,0.0,3.367295829986474
浙江省,宁波市,110000.0,2008,0,28,0.0,3.367295829986474
江西省,抚州市,110000.0,2008,0,28,0.0,3.367295829986474
浙江省,杭州市,110000.0,2008,1,29,0.6931471805599453,3.4011973816621555
重庆市,重庆市,110000.0,2008,0,29,0.0,3.4011973816621555
湖南省,长沙市,110000.0,2008,0,29,0.0,3.4011973816621555
上海市,上海市,110000.0,2009,4,33,1.6094379124341003,3.5263605246161616
新疆维吾尔自治区,乌鲁木齐市,110000.0,2009,1,34,0.6931471805599453,3.5553480614894135
北京市,北京市,110000.0,2009,8,42,2.1972245773362196,3.7612001156935624
