license_no,license_year,company,city,source,idc_scope_raw,registered_address
冀B1-20240034,2024,保定浪潮云计算有限公司,保定,registered_fallback,,保定市惠阳街369号中关村创新基地研发中心1层106室
京B1.B2-20060083,2006,北京铜牛信息科技股份有限公司,北京,scope_city,北京市,北京市东城区天坛东路31号铜牛信息大厦
B1-20194505,2019,成都伊莱科科技有限公司,成都,registered_fallback,,中国(四川)自由贸易试验区成都高新区锦晖西一街99号2栋1单元5层509号
A2.B1.B2-20191408,2019,上海跃鲤实业有限公司,上海,registered_fallback,,上海市嘉定区新成路500号JT2224室
京B1.B2-20140061,2014,北京舒华士科技有限公司,北京,scope_city,北京市,北京市西城区新开胡同甲2号新开钟楼招待所206室
湘B1-20200002,2020,湖南长城科技信息有限公司,长沙,registered_fallback,,长沙高新开发区尖山路39号长沙中电软件园10栋1001室
B1-20230608,2023,鹰硕（韶关）信息产业集团有限公司,韶关,registered_fallback,,韶关市武江区莞韶城一期黄沙坪创新园31栋101
B1-20241063,2024,贵州彩数网络技术有限公司,贵阳,registered_fallback,,贵州省贵阳市贵阳国家高新技术产业开发区长岭南路160号高科一号A栋14楼
A2.B1-20210433,2021,北京众鑫森焱网络科技有限公司,北京,registered_fallback,,北京市顺义区南法信镇顺平路南法信段10号9幢402号
B1-20194917,2019,甘肃中科海荣网络通讯有限公司,兰州,registered_fallback,,甘肃省兰州市城关区高新雁南路279号9层902室
B1-20243565,2024,郑州天幕云计算技术有限公司,郑州,registered_fallback,,
晋B2-20070015,2007,山西聚方互联信息服务有限公司,太原,registered_fallback,山西省,山西综改示范区太原唐槐园区龙盛街18号孵化基地5号楼5层C17号
A2.B1-20233504,2023,北京南天智联信息科技股份有限公司,北京,registered_fallback,,
A2.B1.B2-20224067,2022,北京宇信广智科技有限公司,北京,registered_fallback,,北京市密云区巨各庄镇政府208室-1156（集群注册）
B1-20232615,2023,苏州万慧斯特信息科技有限公司,苏州,registered_fallback,,中国(江苏)自由贸易试验区苏州片区苏州工业园区旺墩路269号星座商务广场1幢2008室
B1-20220448,2022,清远瑞腾计算科技有限公司,清远,registered_fallback,,广东清远高新技术产业开发区管理委员会办公大楼204室
A2.B1-20211660,2021,北京信义德瑞科技有限公司,北京,registered_fallback,,北京市房山区城关街道顾八路1区1号-Q603
A2.B1.B2-20240517,2024,厦门万物共联信息科技有限公司,厦门,registered_fallback,,
