license_no,license_year,company,city,source,idc_scope_raw,registered_address
京B1.B2-20060083,2006,北京铜牛信息科技股份有限公司,北京,scope_city,北京市,北京市东城区天坛东路31号铜牛信息大厦
京B1.B2-20140061,2014,北京舒华士科技有限公司,北京,scope_city,北京市,北京市西城区新开胡同甲2号新开钟楼招待所206室
B1-20161377,2016,上海云瑞智通实业有限公司,上海,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,北京,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,南京,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,南宁,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,广州,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,成都,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,昆明,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,杭州,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,武汉,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,济南,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,海口,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,福州,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,西安,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,贵阳,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,重庆,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1-20161377,2016,上海云瑞智通实业有限公司,长沙,scope_city,武汉市;济南市;南京市;成都市;上海市;杭州市;南宁市;广州市;北京市;重庆市;福州市;西安市;贵阳市;长沙市;昆明市;海口市,上海市金山区朱泾镇金龙新街528弄1118号-273
B1.B2-20050405,2005,网宿科技股份有限公司,上海,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,北京,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,南京,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,天津,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,广州,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,杭州,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1.B2-20050405,2005,网宿科技股份有限公司,深圳,scope_city,北京市;天津市;上海市;南京市;杭州市;广州市;深圳市,上海嘉定环城路200号
B1-20170629,2017,江苏先农电子商务有限公司,北京,scope_city,南京市;北京市,南京市建邺区泰山路8号
B1-20170629,2017,江苏先农电子商务有限公司,南京,scope_city,南京市;北京市,南京市建邺区泰山路8号
冀B1.B2-20150169,2015,承德北网通信工程有限公司,承德,scope_city,承德市,承德市双桥区下二道河子村碧达园小区3号楼14层1401号办公
B1-20170257,2017,上海续连信息科技有限公司,上海,scope_city,上海市;南通市,中国(上海)自由贸易试验区耀华路251号一幢一层
B1-20170257,2017,上海续连信息科技有限公司,南通,scope_city,上海市;南通市,中国(上海)自由贸易试验区耀华路251号一幢一层
浙B1-20170761,2017,杭州智库云科技有限公司,宁波,scope_city,宁波市,浙江省杭州市西湖区文三路404号2单元409室
鲁B1-20150069,2015,山东欧赛网络科技有限公司,淄博,scope_city,淄博市,山东省淄博市博山区城西街道颜山电子商务创业园A座七层
B1-20161651,2016,武汉宽路信息科技有限公司,兰州,scope_city,鄂州市;兰州市,武昌区中南路街丁字桥路27号(老87号)13栋8层6室
B1-20161651,2016,武汉宽路信息科技有限公司,鄂州,scope_city,鄂州市;兰州市,武昌区中南路街丁字桥路27号(老87号)13栋8层6室
B2-20173343,2017,兴业数字金融服务（上海）股份有限公司,上海,scope_city,上海市;福州市,中国(上海)自由贸易试验区杨高南路729号第41层
