city,year,total_patents,active_applicants,new_applicants,new_applicant_share,hhi,top10_share,org_total_patents,org_active_applicants,org_new_applicants,org_new_patents,org_hhi,org_top1_share,org_top5_share,org_top10_share,org_new_share,org_patent_share_total,ln1p_org_total_patents,ln1p_org_active_applicants,ln1p_org_new_applicants,ln_org_effective_applicants
七台河,2008,10,10,5,0.5,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2009,18,16,12,0.6666666666666666,0.074074074074074,0.6666666666666666,2.0,2.0,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.1111111111111111,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453
七台河,2010,14,12,8,0.7142857142857143,0.1020408163265306,0.8571428571428571,2.0,2.0,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.14285714285714285,1.0986122886681098,1.0986122886681098,1.0986122886681098,0.6931471805599453
七台河,2011,20,16,7,0.5,0.075,0.7,6.0,4.0,1.0,3.0,0.33333333333333337,0.5,1.0,1.0,0.5,0.3,1.9459101490553132,1.6094379124341003,0.6931471805599453,1.0986122886681096
七台河,2012,23,16,11,0.6521739130434783,0.0737240075614366,0.7391304347826086,5.0,4.0,3.0,4.0,0.28,0.4,1.0,1.0,0.8,0.21739130434782608,1.791759469228055,1.6094379124341003,1.3862943611198906,1.2729656758128873
七台河,2013,76,22,12,0.7631578947368421,0.1256925207756232,0.8421052631578947,47.0,6.0,6.0,47.0,0.29017655047532825,0.3829787234042553,0.9787234042553191,1.0,1.0,0.618421052631579,3.871201010907891,1.9459101490553132,1.9459101490553132,1.237265746499447
七台河,2014,23,13,6,0.3478260869565217,0.1417769376181474,0.8695652173913043,6.0,4.0,2.0,2.0,0.2777777777777778,0.3333333333333333,1.0,1.0,0.3333333333333333,0.2608695652173913,1.9459101490553132,1.6094379124341003,1.0986122886681098,1.2809338454620642
七台河,2015,83,28,17,0.3253012048192771,0.2472056902308027,0.7831325301204819,54.0,12.0,7.0,8.0,0.5555555555555554,0.7407407407407407,0.8703703703703703,0.9629629629629629,0.14814814814814814,0.6506024096385542,4.007333185232471,2.5649493574615367,2.0794415416798357,0.5877866649021194
七台河,2016,34,18,11,0.4705882352941176,0.0951557093425605,0.7647058823529411,10.0,7.0,5.0,8.0,0.18000000000000002,0.3,0.8,1.0,0.8,0.29411764705882354,2.3978952727983707,2.0794415416798357,1.791759469228055,1.7147984280919264
七台河,2017,23,17,13,0.6521739130434783,0.0737240075614366,0.6956521739130435,14.0,9.0,5.0,6.0,0.14285714285714285,0.21428571428571427,0.7142857142857143,1.0,0.42857142857142855,0.6086956521739131,2.70805020110221,2.302585092994046,1.791759469228055,1.9459101490553132
