city,province,year,total_patents,city_id,province_id,base_ln_patents_q,base_top10_q,idc_scope_new,idc_scope_stock,idc_scope_pre5,ln1p_idc_scope_stock_l1,ln1p_idc_scope_pre5_l1,ln1p_idc_scope_new_l1,high_compute,total_patents_field,active_applicants_field,city_new_applicants_field,field_new_applicants_field,city_new_patents_field,field_new_patents_field,incumbent_patents_field,city_new_share_total_field,field_new_share_total_field,incumbent_share_field,ln1p_total_patents_field,ln1p_active_applicants_field,ln1p_city_new_applicants_field,ln1p_field_new_applicants_field,ln1p_city_new_patents_field,ln1p_field_new_patents_field,ln1p_incumbent_patents_field,high_compute_label,idc_stock_high,idc_new_high,idc_pre5_high
七台河,黑龙江省,2008,10,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,0.5,0.5,0.5,2.3978952727983707,2.3978952727983707,1.791759469228055,1.791759469228055,1.791759469228055,1.791759469228055,1.791759469228055,other,0.0,0.0,0.0
七台河,黑龙江省,2008,10,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2009,18,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,17.0,15.0,12.0,12.0,12.0,12.0,5.0,0.7058823529411765,0.7058823529411765,0.29411764705882354,2.8903717578961645,2.772588722239781,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,1.791759469228055,other,0.0,0.0,0.0
七台河,黑龙江省,2009,18,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2010,14,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,14.0,12.0,8.0,8.0,10.0,10.0,4.0,0.7142857142857143,0.7142857142857143,0.2857142857142857,2.70805020110221,2.5649493574615367,2.1972245773362196,2.1972245773362196,2.3978952727983707,2.3978952727983707,1.6094379124341003,other,0.0,0.0,0.0
七台河,黑龙江省,2010,14,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2011,20,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,18.0,14.0,6.0,6.0,9.0,9.0,9.0,0.5,0.5,0.5,2.9444389791664403,2.70805020110221,1.9459101490553132,1.9459101490553132,2.302585092994046,2.302585092994046,2.302585092994046,other,0.0,0.0,0.0
七台河,黑龙江省,2011,20,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2012,23,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,22.0,16.0,11.0,11.0,14.0,14.0,8.0,0.6363636363636364,0.6363636363636364,0.36363636363636365,3.1354942159291497,2.833213344056216,2.4849066497880004,2.4849066497880004,2.70805020110221,2.70805020110221,2.1972245773362196,other,0.0,0.0,0.0
七台河,黑龙江省,2012,23,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2013,76,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,76.0,22.0,12.0,12.0,58.0,58.0,18.0,0.7631578947368421,0.7631578947368421,0.23684210526315788,4.343805421853684,3.1354942159291497,2.5649493574615367,2.5649493574615367,4.07753744390572,4.07753744390572,2.9444389791664403,other,0.0,0.0,0.0
七台河,黑龙江省,2013,76,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2014,23,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,22.0,13.0,6.0,6.0,8.0,8.0,14.0,0.36363636363636365,0.36363636363636365,0.6363636363636364,3.1354942159291497,2.6390573296152584,1.9459101490553132,1.9459101490553132,2.1972245773362196,2.1972245773362196,2.70805020110221,other,0.0,0.0,0.0
七台河,黑龙江省,2014,23,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2015,83,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,80.0,28.0,17.0,17.0,27.0,27.0,53.0,0.3375,0.3375,0.6625,4.394449154672439,3.367295829986474,2.8903717578961645,2.8903717578961645,3.332204510175204,3.332204510175204,3.9889840465642745,other,0.0,0.0,0.0
七台河,黑龙江省,2015,83,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2016,34,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,33.0,17.0,10.0,10.0,15.0,15.0,18.0,0.45454545454545453,0.45454545454545453,0.5454545454545454,3.5263605246161616,2.8903717578961645,2.3978952727983707,2.3978952727983707,2.772588722239781,2.772588722239781,2.9444389791664403,other,0.0,0.0,0.0
七台河,黑龙江省,2016,34,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_compute,0.0,0.0,0.0
七台河,黑龙江省,2017,23,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0,21.0,15.0,11.0,11.0,13.0,13.0,8.0,0.6190476190476191,0.6190476190476191,0.38095238095238093,3.091042453358316,2.772588722239781,2.4849066497880004,2.4849066497880004,2.6390573296152584,2.6390573296152584,2.1972245773362196,other,0.0,0.0,0.0
