city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share
七台河,2008,all_pub,81,48,0.04160951074531321,0.13580246913580246,0.345679012345679,0.4691358024691358,24.032967032967036,30,47,0.5802469135802469
万宁,2008,all_pub,19,5,0.4127423822714681,0.5789473684210527,0.9999999999999998,0.9999999999999998,2.422818791946309,1,1,0.05263157894736842
三亚,2008,all_pub,34,16,0.15051903114186854,0.3235294117647059,0.6764705882352942,0.8235294117647058,6.6436781609195386,11,21,0.6176470588235294
三明,2008,all_pub,217,119,0.0188791437490709,0.055299539170506916,0.23041474654377883,0.359447004608295,52.968503937007895,69,114,0.5253456221198156
三门峡,2008,all_pub,206,101,0.038976340842680764,0.1650485436893204,0.3106796116504854,0.39805825242718446,25.656590084643277,69,149,0.7233009708737864
上海,2008,all_pub,39913,7191,0.005253546198406083,0.041590459248866285,0.1235437075639516,0.18708190313932807,190.34761706357477,3419,8436,0.21135970736351564
上饶,2008,all_pub,137,106,0.012520645745644411,0.0364963503649635,0.145985401459854,0.22627737226277372,79.86808510638299,64,80,0.583941605839416
东方,2008,all_pub,5,2,0.6800000000000002,0.8,1.0,1.0,1.4705882352941173,0,0,0.0
东莞,2008,all_pub,8946,2188,0.00357069510487672,0.029845741113346747,0.08763693270735524,0.13715627095908786,280.0575155896783,1255,3691,0.41258663089649006
东营,2008,all_pub,2291,903,0.005248366208576973,0.02968136185072021,0.1152335224792667,0.17415975556525534,190.5354848077831,515,920,0.4015713662156264
中卫,2008,all_pub,28,18,0.08418367346938775,0.17857142857142858,0.5357142857142857,0.7142857142857142,11.878787878787879,9,13,0.4642857142857143
中山,2008,all_pub,4696,1181,0.005346534366121153,0.049829642248722314,0.10647359454855194,0.15119250425894376,187.0370470891573,572,1743,0.37116695059625215
临夏回族自治州,2008,all_pub,27,17,0.08367626886145403,0.14814814814814814,0.5555555555555556,0.7407407407407407,11.95081967213115,14,20,0.7407407407407407
临汾,2008,all_pub,181,96,0.021458441439516494,0.055248618784530384,0.23756906077348067,0.38674033149171266,46.60170697012803,61,95,0.5248618784530387
临沂,2008,all_pub,1685,1080,0.003849289859028433,0.040356083086053415,0.10029673590504452,0.12997032640949557,259.7881782413761,773,1033,0.6130563798219585
临沧,2008,all_pub,17,14,0.07958477508650517,0.11764705882352941,0.47058823529411764,0.7647058823529411,12.56521739130435,9,12,0.7058823529411765
临高县,2008,all_pub,2,2,0.5,0.5,1.0,1.0,2.0,2,2,1.0
丹东,2008,all_pub,407,213,0.009254508026006797,0.0343980343980344,0.12776412776412777,0.20393120393120395,108.05544683626876,108,169,0.4152334152334152
丽水,2008,all_pub,790,267,0.014456016663996157,0.056962025316455694,0.18227848101265823,0.3,69.17534914653069,141,386,0.48860759493670886
丽江,2008,all_pub,37,19,0.12344777209642076,0.2972972972972973,0.5675675675675677,0.7567567567567568,8.10059171597633,14,21,0.5675675675675675
乌兰察布,2008,all_pub,21,19,0.05668934240362811,0.09523809523809523,0.3333333333333333,0.5714285714285714,17.640000000000004,16,18,0.8571428571428571
乌海,2008,all_pub,46,26,0.06521739130434784,0.13043478260869565,0.4782608695652174,0.6521739130434783,15.33333333333333,16,19,0.41304347826086957
乌鲁木齐,2008,all_pub,844,419,0.009922283866040745,0.06516587677725119,0.16113744075829384,0.2274881516587678,100.78324844368987,262,399,0.4727488151658768
乐山,2008,all_pub,233,105,0.057599145314888876,0.21030042918454936,0.38197424892703863,0.45493562231759654,17.361368724016618,58,118,0.5064377682403434
九江,2008,all_pub,287,152,0.02021391542934842,0.09407665505226481,0.23344947735191635,0.3275261324041812,49.47087087087087,98,143,0.49825783972125437
云浮,2008,all_pub,131,63,0.03910028553114621,0.1297709923664122,0.3435114503816794,0.5038167938931297,25.575260804768998,34,62,0.4732824427480916
五家渠,2008,all_pub,1,1,1.0,1.0,1.0,1.0,1.0,1,1,1.0
五指山,2008,all_pub,2,1,1.0,1.0,1.0,1.0,1.0,1,2,1.0
亳州,2008,all_pub,185,82,0.0979693206720234,0.2972972972972973,0.42702702702702705,0.5081081081081081,10.207277065314642,61,93,0.5027027027027027
仙桃,2008,all_pub,77,47,0.03592511384719176,0.07792207792207792,0.33766233766233766,0.4935064935064935,27.835680751173715,30,54,0.7012987012987013
伊春,2008,all_pub,94,71,0.02105024898143956,0.06382978723404255,0.2127659574468085,0.3191489361702127,47.50537634408604,44,51,0.5425531914893617
伊犁哈萨克自治州,2008,all_pub,142,101,0.014580440388811745,0.056338028169014086,0.1619718309859155,0.2535211267605634,68.58503401360544,70,97,0.6830985915492958
佛山,2008,all_pub,12688,2623,0.008211840700231694,0.059505044136191676,0.14864438839848676,0.1905737704918033,121.77537734892805,1163,3809,0.30020491803278687
