city,year,scope,total_patents,active_applicants,hhi,top1_share,top5_share,top10_share,effective_applicants,new_applicants,new_patents,new_applicant_share,roll_top_patents,roll_top_share,base_top_patents,base_top_share,roll_top_n,base_top_n
七台河,2008,inv_grant_appyear,3,3,0.3333333333333333,0.3333333333333333,1.0,1.0,3.0,2,2,0.6666666666666666,1,0.3333333333333333,2,0.6666666666666666,10,10
七台河,2009,inv_grant_appyear,5,5,0.20000000000000004,0.2,1.0,1.0,4.999999999999999,5,5,1.0,0,0.0,5,1.0,10,10
七台河,2010,inv_grant_appyear,4,3,0.375,0.5,1.0,1.0,2.6666666666666665,3,4,1.0,0,0.0,4,1.0,10,10
七台河,2011,inv_grant_appyear,3,3,0.3333333333333333,0.3333333333333333,1.0,1.0,3.0,2,2,0.6666666666666666,0,0.0,0,0.0,10,10
七台河,2012,inv_grant_appyear,4,3,0.375,0.5,1.0,1.0,2.6666666666666665,1,1,0.25,1,0.25,1,0.25,10,10
七台河,2013,inv_grant_appyear,33,10,0.16069788797061524,0.24242424242424243,0.8181818181818183,1.0,6.222857142857143,6,27,0.8181818181818182,2,0.06060606060606061,4,0.12121212121212122,10,10
七台河,2014,inv_grant_appyear,4,4,0.25,0.25,1.0,1.0,4.0,1,1,0.25,2,0.5,1,0.25,10,10
七台河,2015,inv_grant_appyear,25,14,0.14239999999999994,0.32,0.64,0.8400000000000001,7.022471910112363,11,15,0.6,9,0.36,1,0.04,10,10
七台河,2016,inv_grant_appyear,6,6,0.16666666666666669,0.16666666666666666,0.8333333333333333,0.9999999999999999,5.999999999999999,3,3,0.5,1,0.16666666666666666,0,0.0,10,10
七台河,2017,inv_grant_appyear,9,9,0.1111111111111111,0.1111111111111111,0.5555555555555556,1.0,9.0,6,6,0.6666666666666666,2,0.2222222222222222,0,0.0,10,10
七台河,2018,inv_grant_appyear,8,7,0.15625,0.25,0.75,1.0,6.4,4,4,0.5,0,0.0,1,0.125,10,10
七台河,2019,inv_grant_appyear,16,8,0.25,0.4375,0.8125,1.0,4.0,6,12,0.75,1,0.0625,0,0.0,10,10
七台河,2020,inv_grant_appyear,13,12,0.08875739644970415,0.15384615384615385,0.46153846153846156,0.846153846153846,11.266666666666666,10,10,0.7692307692307693,2,0.15384615384615385,0,0.0,10,10
七台河,2021,inv_grant_appyear,17,10,0.15570934256055363,0.29411764705882354,0.7058823529411765,1.0,6.4222222222222225,7,7,0.4117647058823529,5,0.29411764705882354,0,0.0,10,10
七台河,2022,inv_grant_appyear,5,4,0.28,0.4,1.0,1.0,3.571428571428571,2,2,0.4,3,0.6,0,0.0,10,10
七台河,2023,inv_grant_appyear,9,6,0.20987654320987653,0.3333333333333333,0.8888888888888891,1.0000000000000002,4.764705882352941,5,8,0.8888888888888888,1,0.1111111111111111,0,0.0,10,10
万宁,2008,inv_grant_appyear,3,2,0.5555555555555556,0.6666666666666666,1.0,1.0,1.7999999999999998,1,1,0.3333333333333333,2,0.6666666666666666,3,1.0,10,10
万宁,2009,inv_grant_appyear,2,2,0.5,0.5,1.0,1.0,2.0,1,1,0.5,1,0.5,2,1.0,10,10
万宁,2010,inv_grant_appyear,6,2,0.5555555555555556,0.6666666666666666,1.0,1.0,1.7999999999999998,0,0,0.0,6,1.0,6,1.0,10,10
万宁,2011,inv_grant_appyear,11,3,0.4876033057851239,0.6363636363636364,1.0,1.0,2.050847457627119,1,1,0.09090909090909091,10,0.9090909090909091,10,0.9090909090909091,10,10
万宁,2012,inv_grant_appyear,11,3,0.5702479338842975,0.7272727272727273,1.0,1.0,1.7536231884057971,0,0,0.0,11,1.0,10,0.9090909090909091,10,10
