symbol,year,patent_count_dedup,invention_count_dedup,strict_ai_title_all_count,ai_compute_title_all_count,strict_ai_title_invention_count,ai_compute_title_invention_count
000004,2006.0,2,2,0,0,0,0
000008,2016.0,1,1,0,0,0,0
000026,2006.0,1,0,0,0,0,0
000026,2008.0,1,1,0,0,0,0
000032,2008.0,2,0,0,0,0,0
000035,2015.0,1,0,0,0,0,0
000035,2016.0,1,1,0,0,0,0
000035,2018.0,1,1,0,0,0,0
000035,2019.0,1,1,0,0,0,0
000039,2019.0,1,1,0,0,0,0
000042,2021.0,5,0,0,0,0,0
000042,2022.0,13,0,0,0,0,0
000042,2024.0,1,1,0,0,0,0
000042,2025.0,1,1,0,0,0,0
000045,2023.0,1,0,0,0,0,0
000055,2015.0,1,0,0,0,0,0
000055,2018.0,1,1,0,0,0,0
000055,2021.0,2,0,0,0,0,0
000055,2022.0,2,0,0,0,0,0
000056,2022.0,1,1,0,0,0,0
000065,2015.0,5,0,0,0,0,0
000065,2016.0,1,1,0,0,0,0
000078,2007.0,1,1,0,0,0,0
000078,2008.0,1,1,0,0,0,0
000078,2021.0,8,8,0,0,0,0
000078,2022.0,11,8,0,0,0,0
000078,2023.0,8,8,0,0,0,0
000078,2024.0,1,1,0,0,0,0
000089,2024.0,1,0,0,0,0,0
000090,2009.0,3,0,0,0,0,0
000090,2010.0,5,0,0,0,0,0
000090,2011.0,4,4,0,0,0,0
000090,2012.0,7,1,0,0,0,0
000090,2017.0,11,7,0,0,0,0
000090,2018.0,10,10,0,0,0,0
000090,2019.0,38,0,0,0,0,0
000090,2020.0,8,8,0,0,0,0
000090,2021.0,15,15,0,0,0,0
000090,2022.0,33,33,0,0,0,0
000090,2023.0,13,13,0,0,0,0
000090,2024.0,7,7,0,0,0,0
000151,2015.0,5,0,0,0,0,0
000151,2016.0,1,0,0,0,0,0
000151,2017.0,12,0,0,0,0,0
000151,2018.0,1,1,0,0,0,0
000151,2019.0,10,1,0,0,0,0
000151,2020.0,15,1,0,0,0,0
000151,2021.0,8,0,0,0,0,0
000151,2022.0,29,6,0,0,0,0
000151,2023.0,10,2,0,0,0,0
000151,2024.0,23,4,0,0,0,0
000153,2009.0,1,1,0,0,0,0
000156,2009.0,3,3,0,0,0,0
000156,2012.0,3,0,0,0,0,0
000156,2013.0,3,0,0,0,0,0
000156,2014.0,6,6,0,0,0,0
000156,2015.0,3,3,0,0,0,0
000156,2016.0,24,24,0,3,0,3
000156,2017.0,6,2,0,0,0,0
000156,2018.0,4,4,0,0,0,0
000156,2019.0,6,5,0,1,0,1
000156,2020.0,5,5,0,0,0,0
000157,2012.0,1,1,0,0,0,0
000157,2013.0,1,1,0,0,0,0
