city,year,total_patents,top20_patents,top20_firm_share_total,top20_firm_share_top20,top20_government_share_total,top20_government_share_top20,top20_hospital_share_total,top20_hospital_share_top20,top20_individual_share_total,top20_individual_share_top20,top20_other_share_total,top20_other_share_top20,top20_research_share_total,top20_research_share_top20,top20_univ_share_total,top20_univ_share_top20
七台河,2008,10,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2009,18,18,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2010,14,14,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0
七台河,2011,20,20,0.2,0.2,0.0,0.0,0.0,0.0,0.75,0.75,0.05,0.05,0.0,0.0,0.0,0.0
七台河,2012,23,23,0.17391304347826086,0.17391304347826086,0.0,0.0,0.0,0.0,0.782608695652174,0.782608695652174,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0
七台河,2013,76,74,0.6052631578947368,0.6216216216216216,0.0,0.0,0.0,0.0,0.3684210526315789,0.3783783783783784,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2014,23,23,0.2608695652173913,0.2608695652173913,0.0,0.0,0.0,0.0,0.7391304347826086,0.7391304347826086,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2015,83,75,0.6144578313253012,0.68,0.0,0.0,0.0,0.0,0.27710843373493976,0.30666666666666664,0.012048192771084338,0.013333333333333334,0.0,0.0,0.0,0.0
七台河,2016,34,34,0.20588235294117646,0.20588235294117646,0.0,0.0,0.0,0.0,0.7941176470588235,0.7941176470588235,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2017,23,23,0.5652173913043478,0.5652173913043478,0.0,0.0,0.0,0.0,0.391304347826087,0.391304347826087,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0
七台河,2018,45,45,0.4888888888888889,0.4888888888888889,0.0,0.0,0.0,0.0,0.4888888888888889,0.4888888888888889,0.0,0.0,0.022222222222222223,0.022222222222222223,0.0,0.0
七台河,2019,56,51,0.7321428571428571,0.803921568627451,0.0,0.0,0.0,0.0,0.14285714285714285,0.1568627450980392,0.0,0.0,0.03571428571428571,0.0392156862745098,0.0,0.0
七台河,2020,55,44,0.3090909090909091,0.38636363636363635,0.0,0.0,0.0,0.0,0.45454545454545453,0.5681818181818182,0.01818181818181818,0.022727272727272728,0.01818181818181818,0.022727272727272728,0.0,0.0
