city,year,total_patents,cur_top_firm_patents,cur_top_government_patents,cur_top_hospital_patents,cur_top_individual_patents,cur_top_other_patents,cur_top_research_patents,cur_top_univ_patents,cur_top_patents,base_top_firm_patents,base_top_government_patents,base_top_hospital_patents,base_top_individual_patents,base_top_other_patents,base_top_research_patents,base_top_univ_patents,base_top_patents,cur_top_firm_share_total,cur_top_firm_share_top,cur_top_univ_share_total,cur_top_univ_share_top,cur_top_research_share_total,cur_top_research_share_top,cur_top_hospital_share_total,cur_top_hospital_share_top,cur_top_individual_share_total,cur_top_individual_share_top,cur_top_government_share_total,cur_top_government_share_top,cur_top_other_share_total,cur_top_other_share_top,cur_top_knowledge_patents,cur_top_org_patents,cur_top_knowledge_share_total,cur_top_knowledge_share_top,cur_top_org_share_total,cur_top_org_share_top,base_top_firm_share_total,base_top_firm_share_base,base_top_univ_share_total,base_top_univ_share_base,base_top_research_share_total,base_top_research_share_base,base_top_hospital_share_total,base_top_hospital_share_base,base_top_individual_share_total,base_top_individual_share_base,base_top_government_share_total,base_top_government_share_base,base_top_other_share_total,base_top_other_share_base,base_top_knowledge_patents,base_top_org_patents,base_top_knowledge_share_total,base_top_knowledge_share_base,base_top_org_share_total,base_top_org_share_base
七台河,2008,10,0,0,0,10,0,0,0,10,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2009,18,2,0,0,16,0,0,0,18,1.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05555555555555555,0.125
七台河,2010,14,1,0,0,12,1,0,0,14,1.0,0.0,0.0,11.0,1.0,0.0,0.0,13.0,0.07142857142857142,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.0,0.0,0.07142857142857142,0.07142857142857142,0,2,0.0,0.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.7857142857142857,0.8461538461538461,0.0,0.0,0.07142857142857142,0.07692307692307693,0.0,2.0,0.0,0.0,0.14285714285714285,0.15384615384615385
七台河,2011,20,4,0,0,14,2,0,0,20,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.1,0.1,0,6,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.5,0.0,0.0,0.05,0.5,0.0,1.0,0.0,0.0,0.05,0.5
七台河,2012,23,4,0,0,18,1,0,0,23,0.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.17391304347826086,0.17391304347826086,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,0.782608695652174,0.0,0.0,0.043478260869565216,0.043478260869565216,0,5,0.0,0.0,0.21739130434782608,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.8,0.0,0.0,0.043478260869565216,0.2,0.0,1.0,0.0,0.0,0.043478260869565216,0.2
七台河,2013,76,46,0,0,28,0,0,0,74,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.6052631578947368,0.6216216216216216,0.0,0.0,0.0,0.0,0.0,0.0,0.3684210526315789,0.3783783783783784,0.0,0.0,0.0,0.0,0,46,0.0,0.0,0.6052631578947368,0.6216216216216216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2014,23,6,0,0,17,0,0,0,23,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.2608695652173913,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.7391304347826086,0.7391304347826086,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0.2608695652173913,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34782608695652173,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2015,83,52,0,0,23,0,0,0,75,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.6265060240963856,0.6933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.27710843373493976,0.30666666666666664,0.0,0.0,0.0,0.0,0,52,0.0,0.0,0.6265060240963856,0.6933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07228915662650602,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2016,34,7,0,0,24,3,0,0,34,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.20588235294117646,0.20588235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.7058823529411765,0.0,0.0,0.08823529411764706,0.08823529411764706,0,10,0.0,0.0,0.29411764705882354,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
七台河,2017,23,13,0,0,9,0,1,0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652173913043478,0.5652173913043478,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.391304347826087,0.391304347826087,0.0,0.0,0.0,0.0,1,14,0.043478260869565216,0.043478260869565216,0.6086956521739131,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
