city,applicant_norm,clean_type,patents,applicant,rank_baseline
七台河,王乃时,individual,3,王乃时,1
七台河,魏熙臣,individual,3,魏熙臣,2
七台河,王安,individual,2,王安,3
七台河,王福春,individual,2,王福春,4
七台河,邱延海,individual,2,邱延海,5
七台河,七台河电业局,other,1,七台河电业局,6
七台河,侯志敏,individual,1,侯志敏,7
七台河,勃利县恒气炉制造厂,firm,1,勃利县恒气炉制造厂,8
七台河,勃利县森清能源开发有限公司,firm,1,勃利县森清能源开发有限公司,9
七台河,史兴海,individual,1,史兴海,10
七台河,吴志环,individual,1,吴志环,11
七台河,吴长明,individual,1,吴长明,12
七台河,周利臣,individual,1,周利臣,13
七台河,夏鑫宇,individual,1,夏鑫宇,14
七台河,姚勇,individual,1,姚勇,15
七台河,孙朝启,individual,1,孙朝启,16
七台河,张宏昌,individual,1,张宏昌,17
七台河,张辉,individual,1,张辉,18
七台河,戴振伟,individual,1,戴振伟,19
七台河,朱文强,individual,1,朱文强,20
万宁,中国医学科学院药用植物研究所海南分所,univ,7,中国医学科学院药用植物研究所海南分所,1
万宁,中国热带农业科学院香料饮料研究所,univ,7,中国热带农业科学院香料饮料研究所,2
万宁,海南省兴隆华侨农场咖啡厂,firm,2,海南省兴隆华侨农场咖啡厂,3
万宁,谭永福,individual,2,谭永福,4
万宁,段世荣,individual,1,段世荣,5
万宁,符施春,individual,1,符施春,6
三亚,三亚市南繁科学技术研究院,research,6,三亚市南繁科学技术研究院,1
三亚,陈跃明,individual,5,陈跃明,2
三亚,中国水产科学研究院南海水产研究所热带水产研究开发中心,research,3,中国水产科学研究院南海水产研究所热带水产研究开发中心,3
三亚,蔡春生,individual,3,蔡春生,4
三亚,海南海德热带农业资源研究所有限公司,firm,2,海南海德热带农业资源研究所有限公司,5
三亚,三亚海润珠宝有限公司,firm,1,三亚海润珠宝有限公司,6
三亚,三亚百泰微纳生物工程有限公司,firm,1,三亚百泰微纳生物工程有限公司,7
三亚,孙元斌,individual,1,孙元斌,8
三亚,李建权,individual,1,李建权,9
三亚,海南瑞泽新型建材股份有限公司,firm,1,海南瑞泽新型建材股份有限公司,10
三亚,王德福,individual,1,王德福,11
三亚,益科博能源设备(三亚)有限公司,firm,1,益科博能源设备(三亚)有限公司,12
三亚,辛力学,other,1,辛力学,13
三亚,陈宏,individual,1,陈宏,14
三亚,黄元卓,individual,1,黄元卓,15
三明,智胜化工股份有限公司,firm,10,智胜化工股份有限公司,1
三明,福建海峡科化股份有限公司,firm,7,福建海峡科化股份有限公司,2
三明,三明华健生物工程有限公司,firm,6,三明华健生物工程有限公司,3
三明,福建省麦丹生物集团有限公司,firm,5,福建省麦丹生物集团有限公司,4
三明,黄必录,individual,5,黄必录,5
三明,健盛食品股份有限公司,firm,4,健盛食品股份有限公司,6
三明,沙县宏盛塑料有限公司,firm,4,沙县宏盛塑料有限公司,7
三明,福建三钢闽光股份有限公司,firm,4,福建三钢闽光股份有限公司,8
三明,福建省汉堂生物制药股份有限公司,firm,4,福建省汉堂生物制药股份有限公司,9
三明,绿田(福建)食品有限公司,firm,4,绿田(福建)食品有限公司,10
三明,三明学院,univ,3,三明学院,11
三明,刘闽龙,individual,3,刘闽龙,12
三明,杨明杰,individual,3,杨明杰,13
三明,福建华橡自控技术股份有限公司,firm,3,福建华橡自控技术股份有限公司,14
三明,福建环科化工橡胶集团有限公司,firm,3,福建环科化工橡胶集团有限公司,15
三明,福建铙山纸业集团有限公司,firm,3,福建铙山纸业集团有限公司,16
三明,罗云,individual,3,罗云,17
三明,郑承煜,individual,3,郑承煜,18
三明,三明市海斯福化工有限责任公司,firm,2,三明市海斯福化工有限责任公司,19
三明,三明市鑫兴食品有限公司,firm,2,三明市鑫兴食品有限公司,20
三门峡,灵宝市金源矿业有限责任公司,firm,23,灵宝市金源矿业有限责任公司,1
三门峡,河南中原黄金冶炼厂有限责任公司,firm,10,河南中原黄金冶炼厂有限责任公司,2
三门峡,王延玲,individual,9,王延玲,3
三门峡,河南省电力公司三门峡供电公司,firm,6,河南省电力公司三门峡供电公司,4
三门峡,三门峡市峡威化工有限公司,firm,4,三门峡市峡威化工有限公司,5
三门峡,河南容安热工新材料有限公司,firm,4,河南容安热工新材料有限公司,6
三门峡,潘治宇,individual,4,潘治宇,7
三门峡,刘宏建,individual,3,刘宏建,8
三门峡,河南孟成生物药业股份有限公司,firm,3,河南孟成生物药业股份有限公司,9
三门峡,河南省湖滨果品加工新技术研究院,research,3,河南省湖滨果品加工新技术研究院,10
三门峡,灵宝市电业局,other,3,灵宝市电业局,11
三门峡,灵宝黄金股份有限公司,firm,3,灵宝黄金股份有限公司,12
三门峡,王安劳,individual,3,王安劳,13
三门峡,薛辉,individual,3,薛辉,14
三门峡,三门峡奥科化工有限公司,firm,2,三门峡奥科化工有限公司,15
三门峡,三门峡市新仰韶合成料有限公司,firm,2,三门峡市新仰韶合成料有限公司,16
三门峡,三门峡豫鑫路桥工程有限责任公司,firm,2,三门峡豫鑫路桥工程有限责任公司,17
三门峡,三门峡赛诺维制药有限公司,firm,2,三门峡赛诺维制药有限公司,18
三门峡,三门峡龙飞生物工程有限公司,firm,2,三门峡龙飞生物工程有限公司,19
三门峡,冯雨田,individual,2,冯雨田,20
上海,上海交通大学,univ,3121,上海交通大学,1
上海,中芯国际集成电路制造(上海)有限公司,firm,1948,中芯国际集成电路制造(上海)有限公司,2
上海,上海大学,univ,1578,上海大学,3
上海,复旦大学,univ,1511,复旦大学,4
上海,东华大学,univ,1502,东华大学,5
上海,同济大学,univ,1353,同济大学,6
上海,华东理工大学,univ,1070,华东理工大学,7
上海,宝山钢铁股份有限公司,firm,839,宝山钢铁股份有限公司,8
上海,上海华虹NEC电子有限公司,firm,745,上海华虹NEC电子有限公司,9
上海,华东师范大学,univ,574,华东师范大学,10
上海,上海贝尔股份有限公司,firm,514,上海贝尔股份有限公司,11
上海,上海宏力半导体制造有限公司,firm,501,上海宏力半导体制造有限公司,12
上海,上海理工大学,univ,482,上海理工大学,13
上海,中国科学院上海微系统与信息技术研究所,univ,458,中国科学院上海微系统与信息技术研究所,14
上海,中国科学院上海硅酸盐研究所,univ,445,中国科学院上海硅酸盐研究所,15
上海,上海微电子装备有限公司,firm,436,上海微电子装备有限公司,16
上海,中国科学院上海光学精密机械研究所,univ,364,中国科学院上海光学精密机械研究所,17
上海,上海应用技术学院,univ,337,上海应用技术学院,18
上海,中国人民解放军第二军医大学,univ,335,中国人民解放军第二军医大学,19
上海,上海工程技术大学,univ,308,上海工程技术大学,20
上饶,邓学峰,other,16,邓学峰,1
上饶,金雹峰,individual,8,金雹峰,2
上饶,吴赣英,individual,7,吴赣英,3
上饶,上饶旭日冶炼厂,firm,4,上饶旭日冶炼厂,4
上饶,晶科能源有限公司,firm,4,晶科能源有限公司,5
上饶,杨文波,individual,4,杨文波,6
上饶,凤凰光学股份有限公司,firm,3,凤凰光学股份有限公司,7
上饶,刘奇,individual,3,刘奇,8
上饶,占丰存,individual,3,占丰存,9
上饶,江西圣达威电工材料有限公司,firm,3,江西圣达威电工材料有限公司,10
上饶,胡本和,individual,3,胡本和,11
上饶,上饶市天佳新型材料有限公司,firm,2,上饶市天佳新型材料有限公司,12
上饶,上饶师范学院,univ,2,上饶师范学院,13
上饶,余正栋,individual,2,余正栋,14
上饶,倪国梁,individual,2,倪国梁,15
上饶,刘少云,individual,2,刘少云,16
上饶,占志波,individual,2,占志波,17
上饶,朱裕前,individual,2,朱裕前,18
上饶,杨玉梁,individual,2,杨玉梁,19
上饶,柳清高,individual,2,柳清高,20
东方,徐壹一,individual,3,徐壹一,1
东方,周伯霖,individual,1,周伯霖,2
东莞,东莞宏威数码机械有限公司,firm,191,东莞宏威数码机械有限公司,1
东莞,汪晋强,individual,151,汪晋强,2
东莞,王嘉兴,individual,136,王嘉兴,3
东莞,广东生益科技股份有限公司,firm,107,广东生益科技股份有限公司,4
东莞,东莞宇龙通信科技有限公司,firm,90,东莞宇龙通信科技有限公司,5
东莞,何云,individual,79,何云,6
东莞,王莉,individual,77,王莉,7
东莞,东莞新能源科技有限公司,firm,74,东莞新能源科技有限公司,8
东莞,富港电子(东莞)有限公司,firm,68,富港电子(东莞)有限公司,9
东莞,东莞勤上光电股份有限公司,firm,57,东莞勤上光电股份有限公司,10
东莞,何侠,individual,51,何侠,11
东莞,东莞市步步高家用电器有限公司,firm,41,东莞市步步高家用电器有限公司,12
东莞,广东易事特电源股份有限公司,firm,40,广东易事特电源股份有限公司,13
东莞,东莞市万丰纳米材料有限公司,firm,39,东莞市万丰纳米材料有限公司,14
东莞,东莞理工学院,univ,36,东莞理工学院,15
东莞,陈慧婷,individual,36,陈慧婷,16
