city,applicant,applicant_type_rough,patents,rank_baseline
七台河,王乃时,likely_individual,3,1
七台河,魏熙臣,likely_individual,3,2
七台河,王安,likely_individual,2,3
七台河,王福春,likely_individual,2,4
七台河,邱延海,likely_individual,2,5
七台河,七台河电业局,other_org_or_unclear,1,6
七台河,侯志敏,likely_individual,1,7
七台河,勃利县恒气炉制造厂,firm,1,8
七台河,勃利县森清能源开发有限公司,firm,1,9
七台河,史兴海,likely_individual,1,10
七台河,吴志环,likely_individual,1,11
七台河,吴长明,likely_individual,1,12
七台河,周利臣,likely_individual,1,13
七台河,夏鑫宇,likely_individual,1,14
七台河,姚勇,likely_individual,1,15
七台河,孙朝启,likely_individual,1,16
七台河,张宏昌,likely_individual,1,17
七台河,张辉,likely_individual,1,18
七台河,戴振伟,likely_individual,1,19
七台河,朱文强,likely_individual,1,20
万宁,中国医学科学院药用植物研究所海南分所,research_institute,7,1
万宁,中国热带农业科学院香料饮料研究所,research_institute,7,2
万宁,海南省兴隆华侨农场咖啡厂,firm,2,3
万宁,谭永福,likely_individual,2,4
万宁,段世荣,likely_individual,1,5
万宁,符施春,likely_individual,1,6
三亚,三亚市南繁科学技术研究院,research_institute,6,1
三亚,陈跃明,likely_individual,5,2
三亚,中国水产科学研究院南海水产研究所热带水产研究开发中心,research_institute,3,3
三亚,蔡春生,likely_individual,3,4
三亚,海南海德热带农业资源研究所有限公司,firm,2,5
三亚,三亚海润珠宝有限公司,firm,1,6
三亚,三亚百泰微纳生物工程有限公司,firm,1,7
三亚,孙元斌,likely_individual,1,8
三亚,李建权,likely_individual,1,9
三亚,海南瑞泽新型建材股份有限公司,firm,1,10
三亚,王德福,likely_individual,1,11
三亚,益科博能源设备(三亚)有限公司,firm,1,12
三亚,辛力学,likely_individual,1,13
三亚,陈宏,likely_individual,1,14
三亚,黄元卓,likely_individual,1,15
三明,智胜化工股份有限公司,firm,10,1
三明,福建海峡科化股份有限公司,firm,7,2
三明,三明华健生物工程有限公司,firm,6,3
三明,福建省麦丹生物集团有限公司,firm,5,4
三明,黄必录,likely_individual,5,5
三明,健盛食品股份有限公司,firm,4,6
三明,沙县宏盛塑料有限公司,firm,4,7
三明,福建三钢闽光股份有限公司,firm,4,8
三明,福建省汉堂生物制药股份有限公司,firm,4,9
三明,绿田(福建)食品有限公司,firm,4,10
三明,三明学院,university_or_college,3,11
三明,刘闽龙,likely_individual,3,12
三明,杨明杰,likely_individual,3,13
三明,福建华橡自控技术股份有限公司,firm,3,14
三明,福建环科化工橡胶集团有限公司,firm,3,15
三明,福建铙山纸业集团有限公司,firm,3,16
三明,罗云,likely_individual,3,17
三明,郑承煜,likely_individual,3,18
三明,三明市海斯福化工有限责任公司,firm,2,19
三明,三明市鑫兴食品有限公司,firm,2,20
三门峡,灵宝市金源矿业有限责任公司,firm,23,1
三门峡,河南中原黄金冶炼厂有限责任公司,firm,10,2
三门峡,王延玲,likely_individual,9,3
三门峡,河南省电力公司三门峡供电公司,firm,6,4
三门峡,三门峡市峡威化工有限公司,firm,4,5
三门峡,河南容安热工新材料有限公司,firm,4,6
