city,year,applicant_norm,clean_type,patents,applicant,rank_city_year
七台河,2008,侯志敏,individual,1,侯志敏,1
七台河,2008,史兴海,individual,1,史兴海,2
七台河,2008,姚勇,individual,1,姚勇,3
七台河,2008,张宏昌,individual,1,张宏昌,4
七台河,2008,戴振伟,individual,1,戴振伟,5
七台河,2008,杨政宽,individual,1,杨政宽,6
七台河,2008,王安,individual,1,王安,7
七台河,2008,蔺军民,individual,1,蔺军民,8
七台河,2008,赵明珍,individual,1,赵明珍,9
七台河,2008,赵英斌,individual,1,赵英斌,10
七台河,2009,王乃时,individual,3,王乃时,1
七台河,2009,勃利县森清能源开发有限公司,firm,1,勃利县森清能源开发有限公司,2
七台河,2009,吴长明,individual,1,吴长明,3
七台河,2009,周利臣,individual,1,周利臣,4
七台河,2009,沈荣骥,individual,1,沈荣骥,5
七台河,2009,王传礼,individual,1,王传礼,6
七台河,2009,王怀启,individual,1,王怀启,7
七台河,2009,王日久,individual,1,王日久,8
七台河,2009,王春鹏,individual,1,王春鹏,9
七台河,2009,王福春,individual,1,王福春,10
七台河,2009,邱延海,individual,1,邱延海,11
七台河,2009,郝常富,individual,1,郝常富,12
七台河,2009,金英花,individual,1,金英花,13
七台河,2009,陈宝江,individual,1,陈宝江,14
七台河,2009,马玉田,individual,1,马玉田,15
七台河,2009,黑龙江火地电气科技有限公司,firm,1,黑龙江火地电气科技有限公司,16
七台河,2010,魏熙臣,individual,3,魏熙臣,1
七台河,2010,七台河电业局,other,1,七台河电业局,2
七台河,2010,勃利县恒气炉制造厂,firm,1,勃利县恒气炉制造厂,3
七台河,2010,吴志环,individual,1,吴志环,4
七台河,2010,夏鑫宇,individual,1,夏鑫宇,5
七台河,2010,孙朝启,individual,1,孙朝启,6
七台河,2010,张辉,individual,1,张辉,7
七台河,2010,朱文强,individual,1,朱文强,8
七台河,2010,王双,individual,1,王双,9
七台河,2010,王安,individual,1,王安,10
七台河,2010,王福春,individual,1,王福春,11
七台河,2010,邱延海,individual,1,邱延海,12
七台河,2011,七台河市荣丰腐植酸有限公司,firm,3,七台河市荣丰腐植酸有限公司,1
七台河,2011,张万坤,individual,2,张万坤,2
七台河,2011,柳金先,individual,2,柳金先,3
七台河,2011,七台河电业局,other,1,七台河电业局,4
七台河,2011,何学新,other,1,何学新,5
七台河,2011,张洪斌,individual,1,张洪斌,6
七台河,2011,李以昌,individual,1,李以昌,7
七台河,2011,沈佐华,individual,1,沈佐华,8
七台河,2011,王世洋,individual,1,王世洋,9
七台河,2011,王双,individual,1,王双,10
七台河,2011,王安,individual,1,王安,11
七台河,2011,纪万斌,individual,1,纪万斌,12
七台河,2011,郝常富,individual,1,郝常富,13
七台河,2011,韩景福,individual,1,韩景福,14
七台河,2011,马玉田,individual,1,马玉田,15
七台河,2011,黑龙江省永新煤炭化工有限责任公司,firm,1,黑龙江省永新煤炭化工有限责任公司,16
七台河,2012,王安,individual,3,王安,1
七台河,2012,七台河市天源污水处理有限公司,firm,2,七台河市天源污水处理有限公司,2
七台河,2012,刘伟生,individual,2,刘伟生,3
七台河,2012,刘孝君,individual,2,刘孝君,4
七台河,2012,王云生,individual,2,王云生,5
七台河,2012,王贵国,individual,2,王贵国,6
