year,city,applicant,patents,scope,applicant_type_rough,rank_city_year
2008,七台河,侯志敏,1,inv_app_appyear,likely_individual,1
2008,七台河,史兴海,1,inv_app_appyear,likely_individual,2
2008,七台河,姚勇,1,inv_app_appyear,likely_individual,3
2008,七台河,张宏昌,1,inv_app_appyear,likely_individual,4
2008,七台河,戴振伟,1,inv_app_appyear,likely_individual,5
2008,七台河,杨政宽,1,inv_app_appyear,likely_individual,6
2008,七台河,王安,1,inv_app_appyear,likely_individual,7
2008,七台河,蔺军民,1,inv_app_appyear,likely_individual,8
2008,七台河,赵明珍,1,inv_app_appyear,likely_individual,9
2008,七台河,赵英斌,1,inv_app_appyear,likely_individual,10
2009,七台河,王乃时,3,inv_app_appyear,likely_individual,1
2009,七台河,勃利县森清能源开发有限公司,1,inv_app_appyear,firm,2
2009,七台河,吴长明,1,inv_app_appyear,likely_individual,3
2009,七台河,周利臣,1,inv_app_appyear,likely_individual,4
2009,七台河,沈荣骥,1,inv_app_appyear,likely_individual,5
2009,七台河,王传礼,1,inv_app_appyear,likely_individual,6
2009,七台河,王怀启,1,inv_app_appyear,likely_individual,7
2009,七台河,王日久,1,inv_app_appyear,likely_individual,8
2009,七台河,王春鹏,1,inv_app_appyear,likely_individual,9
2009,七台河,王福春,1,inv_app_appyear,likely_individual,10
2009,七台河,邱延海,1,inv_app_appyear,likely_individual,11
2009,七台河,郝常富,1,inv_app_appyear,likely_individual,12
2009,七台河,金英花,1,inv_app_appyear,likely_individual,13
2009,七台河,陈宝江,1,inv_app_appyear,likely_individual,14
2009,七台河,马玉田,1,inv_app_appyear,likely_individual,15
2009,七台河,黑龙江火地电气科技有限公司,1,inv_app_appyear,firm,16
2010,七台河,魏熙臣,3,inv_app_appyear,likely_individual,1
2010,七台河,七台河电业局,1,inv_app_appyear,other_org_or_unclear,2
2010,七台河,勃利县恒气炉制造厂,1,inv_app_appyear,firm,3
2010,七台河,吴志环,1,inv_app_appyear,likely_individual,4
2010,七台河,夏鑫宇,1,inv_app_appyear,likely_individual,5
2010,七台河,孙朝启,1,inv_app_appyear,likely_individual,6
2010,七台河,张辉,1,inv_app_appyear,likely_individual,7
2010,七台河,朱文强,1,inv_app_appyear,likely_individual,8
2010,七台河,王双,1,inv_app_appyear,likely_individual,9
2010,七台河,王安,1,inv_app_appyear,likely_individual,10
2010,七台河,王福春,1,inv_app_appyear,likely_individual,11
2010,七台河,邱延海,1,inv_app_appyear,likely_individual,12
2011,七台河,七台河市荣丰腐植酸有限公司,3,inv_app_appyear,firm,1
2011,七台河,张万坤,2,inv_app_appyear,likely_individual,2
2011,七台河,柳金先,2,inv_app_appyear,likely_individual,3
2011,七台河,七台河电业局,1,inv_app_appyear,other_org_or_unclear,4
2011,七台河,何学新,1,inv_app_appyear,likely_individual,5
2011,七台河,张洪斌,1,inv_app_appyear,likely_individual,6
2011,七台河,李以昌,1,inv_app_appyear,likely_individual,7
2011,七台河,沈佐华,1,inv_app_appyear,likely_individual,8
2011,七台河,王世洋,1,inv_app_appyear,likely_individual,9
2011,七台河,王双,1,inv_app_appyear,likely_individual,10
2011,七台河,王安,1,inv_app_appyear,likely_individual,11
2011,七台河,纪万斌,1,inv_app_appyear,likely_individual,12
2011,七台河,郝常富,1,inv_app_appyear,likely_individual,13
