year,applicant_type_rough,top_rows,top_patents
2008,firm,2010,41006
2008,university_or_college,330,27334
2008,likely_individual,2911,9518
2008,research_institute,191,5044
2008,other_org_or_unclear,59,403
2008,hospital,13,39
2008,government,7,33
2009,firm,2422,48119
2009,university_or_college,360,33251
2009,likely_individual,2687,9426
2009,research_institute,222,5530
2009,other_org_or_unclear,83,421
2009,hospital,11,77
2009,government,4,13
2010,firm,2875,56553
2010,university_or_college,380,41643
2010,likely_individual,2351,10058
2010,research_institute,227,6531
2010,other_org_or_unclear,94,485
2010,hospital,7,72
2010,government,3,28
2011,firm,3239,72218
2011,university_or_college,398,52026
2011,likely_individual,2139,12381
2011,research_institute,235,9028
2011,other_org_or_unclear,91,791
2011,hospital,16,188
2011,government,1,14
2012,firm,3567,90992
2012,university_or_college,421,62412
2012,likely_individual,1939,14433
2012,research_institute,225,9947
2012,other_org_or_unclear,116,1694
2012,hospital,20,220
2012,government,1,2
2013,firm,3659,121956
2013,university_or_college,476,85988
2013,likely_individual,1916,18502
2013,research_institute,243,11513
2013,other_org_or_unclear,146,2625
2013,hospital,27,564
2013,government,4,14
2014,firm,3736,127003
2014,university_or_college,510,94625
2014,likely_individual,1862,18661
2014,research_institute,250,11603
2014,other_org_or_unclear,122,2974
2014,hospital,26,549
2014,government,2,3
2015,firm,3742,144389
2015,university_or_college,527,111357
2015,likely_individual,1889,23674
2015,research_institute,247,13552
2015,other_org_or_unclear,175,4635
2015,hospital,25,241
2015,government,5,10
2016,firm,3967,177925
2016,university_or_college,581,145410
2016,likely_individual,1725,24785
2016,research_institute,256,15879
2016,other_org_or_unclear,180,6069
2016,hospital,30,526
2016,government,2,2
2017,firm,4087,210246
2017,university_or_college,617,165451
2017,likely_individual,1693,22613
2017,research_institute,256,16629
2017,other_org_or_unclear,175,4717
2017,hospital,33,550
2018,firm,4388,226325
2018,university_or_college,684,207355
2018,research_institute,275,17922
2018,likely_individual,1469,14060
2018,hospital,59,2753
2018,other_org_or_unclear,149,2369
2018,government,3,30
2019,firm,4782,236326
2019,university_or_college,757,228344
2019,research_institute,295,19280
2019,likely_individual,1099,6253
2019,hospital,96,4067
2019,other_org_or_unclear,108,1059
2020,firm,4704,289203
2020,university_or_college,737,204918
2020,research_institute,301,24803
2020,likely_individual,1318,8187
2020,hospital,107,5530
2020,other_org_or_unclear,102,1582
2020,government,3,76
2021,firm,5061,312037
2021,university_or_college,767,246556
2021,research_institute,321,27292
2021,hospital,161,7464
2021,likely_individual,1068,4341
2021,other_org_or_unclear,121,1825
2021,government,6,37
2022,firm,5525,329088
2022,university_or_college,817,286588
2022,research_institute,360,32515
2022,hospital,235,10180
2022,other_org_or_unclear,153,2593
2022,likely_individual,634,1439
2022,government,7,114
2023,firm,5985,344917
2023,university_or_college,791,294087
2023,research_institute,400,37848
2023,hospital,198,5741
2023,other_org_or_unclear,176,2560
2023,likely_individual,294,950
2023,government,7,103
