applicant_norm,clean_type,applicant,top_patents,top_rows,city_count,max_city_year_patents
华为技术有限公司,firm,华为技术有限公司,106301,16,1,13958
中国石油化工股份有限公司,firm,中国石油化工股份有限公司,72298,68,12,8164
珠海格力电器股份有限公司,firm,珠海格力电器股份有限公司,58010,16,1,8778
浙江大学,univ,浙江大学,52995,21,2,7320
中兴通讯股份有限公司,firm,中兴通讯股份有限公司,52661,16,1,5815
腾讯科技(深圳)有限公司,firm,腾讯科技(深圳)有限公司,52434,16,1,7971
京东方科技集团股份有限公司,firm,京东方科技集团股份有限公司,46248,13,1,5917
清华大学,univ,清华大学,39761,16,1,4627
东南大学,univ,东南大学,36779,25,4,4847
华南理工大学,univ,华南理工大学,35881,16,1,4058
天津大学,univ,天津大学,34624,16,1,4252
哈尔滨工业大学,univ,哈尔滨工业大学,33655,16,1,4586
OPPO广东移动通信有限公司,firm,OPPO广东移动通信有限公司,33392,9,1,6693
上海交通大学,univ,上海交通大学,30916,16,1,3441
西安交通大学,univ,西安交通大学,30304,16,1,4456
中国石油天然气股份有限公司,firm,中国石油天然气股份有限公司,29711,16,1,4983
维沃移动通信有限公司,firm,维沃移动通信有限公司,29341,10,1,5384
北京航空航天大学,univ,北京航空航天大学,28945,16,1,3786
电子科技大学,univ,电子科技大学,28938,16,1,3740
北京小米移动软件有限公司,firm,北京小米移动软件有限公司,26842,8,1,4871
吉林大学,univ,吉林大学,26768,16,1,3640
国家电网公司,firm,国家电网公司,26594,17,9,9178
华中科技大学,univ,华中科技大学,26396,16,1,3827
浙江工业大学,univ,浙江工业大学,25575,16,1,3513
山东大学,univ,山东大学,25207,28,3,3187
南京航空航天大学,univ,南京航空航天大学,24788,17,2,3918
中南大学,univ,中南大学,24778,16,1,3529
北京理工大学,univ,北京理工大学,23739,16,1,4036
西安电子科技大学,univ,西安电子科技大学,23588,17,2,3373
江南大学,univ,江南大学,23099,16,1,2626
西北工业大学,univ,西北工业大学,21441,17,2,3689
大连理工大学,univ,大连理工大学,21419,26,2,2781
北京工业大学,univ,北京工业大学,21345,16,1,2730
江苏大学,univ,江苏大学,21288,16,1,2183
重庆大学,univ,重庆大学,20664,16,1,3083
同济大学,univ,同济大学,20329,16,1,2689
四川大学,univ,四川大学,19927,16,1,3095
广东工业大学,univ,广东工业大学,19838,16,1,2879
昆明理工大学,univ,昆明理工大学,19076,16,1,3209
南京理工大学,univ,南京理工大学,18562,16,1,2317
武汉理工大学,univ,武汉理工大学,18560,16,1,2617
北京百度网讯科技有限公司,firm,北京百度网讯科技有限公司,17740,5,1,4965
平安科技(深圳)有限公司,firm,平安科技(深圳)有限公司,17387,8,1,3893
合肥工业大学,univ,合肥工业大学,17156,20,2,2883
苏州浪潮智能科技有限公司,firm,苏州浪潮智能科技有限公司,17078,5,1,4415
武汉大学,univ,武汉大学,16910,16,1,2572
比亚迪股份有限公司,firm,比亚迪股份有限公司,16568,16,1,2389
中山大学,univ,中山大学,16503,18,3,2486
广东欧珀移动通信有限公司,firm,广东欧珀移动通信有限公司,16445,8,1,4820
广东电网有限责任公司,firm,广东电网有限责任公司,16290,6,1,3616
联想(北京)有限公司,firm,联想(北京)有限公司,15884,12,1,2356
哈尔滨工程大学,univ,哈尔滨工程大学,15590,16,1,1969
杭州电子科技大学,univ,杭州电子科技大学,15041,16,1,3130
福州大学,univ,福州大学,14729,23,2,1800
南京邮电大学,univ,南京邮电大学,14660,18,2,2250
鸿富锦精密工业(深圳)有限公司,firm,鸿富锦精密工业(深圳)有限公司,14359,8,1,2862
中国联合网络通信集团有限公司,firm,中国联合网络通信集团有限公司,14265,9,1,3732
中国工商银行股份有限公司,firm,中国工商银行股份有限公司,14177,4,1,5305
河海大学,univ,河海大学,14084,16,1,1515
上海大学,univ,上海大学,13818,16,1,1558
中国科学院大连化学物理研究所,univ,中国科学院大连化学物理研究所,13809,16,1,1595
台湾积体电路制造股份有限公司,firm,台湾积体电路制造股份有限公司,13764,26,2,1542
中国矿业大学,firm,中国矿业大学,13684,16,1,2139
复旦大学,univ,复旦大学,13459,16,1,1773
中国第一汽车股份有限公司,firm,中国第一汽车股份有限公司,13361,13,1,4734
东北大学,univ,东北大学,13318,20,3,1877
广西大学,univ,广西大学,13257,16,1,2849
南京大学,univ,南京大学,13227,16,1,1767
广东美的制冷设备有限公司,firm,广东美的制冷设备有限公司,12574,13,1,2172
苏州大学,univ,苏州大学,12499,16,1,1649
西南交通大学,univ,西南交通大学,12477,18,2,1928
重庆长安汽车股份有限公司,firm,重庆长安汽车股份有限公司,12203,16,1,3941
东华大学,univ,东华大学,12166,16,1,1146
陕西科技大学,univ,陕西科技大学,12109,17,2,1255
常州大学,univ,常州大学,11885,14,1,1889
南京工业大学,univ,南京工业大学,11763,16,1,1859
中芯国际集成电路制造(上海)有限公司,firm,中芯国际集成电路制造(上海)有限公司,11514,14,1,1409
厦门大学,univ,厦门大学,11406,16,1,1527
中国石油大学(华东),univ,中国石油大学(华东),11328,28,2,1368
网易(杭州)网络有限公司,firm,网易(杭州)网络有限公司,11258,9,1,2492
湖南大学,univ,湖南大学,11256,16,1,1826
青岛海尔空调器有限总公司,firm,青岛海尔空调器有限总公司,11224,9,1,2969
中国科学技术大学,univ,中国科学技术大学,11201,16,1,1957
西南石油大学,univ,西南石油大学,11103,18,2,1975
荣耀终端有限公司,firm,荣耀终端有限公司,11061,3,1,4606
中国人民解放军国防科技大学,univ,中国人民解放军国防科技大学,11028,7,1,2892
中国银行股份有限公司,firm,中国银行股份有限公司,10973,4,1,4386
重庆邮电大学,univ,重庆邮电大学,10657,16,1,2122
太原理工大学,univ,太原理工大学,10598,25,2,1360
郑州云海信息技术有限公司,firm,郑州云海信息技术有限公司,10470,6,1,4611
浙江理工大学,univ,浙江理工大学,10252,16,1,1503
深圳大学,univ,深圳大学,10165,13,1,1659
北京邮电大学,univ,北京邮电大学,10099,13,1,1630
努比亚技术有限公司,firm,努比亚技术有限公司,9925,5,1,2830
贵州大学,univ,贵州大学,9728,16,1,1526
中国电信股份有限公司,firm,中国电信股份有限公司,9658,8,1,4177
中国石油天然气集团有限公司,firm,中国石油天然气集团有限公司,9640,4,1,3284
江苏科技大学,univ,江苏科技大学,9555,17,2,1664
燕山大学,univ,燕山大学,9532,16,1,1462
哈尔滨理工大学,univ,哈尔滨理工大学,9502,16,1,1335
宁德时代新能源科技股份有限公司,firm,宁德时代新能源科技股份有限公司,9400,10,1,3396
支付宝(杭州)信息技术有限公司,firm,支付宝(杭州)信息技术有限公司,9285,5,1,2722
华南农业大学,univ,华南农业大学,9280,16,1,1393
西安理工大学,univ,西安理工大学,9164,16,1,1731
郑州大学,univ,郑州大学,9163,16,1,1811
百度在线网络技术(北京)有限公司,firm,百度在线网络技术(北京)有限公司,9106,8,1,2243
中国建设银行股份有限公司,firm,中国建设银行股份有限公司,9087,4,1,2467
济南大学,univ,济南大学,9086,16,1,1064
北京奇虎科技有限公司,firm,北京奇虎科技有限公司,9082,7,1,2310
华东理工大学,univ,华东理工大学,9016,16,1,1071
北京达佳互联信息技术有限公司,firm,北京达佳互联信息技术有限公司,8987,4,1,3420
扬州大学,univ,扬州大学,8851,16,1,1225
长城汽车股份有限公司,firm,长城汽车股份有限公司,8801,16,1,2421
深圳市华星光电技术有限公司,firm,深圳市华星光电技术有限公司,8619,10,1,1355
南通大学,univ,南通大学,8495,16,1,1519
桂林电子科技大学,univ,桂林电子科技大学,8493,16,1,1443
北京科技大学,univ,北京科技大学,8471,10,1,1911
安徽理工大学,univ,安徽理工大学,8444,16,1,1293
南京林业大学,univ,南京林业大学,8330,16,1,1283
奇瑞汽车股份有限公司,firm,奇瑞汽车股份有限公司,8287,16,1,776
宁波方太厨具有限公司,firm,宁波方太厨具有限公司,8209,15,1,1378
中国科学院长春光学精密机械与物理研究所,univ,中国科学院长春光学精密机械与物理研究所,8063,16,1,932
山东科技大学,univ,山东科技大学,8048,22,2,1135
长安大学,univ,长安大学,8020,16,1,1057
长鑫存储技术有限公司,firm,长鑫存储技术有限公司,8008,6,1,2306
河北工业大学,univ,河北工业大学,7960,16,1,1215
宁波大学,univ,宁波大学,7949,16,1,809
青岛科技大学,univ,青岛科技大学,7777,16,1,1085
西安热工研究院有限公司,firm,西安热工研究院有限公司,7747,6,1,2501
上海理工大学,univ,上海理工大学,7644,15,1,936
浙江大华技术股份有限公司,firm,浙江大华技术股份有限公司,7565,11,1,2147
青岛海尔洗衣机有限公司,firm,青岛海尔洗衣机有限公司,7542,9,1,1421
友达光电股份有限公司,firm,友达光电股份有限公司,7438,21,2,728
南昌大学,univ,南昌大学,7422,16,1,967
中国地质大学(武汉),univ,中国地质大学(武汉),7328,16,1,1124
潍柴动力股份有限公司,firm,潍柴动力股份有限公司,7168,14,1,1469
三峡大学,univ,三峡大学,7153,16,1,1171
贵州电网有限责任公司,firm,贵州电网有限责任公司,7092,7,1,1949
