applicant_norm,clean_type,applicant,top_patents,top_rows,city_count,max_city_year_patents
财团法人工业技术研究院,research,财团法人工业技术研究院,5388,21,2,497
之江实验室,research,之江实验室,4692,4,1,2505
中国核动力研究设计院,research,中国核动力研究设计院,3212,12,1,611
四川大学华西医院,hospital,四川大学华西医院,3211,5,1,748
深圳先进技术研究院,research,深圳先进技术研究院,3139,9,1,550
中国航发沈阳发动机研究所,research,中国航发沈阳发动机研究所,3061,7,1,883
郑州大学第一附属医院,hospital,郑州大学第一附属医院,2273,6,1,704
中国电力科学研究院,research,中国电力科学研究院,2146,3,1,800
季华实验室,research,季华实验室,1944,5,1,667
中国工程物理研究院激光聚变研究中心,research,中国工程物理研究院激光聚变研究中心,1801,14,1,241
青岛大学附属医院,hospital,青岛大学附属医院,1722,5,1,429
中国人民解放军陆军军医大学第一附属医院,hospital,中国人民解放军陆军军医大学第一附属医院,1661,6,1,475
河南科技大学第一附属医院,hospital,河南科技大学第一附属医院,1659,11,1,363
中南大学湘雅医院,hospital,中南大学湘雅医院,1623,6,1,414
中国直升机设计研究所,research,中国直升机设计研究所,1540,15,1,251
西安近代化学研究所,research,西安近代化学研究所,1432,10,1,310
中国辐射防护研究院,research,中国辐射防护研究院,1284,16,1,278
电信科学技术研究院,research,电信科学技术研究院,1252,3,1,478
华中科技大学同济医学院附属协和医院,hospital,华中科技大学同济医学院附属协和医院,1241,3,1,604
兰州空间技术物理研究所,research,兰州空间技术物理研究所,1230,11,1,170
中国航发湖南动力机械研究所,research,中国航发湖南动力机械研究所,1227,7,1,386
浙江省海洋水产研究所,research,浙江省海洋水产研究所,1109,15,1,139
中国工程物理研究院化工材料研究所,research,中国工程物理研究院化工材料研究所,1100,13,1,213
天津津航计算技术研究所,research,天津津航计算技术研究所,1095,7,1,208
中国北方发动机研究所(天津),research,中国北方发动机研究所(天津),969,8,1,167
中国工程物理研究院总体工程研究所,research,中国工程物理研究院总体工程研究所,889,13,1,152
中国船舶科学研究中心,research,中国船舶科学研究中心,880,4,1,319
深圳光启高等理工研究院,research,深圳光启高等理工研究院,866,1,1,866
广西壮族自治区林业科学研究院,research,广西壮族自治区林业科学研究院,863,12,1,109
西北核技术研究所,research,西北核技术研究所,767,2,1,432
湖北航天化学技术研究所,research,湖北航天化学技术研究所,760,13,1,98
中国空气动力研究与发展中心超高速空气动力研究所,research,中国空气动力研究与发展中心超高速空气动力研究所,759,7,1,176
中国空气动力研究与发展中心高速空气动力研究所,research,中国空气动力研究与发展中心高速空气动力研究所,754,10,1,142
中国工程物理研究院材料研究所,research,中国工程物理研究院材料研究所,725,10,1,101
中国工程物理研究院电子工程研究所,research,中国工程物理研究院电子工程研究所,710,15,1,118
松山湖材料实验室,research,松山湖材料实验室,699,4,1,247
南通市第一人民医院,hospital,南通市第一人民医院,696,5,1,203
