pub_file_year,rows_seen,rows_clean,rows_inv_app,rows_missing_ipc,rows_firm_inv_app,all_parts,firm_parts
2000,110405,3057,3057,0,464,1,1
2001,123118,14432,14432,0,4086,1,1
2002,141513,26731,26731,0,9042,1,1
2003,184111,37046,37046,0,13127,1,1
2004,195634,40087,40087,0,16336,1,1
2005,246164,70213,70213,0,26890,2,2
2006,304807,83795,83795,0,37256,2,2
2007,407786,99575,99575,0,46453,3,3
2008,501435,140110,140110,0,69803,3,3
2009,661066,175393,175393,0,91663,4,4
2010,928892,176738,176738,0,95896,5,5
2011,1113642,204426,204426,0,114767,6,6
2012,1565092,322003,322003,0,190036,8,8
2013,1849408,501577,501577,0,291076,10,10
2014,1877285,630114,630114,0,384270,10,10
2015,2435017,839512,839512,0,517586,13,13
2016,2598155,901635,901635,0,549828,13,13
2017,2860285,1107465,1107465,0,707302,15,15
2018,3695711,1390289,1390289,0,914488,19,19
2019,3827095,1389566,1389566,0,883738,20,20
2020,4852120,1326786,1326786,0,899128,25,25
2021,6017671,1547203,1547203,0,1031284,31,31
2022,5731871,1506231,1506231,0,1031908,29,29
2023,4919838,1511291,1511291,0,1062931,25,25
2024,6562583,1366839,1366839,0,1034159,16,16
2025,5211133,528110,528110,0,405353,23,23
