rows_seen,rows_valid,rows_missing_city_or_applicant,rows_inv_app,rows_inv_grant,all_pub_city_applicant_pairs,all_pub_seen_pairs,inv_app_pub_city_applicant_pairs,inv_app_pub_seen_pairs,inv_grant_pub_city_applicant_pairs,inv_grant_pub_seen_pairs,year
110405,110350,55,14222,5761,60232,60232,9147,9147,4003,4003,2000
123118,123074,44,20186,6396,62300,108777,10962,18612,4450,7871,2001
141513,141470,43,26860,5541,65571,155158,12318,28541,3592,10796,2002
184111,184068,43,37123,11065,75639,203841,16321,41386,6025,15715,2003
195634,195583,51,44156,17979,77805,249183,16633,53404,8281,22301,2004
246164,246100,64,73804,19738,88101,300360,25415,72001,8491,28646,2005
304807,304727,80,89418,25267,100866,357643,27113,90699,9974,35766,2006
407786,407733,53,115702,30222,123117,427392,33196,113024,10827,43037,2007
501435,501344,91,150766,44981,138332,505138,39972,139411,14184,52537,2008
661066,660967,99,179850,65555,153478,586128,48330,170480,19746,65736,2009
928892,928729,163,229341,74858,197785,694448,59673,207989,23023,80548,2010
1113642,1113416,226,270119,107110,219559,808783,68483,249002,32037,100883,2011
1565092,1564828,264,423070,144267,267627,948704,93380,304516,41307,125720,2012
1849408,1849141,267,534526,150166,309852,1107635,103922,363998,43508,149768,2013
1877285,1876951,334,636866,156602,310302,1257650,117969,430429,43879,172669,2014
2435017,2434832,185,861462,250134,374621,1442770,144394,511636,61808,207109,2015
2598155,2596867,1288,935895,319778,406727,1635350,157700,597349,75695,247096,2016
2860285,2857488,2797,1142254,321244,460696,1860517,187582,702333,78398,288384,2017
3695711,3695667,44,1390426,340010,573234,2146646,220251,824826,84790,333227,2018
3827095,3827085,10,1389652,352223,632676,2446383,241966,952341,79358,373844,2019
4852120,4852104,16,1367094,426815,820881,2865918,252771,1086346,88684,422863,2020
6017671,6017662,9,1590162,573123,1010755,3383689,309758,1256165,125668,494638,2021
5731871,5731651,220,1553123,684386,955091,3814389,298469,1408776,145091,571290,2022
4919838,4918989,849,1533883,819610,816358,4113233,273847,1529282,173514,652981,2023
6562583,6161991,400591,2574822,960947,852888,4413707,393600,1666340,219868,751483,2024
