pub_file_year,rows_seen,rows_clean,rows_inv_grant_appyear,rows_inv_grant_grantyear,rows_inv_grant_cited_appyear,rows_inv_grant_familycited_appyear,inv_grant_grantyear_parts,inv_grant_appyear_parts,inv_grant_cited_appyear_parts,inv_grant_familycited_appyear_parts,scope,detail_rows,detail_cities,detail_year_min,detail_year_max
2000.0,110405.0,110350.0,0.0,5760.0,0.0,0.0,1.0,,,,,,,,
2001.0,123118.0,123074.0,1.0,6395.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2002.0,141513.0,141470.0,409.0,5472.0,222.0,371.0,1.0,1.0,1.0,1.0,,,,,
2003.0,184111.0,184068.0,5744.0,11065.0,2692.0,5287.0,1.0,1.0,1.0,1.0,,,,,
2004.0,195634.0,195583.0,15819.0,17757.0,7233.0,14609.0,1.0,1.0,1.0,1.0,,,,,
2005.0,246164.0,246100.0,19425.0,19735.0,8577.0,17924.0,2.0,2.0,2.0,2.0,,,,,
2006.0,304807.0,304727.0,25159.0,25267.0,10015.0,23136.0,2.0,2.0,2.0,2.0,,,,,
2007.0,407786.0,407733.0,29990.0,30041.0,10743.0,27332.0,2.0,2.0,2.0,2.0,,,,,
2008.0,501435.0,501344.0,44896.0,44954.0,14363.0,40776.0,3.0,3.0,3.0,3.0,,,,,
2009.0,661066.0,660967.0,65538.0,65551.0,19512.0,59615.0,4.0,4.0,4.0,4.0,,,,,
2010.0,928892.0,928729.0,74736.0,74749.0,22832.0,69029.0,5.0,5.0,4.0,5.0,,,,,
2011.0,1113642.0,1113416.0,106967.0,106971.0,31514.0,99566.0,6.0,6.0,6.0,6.0,,,,,
2012.0,1565092.0,1564828.0,144250.0,144252.0,39409.0,134053.0,8.0,8.0,8.0,8.0,,,,,
2013.0,1849408.0,1849141.0,150156.0,150158.0,38690.0,138626.0,10.0,10.0,10.0,10.0,,,,,
2014.0,1877285.0,1876951.0,155082.0,155083.0,36442.0,141727.0,10.0,10.0,10.0,10.0,,,,,
2015.0,2435017.0,2434832.0,238512.0,238517.0,49894.0,213314.0,13.0,13.0,13.0,13.0,,,,,
2016.0,2598155.0,2596867.0,302029.0,302039.0,56650.0,266066.0,13.0,13.0,13.0,13.0,,,,,
2017.0,2860285.0,2857488.0,315311.0,315312.0,48419.0,275099.0,15.0,15.0,15.0,15.0,,,,,
2018.0,3695711.0,3695667.0,334266.0,334267.0,45481.0,284042.0,19.0,19.0,19.0,19.0,,,,,
2019.0,3827095.0,3827085.0,348019.0,348019.0,37778.0,292339.0,20.0,20.0,20.0,20.0,,,,,
2020.0,4852120.0,4852104.0,419778.0,419778.0,36674.0,335437.0,25.0,25.0,25.0,25.0,,,,,
2021.0,6017671.0,6017662.0,566259.0,566259.0,36323.0,417095.0,31.0,31.0,31.0,31.0,,,,,
2022.0,5731871.0,5731651.0,680328.0,680328.0,24976.0,410331.0,29.0,29.0,29.0,29.0,,,,,
2023.0,4919838.0,4918989.0,790228.0,790207.0,13517.0,365084.0,25.0,25.0,25.0,25.0,,,,,
2024.0,6562583.0,6161991.0,783062.0,16.0,19866.0,422865.0,1.0,6.0,6.0,6.0,,,,,
2025.0,5211133.0,4913829.0,431842.0,11.0,1175.0,195473.0,7.0,17.0,16.0,17.0,,,,,
,,,,,,,,,,,inv_grant_appyear,1407056.0,441.0,2000.0,2023.0
,,,,,,,,,,,inv_grant_cited_appyear,274572.0,397.0,2000.0,2023.0
,,,,,,,,,,,inv_grant_familycited_appyear,1064979.0,437.0,2000.0,2023.0
,,,,,,,,,,,inv_grant_grantyear,1186293.0,372.0,2000.0,2023.0
