block,sample,spec,xvar,outcome,coef,se,t,p,sig,N,N_city,mean_y
overall_tech_ddd,all,cityyear_cityhigh_highyear,idc_stock_high,ln1p_city_new_applicants_field,.2157256772289675,.032051798,6.7305326,9.0326219e-11,***,9294,291,3.231713492330448
overall_tech_ddd,all,cityyear_cityhigh_highyear,idc_stock_high,ln1p_city_new_patents_field,.2535050551392333,.03932346,6.4466619,4.7620302e-10,***,9294,291,3.693955345002215
overall_tech_ddd,all,cityyear_cityhigh_highyear,idc_stock_high,city_new_share_total_field,.0286560528263244,.013343425,2.1475785,.032575887,**,8238,291,.4049486175808076
overall_tech_ddd,all,cityyear_cityhigh_highyear,idc_stock_high,ln1p_field_new_applicants_field,.1723640508616445,.030713132,5.6120634,4.6716337e-08,***,9294,291,3.355059610457742
overall_tech_ddd,all,cityyear_cityhigh_highyear,idc_stock_high,ln1p_field_new_patents_field,.1928225094141799,.035747588,5.3940005,1.4319855e-07,***,9294,291,3.831650306339518
overall_tech_ddd,all,cityyear_cityhigh_highyear,idc_stock_high,field_new_share_total_field,.0309213932130905,.014652323,2.1103406,.035685234,**,8238,291,.4782749559085431
overall_tech_ddd,all,cityyear_cityhigh_highyear,idc_stock_high,ln1p_total_patents_field,.1664983361138228,.044659283,3.7281911,.00023188406,***,9294,291,4.620679764165665
overall_tech_ddd,all,cityyear_cityhigh_highyear,idc_stock_high,ln1p_incumbent_patents_field,.3062023832091045,.061599642,4.9708467,1.1421523e-06,***,9294,291,4.089027818870287
overall_tech_ddd,min20,cityyear_cityhigh_highyear,idc_stock_high,ln1p_city_new_applicants_field,.1505702067441281,.028782694,5.231276,3.2383329e-07,***,8904,290,3.334240565574382
overall_tech_ddd,min20,cityyear_cityhigh_highyear,idc_stock_high,ln1p_city_new_patents_field,.1774344452102538,.036286224,4.8898573,1.6770357e-06,***,8904,290,3.812559214704069
overall_tech_ddd,min20,cityyear_cityhigh_highyear,idc_stock_high,city_new_share_total_field,.0345605867891276,.012984044,2.6617737,.0082095712,***,8156,289,.4016885862315981
overall_tech_ddd,min20,cityyear_cityhigh_highyear,idc_stock_high,ln1p_field_new_applicants_field,.1077176239108734,.027266996,3.9504764,.000098079945,***,8904,290,3.462850929252928
overall_tech_ddd,min20,cityyear_cityhigh_highyear,idc_stock_high,ln1p_field_new_patents_field,.1185517221186772,.032552574,3.6418538,.00032070387,***,8904,290,3.95615007250557
overall_tech_ddd,min20,cityyear_cityhigh_highyear,idc_stock_high,field_new_share_total_field,.0409327434733227,.013824643,2.9608536,.0033232186,***,8156,289,.4755069255086806
overall_tech_ddd,min20,cityyear_cityhigh_highyear,idc_stock_high,ln1p_total_patents_field,.0711640110190493,.039779883,1.7889447,.074670918,*,8904,290,4.771517868158972
overall_tech_ddd,min20,cityyear_cityhigh_highyear,idc_stock_high,ln1p_incumbent_patents_field,.1922627190032131,.055635031,3.4557853,.00063103123,***,8904,290,4.24430207958439
overall_tech_ddd,min50,cityyear_cityhigh_highyear,idc_stock_high,ln1p_city_new_applicants_field,.0926211775332143,.029094866,3.1834199,.0016154476,***,8312,288,3.469216507385165
overall_tech_ddd,min50,cityyear_cityhigh_highyear,idc_stock_high,ln1p_city_new_patents_field,.1131985081652282,.036581621,3.0944095,.0021666016,***,8312,288,3.968449171453599
