sample,scope,outcome,coef,se,p,sig,N,N_city,mean_y
y2020,inv_grant_appyear,new_applicant_share,0.009946177096803,0.011250928,0.37741143,,3765,291,0.4487947611968192
y2020,inv_grant_appyear,ln1p_new_applicants,0.0534418123166036,0.038099013,0.16177338,,3765,291,3.749754493293453
y2020,inv_grant_appyear,ln1p_new_patents,0.0761013447990822,0.046502415,0.10281908,,3765,291,4.080947138165352
y2020,inv_grant_appyear,ln1p_total_patents,0.0651752215701046,0.0520951,0.21191303,,3765,291,5.005096886754496
y2020,inv_grant_appyear,ln1p_incumbent_patents,0.0414283834239129,0.060716525,0.49557829,,3765,291,4.356748740836964
y2021,inv_grant_appyear,new_applicant_share,0.010678722276823,0.0108766,0.32701328,,4056,291,0.4381689974460176
y2021,inv_grant_appyear,ln1p_new_applicants,0.0694089240511251,0.038772706,0.074473076,*,4056,291,3.789513603805676
y2021,inv_grant_appyear,ln1p_new_patents,0.0929180746584297,0.046841308,0.048234526,**,4056,291,4.119049712338409
y2021,inv_grant_appyear,ln1p_total_patents,0.0791142225982013,0.051772751,0.12757632,,4056,291,5.072131575263782
y2021,inv_grant_appyear,ln1p_incumbent_patents,0.0545451786007859,0.059835084,0.36274073,,4056,291,4.443233825805243
y2022,inv_grant_appyear,new_applicant_share,0.0099832157619455,0.010747214,0.35370722,,4347,291,0.4268210582671289
y2022,inv_grant_appyear,ln1p_new_applicants,0.0768290235737196,0.03947578,0.052592542,*,4347,291,3.802758496318209
y2022,inv_grant_appyear,ln1p_new_patents,0.0996947276006458,0.047358617,0.036142439,**,4347,291,4.129718881925394
y2022,inv_grant_appyear,ln1p_total_patents,0.0919298068488843,0.051919244,0.077672601,*,4347,291,5.116624737247455
y2022,inv_grant_appyear,ln1p_incumbent_patents,0.0683591602764149,0.059766684,0.25366351,,4347,291,4.507809052013301
y2023,inv_grant_appyear,new_applicant_share,0.0123496437300979,0.010555207,0.24295963,,4634,291,0.4173333295889765
y2023,inv_grant_appyear,ln1p_new_applicants,0.0997121104561777,0.040390834,0.014137732,**,4634,291,3.784776839108692
y2023,inv_grant_appyear,ln1p_new_patents,0.124540070414681,0.048503865,0.010740812,**,4634,291,4.110175834278747
y2023,inv_grant_appyear,ln1p_total_patents,0.1073317564432942,0.052693143,0.042565942,**,4634,291,5.123410353231492
y2023,inv_grant_appyear,ln1p_incumbent_patents,0.0805452544436294,0.060244564,0.18227981,,4634,291,4.532179859620617
y2020,inv_grant_grantyear,new_applicant_share,0.0186020326508521,0.014016597,0.1855052,,3756,291,0.480897051270355
y2020,inv_grant_grantyear,ln1p_new_applicants,0.0157724641841897,0.039557897,0.69039404,,3756,291,3.450342126462186
y2020,inv_grant_grantyear,ln1p_new_patents,0.0485226796870671,0.045819797,0.29048586,,3756,291,3.696607383783038
y2020,inv_grant_grantyear,ln1p_total_patents,0.035646279133982,0.055878378,0.52402514,,3756,291,4.543866898511243
y2020,inv_grant_grantyear,ln1p_incumbent_patents,-0.0089761463893518,0.075480163,0.9054206,,3756,291,3.844987989023284
y2021,inv_grant_grantyear,new_applicant_share,0.0176337193201678,0.013700954,0.19910555,,4047,291,0.4737890572337013
