sample,scope,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
y2020,inv_grant_appyear,province_year_fe,new_applicant_share,.0461334184551055,.010744892,4.2935209,.000024009038,***,3765,291,.4487947611968192
y2020,inv_grant_appyear,provyr_baseyr_fe,new_applicant_share,.009946177096803,.011250928,.88403165,.37741143,,3765,291,.4487947611968192
y2020,inv_grant_appyear,province_year_fe,ln1p_new_applicants,.0114469509878592,.029502243,.38800275,.69829863,,3765,291,3.749754493293453
y2020,inv_grant_appyear,provyr_baseyr_fe,ln1p_new_applicants,.0534418123166036,.038099013,1.4027086,.16177338,,3765,291,3.749754493293453
y2020,inv_grant_appyear,province_year_fe,ln1p_new_patents,.0144623552128702,.035656698,.40559995,.68533564,,3765,291,4.080947138165352
y2020,inv_grant_appyear,provyr_baseyr_fe,ln1p_new_patents,.0761013447990822,.046502415,1.636503,.10281908,,3765,291,4.080947138165352
y2020,inv_grant_appyear,province_year_fe,ln1p_total_patents,.0112946387490495,.040970843,.27567503,.78299397,,3765,291,5.005096886754496
y2020,inv_grant_appyear,provyr_baseyr_fe,ln1p_total_patents,.0651752215701046,.0520951,1.2510816,.21191303,,3765,291,5.005096886754496
y2020,inv_grant_appyear,province_year_fe,ln1p_incumbent_patents,-.1063287630376996,.051441126,-2.0669992,.039621469,**,3765,291,4.356748740836964
y2020,inv_grant_appyear,provyr_baseyr_fe,ln1p_incumbent_patents,.0414283834239129,.060716525,.68232471,.49557829,,3765,291,4.356748740836964
y2020,inv_grant_appyear,province_year_fe,hhi,.0204387339101205,.0091535598,2.2328727,.026320426,**,3765,291,.1037827706697673
y2020,inv_grant_appyear,provyr_baseyr_fe,hhi,.0036499003825796,.010507711,.34735444,.72857702,,3765,291,.1037827706697673
y2020,inv_grant_appyear,province_year_fe,top10_share,.0418481105619209,.01322783,3.1636415,.0017235361,***,3765,291,.5838890123336583
y2020,inv_grant_appyear,provyr_baseyr_fe,top10_share,.0009241066703184,.013493458,.068485536,.94544631,,3765,291,.5838890123336583
y2021,inv_grant_appyear,province_year_fe,new_applicant_share,.0496987435598884,.010649805,4.6666341,4.6833870e-06,***,4056,291,.4381689974460176
y2021,inv_grant_appyear,provyr_baseyr_fe,new_applicant_share,.010678722276823,.0108766,.98180705,.32701328,,4056,291,.4381689974460176
y2021,inv_grant_appyear,province_year_fe,ln1p_new_applicants,.0149786093684994,.029589921,.50620645,.6130963,,4056,291,3.789513603805676
y2021,inv_grant_appyear,provyr_baseyr_fe,ln1p_new_applicants,.0694089240511251,.038772706,1.790149,.074473076,*,4056,291,3.789513603805676
y2021,inv_grant_appyear,province_year_fe,ln1p_new_patents,.0184848904951538,.035785411,.51654822,.60586524,,4056,291,4.119049712338409
