sample,outcome,xvar,coef,se,t,p,sig,N,N_city,r2_within,abs_t
2008_2024,ln1p_city_invgrant,ln1p_idc_stock,.1121052585109317,.034745101,3.2265053,.0013936082,***,4924,297,.8384566985599247,3.2265053
2008_2024,ln1p_listed_invgrant,ln1p_idc_stock,.5291677407363888,.06027858,8.7787027,1.3487112e-16,***,4924,297,.5881900978739741,8.7787027
2008_2024,ln1p_nonlisted_invgrant_proxy,ln1p_idc_stock,.1018112507048244,.038367979,2.6535473,.0083953058,***,4924,297,.7956879869467539,2.6535473
2008_2024,diff_nl_ls_inv,ln1p_idc_stock,-.4273564876038672,.066717967,-6.4054179,5.8831762e-10,***,4924,297,.0638751193911208,6.4054179
2008_2024,diff_ls_city_inv,ln1p_idc_stock,.4170624857969196,.05837829,7.1441364,7.0686026e-12,***,4924,297,.090238542482807,7.1441364
2008_2024,listed_share_invgrant_clean,ln1p_idc_stock,.0096064362885304,.0073313839,1.3103169,.1911045,,4924,297,.0596894309537811,1.3103169
2008_2024,listed_share_apply_clean,ln1p_idc_stock,.0051191080977468,.0042795525,1.1961784,.23258424,,5021,297,.0343172448820128,1.1961784
2008_2024,listed_share_grant_clean,ln1p_idc_stock,.0050712239810208,.0043291743,1.1714067,.24237739,,5023,297,.0272136643030363,1.1714067
2008_2024,ln1p_city_invgrant,ln1p_idc_new,.0291874236087386,.026872853,1.0861305,.27830499,,4924,297,.8366358299799895,1.0861305
2008_2024,ln1p_listed_invgrant,ln1p_idc_new,.2695215442554634,.04678059,5.7613969,2.0908695e-08,***,4924,297,.556232595459224,5.7613969
2008_2024,ln1p_nonlisted_invgrant_proxy,ln1p_idc_new,.0405823738299206,.027825039,1.4584841,.14576744,,4924,297,.794231572744845,1.4584841
2008_2024,diff_nl_ls_inv,ln1p_idc_new,-.2289391724055692,.04495474,-5.0926595,6.2954058e-07,***,4924,297,.0300901816142141,5.0926595
2008_2024,diff_ls_city_inv,ln1p_idc_new,.2403341243234015,.039809633,6.0370846,4.6903827e-09,***,4924,297,.0505614437965271,6.0370846
2008_2024,listed_share_invgrant_clean,ln1p_idc_new,-.0010575838505485,.0047588293,-.22223614,.8242833,,4924,297,.0580810422299263,.22223614
2008_2024,listed_share_apply_clean,ln1p_idc_new,.0024689967728385,.0038243658,.64559639,.51904094,,5021,297,.0330949863077218,.64559639
2008_2024,listed_share_grant_clean,ln1p_idc_new,.0010339720783728,.0035898422,.28802717,.7735275,,5023,297,.025868169319939,.28802717
2008_2024,ln1p_city_invgrant,ln1p_idc_stock_l1,.1055583303365447,.032777678,3.2204335,.0014224348,***,4924,297,.8382970598609758,3.2204335
2008_2024,ln1p_listed_invgrant,ln1p_idc_stock_l1,.5072511437243825,.057775997,8.7796173,1.3400421e-16,***,4924,297,.5862990029058688,8.7796173
2008_2024,ln1p_nonlisted_invgrant_proxy,ln1p_idc_stock_l1,.0949778054312191,.036581147,2.5963593,.0098920232,***,4924,297,.7955270590150374,2.5963593
2008_2024,diff_nl_ls_inv,ln1p_idc_stock_l1,-.4122733351122513,.064334497,-6.408278,5.7870991e-10,***,4924,297,.0623243650820999,6.408278
2008_2024,diff_ls_city_inv,ln1p_idc_stock_l1,.4016928174154444,.056013208,7.1713943,5.9669379e-12,***,4924,297,.0882183564431308,7.1713943
2008_2024,listed_share_invgrant_clean,ln1p_idc_stock_l1,.0090338913599352,.0072072861,1.2534387,.21103522,,4924,297,.0595486932692609,1.2534387
2008_2024,listed_share_apply_clean,ln1p_idc_stock_l1,.0048178199064507,.0040970868,1.1759136,.24057433,,5021,297,.03419635052211,1.1759136
2008_2024,listed_share_grant_clean,ln1p_idc_stock_l1,.0045221082790533,.0040780329,1.1088945,.26837584,,5023,297,.0269654772879951,1.1088945
2008_2024,ln1p_city_invgrant,ln1p_idc_new_l1,.0227643787988064,.026412304,.86188537,.38944831,,4924,297,.8366107946405185,.86188537
2008_2024,ln1p_listed_invgrant,ln1p_idc_new_l1,.2755112456831556,.04930323,5.5880971,5.2090641e-08,***,4924,297,.5565335309743578,5.5880971
2008_2024,ln1p_nonlisted_invgrant_proxy,ln1p_idc_new_l1,.0293699916331569,.027478853,1.0688215,.28602093,,4924,297,.7941711671569819,1.0688215
