sample,outcome,xvar,coef,se,t,p,sig,N,N_city,r2_within,abs_t
2008_2024,ln1p_city_invgrant,Data_infra,.0148698982285352,.061159607,.24313267,.80807102,,4924,297,.8365784919785703,.24313267
2008_2024,ln1p_listed_invgrant,Data_infra,.1359380429535802,.1357097,1.0016826,.31731507,,4924,297,.5519330794842694,1.0016826
2008_2024,ln1p_nonlisted_invgrant_proxy,Data_infra,.0078797838779786,.061257765,.12863322,.89773524,,4924,297,.7941048359631641,.12863322
2008_2024,diff_nl_ls_inv,Data_infra,-.1280582615686342,.14085411,-.90915537,.36400777,,4924,297,.0251424351071512,.90915537
2008_2024,diff_ls_city_inv,Data_infra,.1210681479753849,.1244349,.9729436,.33137572,,4924,297,.0434194223198366,.9729436
2008_2024,listed_share_invgrant_clean,Data_infra,.0025388230408851,.015071888,.16844758,.86634624,,4924,297,.0580988601925548,.16844758
2008_2024,listed_share_apply_clean,Data_infra,-.0035497373277994,.0068707196,-.5166471,.60578829,,5021,297,.0330954947917277,.5166471
2008_2024,listed_share_grant_clean,Data_infra,-.0022216192406831,.0065481458,-.33927456,.73464352,,5023,297,.0259039315225708,.33927456
2012_2022,ln1p_city_invgrant,Data_infra,.0973261886937894,.052266367,1.862119,.063577116,*,3196,297,.6572867829323412,1.862119
2012_2022,ln1p_listed_invgrant,Data_infra,.0765700295208223,.10271007,.74549681,.456563,,3196,297,.3435476970552639,.74549681
2012_2022,ln1p_nonlisted_invgrant_proxy,Data_infra,.098183597564946,.052603111,1.866498,.062960394,*,3196,297,.5680324230130642,1.866498
2012_2022,diff_nl_ls_inv,Data_infra,.0216135641466408,.11152019,.19380853,.84645873,,3196,297,.0091422983592179,.19380853
2012_2022,diff_ls_city_inv,Data_infra,-.0207561603430255,.095294908,-.21780977,.82772744,,3196,297,.0147205011325048,.21780977
2012_2022,listed_share_invgrant_clean,Data_infra,-.0037116931754315,.013667834,-.27156413,.78614652,,3196,297,.0267296368908321,.27156413
2012_2022,listed_share_apply_clean,Data_infra,-.0072815174130847,.0062711583,-1.1611121,.24653186,,3252,297,.0178438705662852,1.1611121
2012_2022,listed_share_grant_clean,Data_infra,-.0041685149620703,.0058877287,-.70800054,.47950205,,3251,297,.0057647028249749,.70800054
