spec,sample,outcome,y_version,coef,se,t,p,n,firms,clusters,r2
nocontrol_full,2012_2022,企业创新韧性1,raw,-3.127092134941359,4.4582601,-.70141536,.48367605,22985,4221,259,.14078322
nocontrol_ctrlsample,2012_2022,企业创新韧性1,raw,-3.162300782181041,4.4466691,-.71116167,.4776265,22851,4121,259,.14000741
controls,2012_2022,企业创新韧性1,raw,-3.160316977953575,4.3830776,-.7210269,.47154579,22851,4121,259,.14002919
nocontrol_full,2008_2024,企业创新韧性1,raw,-1.428290090895272,3.4724634,-.41131896,.6811775,33945,5059,261,.14455311
nocontrol_ctrlsample,2008_2024,企业创新韧性1,raw,-1.458343052903985,3.4616194,-.42128927,.67389196,33477,4832,261,.14152472
controls,2008_2024,企业创新韧性1,raw,-1.414852368119766,3.4326797,-.41217139,.68055344,33477,4832,261,.14153679
nocontrol_full,2012_2022,企业创新韧性1,winsor,-.8730065883975691,.74940318,-1.1649357,.24512097,22985,4221,259,.14986223
nocontrol_ctrlsample,2012_2022,企业创新韧性1,winsor,-.8978134144201946,.74542677,-1.2044287,.22952765,22851,4121,259,.14762224
controls,2012_2022,企业创新韧性1,winsor,-.7548190559462379,.722027,-1.0454167,.2968089,22851,4121,259,.1486598
nocontrol_full,2008_2024,企业创新韧性1,winsor,-.9061896681660399,.54615182,-1.6592267,.098275855,33945,5059,261,.14098786
nocontrol_ctrlsample,2008_2024,企业创新韧性1,winsor,-.9258178188797694,.5412609,-1.7104834,.088369362,33477,4832,261,.13554548
controls,2008_2024,企业创新韧性1,winsor,-.818150011019162,.53269786,-1.5358614,.12578838,33477,4832,261,.13645399
nocontrol_full,2012_2022,企业创新韧性2,raw,-2.224486980506609,3.6756794,-.60519069,.54557812,28476,4574,262,.17234933
nocontrol_ctrlsample,2012_2022,企业创新韧性2,raw,-2.223710625647877,3.6674016,-.606345,.54481268,28254,4432,262,.16736159
controls,2012_2022,企业创新韧性2,raw,-1.77236512439837,3.4952707,-.50707519,.61253023,28254,4432,262,.16801374
nocontrol_full,2008_2024,企业创新韧性2,raw,-2.352963893432592,2.8761129,-.81810552,.41403753,41727,5240,264,.12271028
nocontrol_ctrlsample,2008_2024,企业创新韧性2,raw,-2.377930743802195,2.8681188,-.82909077,.40780774,41091,5000,263,.12039858
controls,2008_2024,企业创新韧性2,raw,-2.051723574215214,2.7775705,-.73867559,.46076521,41091,5000,263,.12098943
nocontrol_full,2012_2022,企业创新韧性2,winsor,.0980594601436051,.5981003,.16395153,.86989617,28476,4574,262,.18934195
nocontrol_ctrlsample,2012_2022,企业创新韧性2,winsor,.0976702035118737,.59684443,.16364433,.87013781,28254,4432,262,.18239166
controls,2012_2022,企业创新韧性2,winsor,.3198521202529088,.58569127,.54611045,.58545649,28254,4432,262,.18595642
nocontrol_full,2008_2024,企业创新韧性2,winsor,.2424423203773025,.43797132,.55355752,.58035201,41727,5240,264,.12468892
