hetvar,outcome,low_effect,interaction,high_effect,se_low,se_interaction,se_high,p_low,p_interaction,p_high,sig_low,sig_interaction,sig_high,N,N_city
high_base_patents,new_applicant_share,.0297663732504193,.0080932602,.037859634,.0220291152801122,.022181163,.0097215641,.1776753589008633,.71547371,.00012224738,,,***,4647,291
high_base_patents,ln1p_new_applicants,.0474584615239055,.017360866,.064819328,.0770048584571344,.069617912,.040277999,.5381768554393718,.80324835,.10863905,,,,4647,291
high_base_patents,ln_new_patents,.0345750587350474,.0094583482,.044033408,.0895078367675861,.083710343,.047872446,.6995727970347394,.91011745,.3584381,,,,4647,291
high_base_top10,new_applicant_share,.0438070771976253,.0064620175,.050269093,.0100701665922886,.020523598,.018999342,.0000188623207441,.75309592,.0085936524,***,,***,4647,291
high_base_top10,ln1p_new_applicants,.0657075560318024,-.090702608,-.024995049,.0441865760759201,.055698577,.047533281,.138088581790483,.10451435,.59939903,,,,4647,291
high_base_top10,ln_new_patents,.0279865737496207,-.069807388,-.041820809,.0512351744315282,.07133951,.063386217,.5853226710416206,.32863107,.50992012,,,,4647,291
high_base_hhi,new_applicant_share,.0408071929879756,.019764775,.060571969,.010450205631716,.017523997,.015445417,.0001173047516871,.26030743,.00010981928,***,,***,4647,291
high_base_hhi,ln1p_new_applicants,.0503370757609331,-.057928246,-.0075911698,.0483018811507167,.061385468,.042584445,.2982171305442447,.34611863,.85864204,,,,4647,291
high_base_hhi,ln_new_patents,.013525988919469,-.043082885,-.029556898,.0553642181746345,.075817727,.058096834,.8071641034153872,.57030976,.61131269,,,,4647,291
high_base_active,new_applicant_share,.0374936694797747,.0023862959,.039879967,.0238920696403056,.024298826,.0099939108,.1176700008700342,.92183638,.000083598425,,,***,4647,291
high_base_active,ln1p_new_applicants,.024131994344512,.042113855,.066245846,.0766442033594393,.069617644,.040514667,.7530963512679649,.54569805,.10311136,,,,4647,291
high_base_active,ln_new_patents,-.0096966649082844,.052725315,.043028649,.0904786468677372,.08426626,.047564954,.9147276185806941,.53200448,.3664127,,,,4647,291
high_base_firm_share,new_applicant_share,.0494671003753797,-.012364238,.037102863,.0123880324073437,.018079259,.013374292,.0000826978575276,.49459022,.0058929878,***,,***,4647,291
high_base_firm_share,ln1p_new_applicants,.0195278350079117,.010074826,.02960266,.0484539567577203,.052905571,.04723363,.6872316579479028,.84910518,.53133029,,,,4647,291
high_base_firm_share,ln_new_patents,-.0160033540553845,.012605301,-.0033980531,.061086153573832,.064483799,.052762497,.7935228016874982,.84515399,.94869387,,,,4647,291
high_base_knowledge_share,new_applicant_share,.0467046504309552,-.0072313808,.039473269,.0188046137551154,.018947529,.010006002,.0135681607655812,.70299828,.00010017087,**,,***,4647,291
high_base_knowledge_share,ln1p_new_applicants,.0362367655348708,.011939134,.048175901,.0584623063981867,.058184624,.043399546,.5358555832881273,.83756453,.26789477,,,,4647,291
high_base_knowledge_share,ln_new_patents,.0171387603551241,.0071579716,.024296733,.0713037998629183,.072927341,.050838869,.810219062918057,.92187935,.63306969,,,,4647,291
high_base_individual_share,new_applicant_share,.0311402551121799,.015746767,.046887022,.0107135369452289,.019697875,.018630192,.0039352694454281,.42470434,.012384745,***,,**,4647,291
high_base_individual_share,ln1p_new_applicants,.0508917319748652,-.0072440202,.04364771,.0410576928388096,.071623728,.079780802,.2161560161902006,.91950923,.5847339,,,,4647,291
high_base_individual_share,ln_new_patents,.032361546770723,-.023979934,.0083816135,.0478812189147155,.09057419,.099578515,.4996609054712791,.7913866,.93297863,,,,4647,291
high_base_org_share,new_applicant_share,.0472167233777286,-.016037909,.031178813,.0186541411378973,.019734722,.010703962,.0118969774736797,.41707119,.0038601563,**,,***,4647,291
high_base_org_share,ln1p_new_applicants,.0428208633420523,.008426548,.05124741,.079907870434866,.07161504,.040837526,.5924536826966924,.90641493,.21052186,,,,4647,291
high_base_org_share,ln_new_patents,.0052564592115042,.029500773,.034757234,.0998239533519194,.0907446,.047660209,.9580412203518827,.74534225,.46642417,,,,4647,291
