table,sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
decomp,all,province_year_fe,new_applicant_share,.0430022324725301,.0093594715,4.5945153,6.4772289e-06,***,4647,291,.4323355655967836
decomp,all,provyr_baseyr_fe,new_applicant_share,.0227459137945829,.011364773,2.0014403,.04627642,**,4647,291,.4323355655967836
decomp,all,province_year_fe,ln1p_new_applicants,.0245989248108153,.040013891,.61475962,.53919554,,4647,291,4.614966163841457
decomp,all,provyr_baseyr_fe,ln1p_new_applicants,.118206775905034,.044276278,2.6697543,.0080186659,***,4647,291,4.614966163841457
decomp,all,province_year_fe,ln_new_patents,-.0100194275432148,.04688612,-.21369711,.83093345,,4647,291,5.279912800852183
decomp,all,provyr_baseyr_fe,ln_new_patents,.1153339498642766,.052150462,2.2115614,.027776705,**,4647,291,5.279912800852183
decomp,all,province_year_fe,ln1p_total_patents,-.0205253338987787,.040339526,-.50881445,.61126918,,4647,291,6.219256666685361
decomp,all,provyr_baseyr_fe,ln1p_total_patents,.0852649059357648,.04540211,1.8779943,.061385285,*,4647,291,6.219256666685361
decomp,all,province_year_fe,ln_incumbent_patents,-.1348003636894202,.044988375,-2.9963377,.0029685877,***,4647,291,5.600413945990899
decomp,all,provyr_baseyr_fe,ln_incumbent_patents,.032763421298936,.046959326,.69769788,.48592517,,4647,291,5.600413945990899
decomp,all,province_year_fe,incumbent_share,-.04300223247253,.0093594715,-4.5945153,6.4772289e-06,***,4647,291,.5676644344032163
decomp,all,provyr_baseyr_fe,incumbent_share,-.0227459137945828,.011364773,-2.0014403,.04627642,**,4647,291,.5676644344032163
decomp,all,province_year_fe,ln1p_active_applicants,.001311088745833,.035723761,.036700748,.97074884,,4647,291,5.093398617619795
decomp,all,provyr_baseyr_fe,ln1p_active_applicants,.0936306976228759,.038550131,2.4288034,.015756503,**,4647,291,5.093398617619795
decomp,all,province_year_fe,ln_incumbent_applicants,-.045330648191769,.031088065,-1.4581367,.14588498,,4647,291,4.111921770787029
decomp,all,provyr_baseyr_fe,ln_incumbent_applicants,.0358351497267216,.034026008,1.0531694,.29314005,,4647,291,4.111921770787029
type,all,province_year_fe,firm_new_share_total,-.0012115856813586,.0071580624,-.16926168,.86570883,,4647,291,.2201827946312475
type,all,provyr_baseyr_fe,firm_new_share_total,-.0068937432572805,.0086575169,-.79627252,.426525,,4647,291,.2201827946312475
type,all,province_year_fe,ln_firm_new_n,.0126993674059202,.032814596,.3870036,.69903737,,4647,291,3.839179528786849
type,all,provyr_baseyr_fe,ln_firm_new_n,.0496014890460161,.040130362,1.236009,.21745543,,4647,291,3.839179528786849
type,all,province_year_fe,ln_firm_new_pat,-.0354154986700108,.043480285,-.81451857,.41601628,,4647,291,4.592183477172135
type,all,provyr_baseyr_fe,ln_firm_new_pat,.0597036797807301,.050932974,1.1722009,.24207845,,4647,291,4.592183477172135
type,all,province_year_fe,firm_new_share_new,-.0051811726584834,.01519822,-.34090656,.73342079,,4647,291,.5362471034878824
type,all,provyr_baseyr_fe,firm_new_share_new,-.0155637947536146,.017216166,-.9040221,.36673403,,4647,291,.5362471034878824
type,all,province_year_fe,knowledge_new_share_total,-.0002667804827941,.001362745,-.19576699,.84492964,,4647,291,.0093722468401393
