eventdef,spec,outcome,event,rel,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_1,province_year_fe,firm_new_share_total,es_m4,-4,.019463645,.015931344,1.2217202,.22305338,,.7232823468153753,.53899336,3719,233,79,.2262660368371369
scope_ge_1,province_year_fe,firm_new_share_total,es_m3,-3,.0048390841,.014718087,.32878485,.74261487,,.7232823468153753,.53899336,3719,233,79,.2262660368371369
scope_ge_1,province_year_fe,firm_new_share_total,es_m2,-2,.000456754,.012263848,.03724394,.97032255,,.7232823468153753,.53899336,3719,233,79,.2262660368371369
scope_ge_1,province_year_fe,firm_new_share_total,es_0,0,.01015894,.012985379,.78233683,.43481439,,.7232823468153753,.53899336,3719,233,79,.2262660368371369
scope_ge_1,province_year_fe,firm_new_share_total,es_p1,1,.012393999,.01199969,1.0328599,.30274493,,.7232823468153753,.53899336,3719,233,79,.2262660368371369
scope_ge_1,province_year_fe,firm_new_share_total,es_p2,2,.019749602,.014032612,1.4074074,.16064496,,.7232823468153753,.53899336,3719,233,79,.2262660368371369
scope_ge_1,province_year_fe,firm_new_share_total,es_p3,3,.0083089378,.015361414,.54089665,.5890978,,.7232823468153753,.53899336,3719,233,79,.2262660368371369
scope_ge_1,province_year_fe,firm_new_share_total,es_p4,4,.0040067649,.014441665,.27744478,.78168565,,.7232823468153753,.53899336,3719,233,79,.2262660368371369
scope_ge_1,provyr_baseyr_fe,firm_new_share_total,es_m4,-4,.018224958,.017032791,1.0699924,.28573462,,.6064410129835771,.61143273,3719,233,79,.2262660368371369
scope_ge_1,provyr_baseyr_fe,firm_new_share_total,es_m3,-3,.0088072903,.015980549,.55112565,.58207792,,.6064410129835771,.61143273,3719,233,79,.2262660368371369
scope_ge_1,provyr_baseyr_fe,firm_new_share_total,es_m2,-2,-.0014622847,.012465953,-.11730228,.90672201,,.6064410129835771,.61143273,3719,233,79,.2262660368371369
scope_ge_1,provyr_baseyr_fe,firm_new_share_total,es_0,0,.0082944911,.01260303,.65813464,.51110411,,.6064410129835771,.61143273,3719,233,79,.2262660368371369
scope_ge_1,provyr_baseyr_fe,firm_new_share_total,es_p1,1,.0073200446,.011874994,.6164251,.53821838,,.6064410129835771,.61143273,3719,233,79,.2262660368371369
scope_ge_1,provyr_baseyr_fe,firm_new_share_total,es_p2,2,.016208747,.014178075,1.1432264,.25412294,,.6064410129835771,.61143273,3719,233,79,.2262660368371369
scope_ge_1,provyr_baseyr_fe,firm_new_share_total,es_p3,3,.0040553948,.015725659,.25788391,.79672509,,.6064410129835771,.61143273,3719,233,79,.2262660368371369
scope_ge_1,provyr_baseyr_fe,firm_new_share_total,es_p4,4,-.0032282874,.015772235,-.20468166,.8380003,,.6064410129835771,.61143273,3719,233,79,.2262660368371369
