sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
all,city_year_fe,firm_new_share_total,-.004368875647182,.0059726504,-.73148024,.46507654,,4647,291,.2200775033627368
all,province_year_fe,firm_new_share_total,-.0011821880493087,.00715419,-.16524415,.86886692,,4647,291,.2200775033627368
all,provyr_baseyr_fe,firm_new_share_total,-.0068792319542802,.0086527308,-.79503596,.42724279,,4647,291,.2200775033627368
all,city_trend,firm_new_share_total,.0094025997792375,.010798915,.87069857,.38463894,,4647,291,.2200775033627368
all,city_year_fe,firm_new_share_firm,.027799966837663,.0095656188,2.9062383,.0039400207,***,4647,291,.4190803542841088
all,province_year_fe,firm_new_share_firm,.0386145954739339,.011092947,3.4810042,.00057639944,***,4647,291,.4190803542841088
all,provyr_baseyr_fe,firm_new_share_firm,-.0020333394404893,.011347381,-.17919019,.85791349,,4647,291,.4190803542841088
all,city_trend,firm_new_share_firm,.0231547050714399,.011977176,1.9332358,.054180413,*,4647,291,.4190803542841088
all,city_year_fe,ln1p_new_firm_patents,-.0183287736799868,.042599056,-.43026245,.6673243,,4647,291,4.591528307952096
all,province_year_fe,ln1p_new_firm_patents,-.0354503019154124,.043449949,-.81588823,.4152337,,4647,291,4.591528307952096
all,provyr_baseyr_fe,ln1p_new_firm_patents,.0598102977021974,.050896145,1.175144,.24090105,,4647,291,4.591528307952096
all,city_trend,ln1p_new_firm_patents,.0922106728698533,.062358145,1.478727,.14029863,,4647,291,4.591528307952096
all,city_year_fe,ln1p_new_firm_applicants,.0076721037286453,.033877086,.22646883,.82099634,,4647,291,3.838489027052661
all,province_year_fe,ln1p_new_firm_applicants,.012854179749236,.032813743,.39173162,.69554424,,4647,291,3.838489027052661
all,provyr_baseyr_fe,ln1p_new_firm_applicants,.0496643242674591,.040120345,1.2378838,.21676038,,4647,291,3.838489027052661
all,city_trend,ln1p_new_firm_applicants,.0352908625805295,.036906008,.95623624,.33974937,,4647,291,3.838489027052661
all,city_year_fe,ln1p_firm_incumbent_patents,-.1094557370148588,.053912025,-2.0302658,.043241981,**,4647,291,4.974018175275709
all,province_year_fe,ln1p_firm_incumbent_patents,-.1698636708068071,.058961313,-2.8809342,.0042608455,***,4647,291,4.974018175275709
all,provyr_baseyr_fe,ln1p_firm_incumbent_patents,.0679634226556205,.061455052,1.1059046,.2696844,,4647,291,4.974018175275709
all,city_trend,ln1p_firm_incumbent_patents,-.0456525882787233,.063217506,-.72215104,.4707835,,4647,291,4.974018175275709
all,city_year_fe,ln1p_firm_total_patents,-.0577428604722224,.043127153,-1.3388981,.18165243,,4647,291,5.56131843305949
all,province_year_fe,ln1p_firm_total_patents,-.0884623910816468,.047503483,-1.8622296,.063581981,*,4647,291,5.56131843305949
all,provyr_baseyr_fe,ln1p_firm_total_patents,.0620398616179893,.052038413,1.1921936,.23415998,,4647,291,5.56131843305949
all,city_trend,ln1p_firm_total_patents,-.0080142446137922,.055728808,-.14380793,.88575202,,4647,291,5.56131843305949
all,city_year_fe,ln1p_firm_active_applicants,-.0260979127170066,.032549765,-.80178499,.42333385,,4647,291,4.41685117282854
all,province_year_fe,ln1p_firm_active_applicants,-.0374538124520665,.030488918,-1.2284402,.22027776,,4647,291,4.41685117282854
all,provyr_baseyr_fe,ln1p_firm_active_applicants,.0347784744163911,.035977762,.96666592,.33451653,,4647,291,4.41685117282854
all,city_trend,ln1p_firm_active_applicants,.0132433473037546,.03219837,.41130489,.68115276,,4647,291,4.41685117282854
all,city_year_fe,firm_patent_share_total,-.0222109748657219,.0098547041,-2.2538447,.024952548,**,4647,291,.5576987624033468
all,province_year_fe,firm_patent_share_total,-.0350542722382561,.012149259,-2.8853014,.0042038294,***,4647,291,.5576987624033468
all,provyr_baseyr_fe,firm_patent_share_total,-.0116625354751613,.016016072,-.72817707,.46709278,,4647,291,.5576987624033468
all,city_trend,firm_patent_share_total,-.0004774259573334,.019753778,-.024168842,.98073453,,4647,291,.5576987624033468
all,city_year_fe,new_firm_share_all_new_patents,.0054332177013058,.010428877,.52097821,.60277951,,4647,291,.5358910218133232
all,province_year_fe,new_firm_share_all_new_patents,-.0053027434363806,.01517406,-.34946108,.72699684,,4647,291,.5358910218133232
all,provyr_baseyr_fe,new_firm_share_all_new_patents,-.0155971787099151,.017194258,-.90711552,.36509883,,4647,291,.5358910218133232
all,city_trend,new_firm_share_all_new_patents,-.0142640440775193,.022044554,-.64705521,.51810801,,4647,291,.5358910218133232
