sample,spec,xvar,outcome,coef,se,t,p,sig,N,N_city,mean_y
all,cityyear_cityhigh_highye,idc_stock_high,ln_city_new_firm_n_f,.3794137020170577,.03974399,9.546442,5.8587652e-19,***,9294,291,2.597589041907146
all,cityyear_cityhigh_highye,idc_stock_high,ln_city_new_firm_pat_f,.4146978027795914,.049954534,8.3015051,3.9498904e-15,***,9294,291,3.099529367237137
all,cityyear_cityhigh_highye,idc_stock_high,city_new_share_tot_f,-.0334771873256666,.010443639,-3.2055099,.0014987907,***,9294,291,.1904111056446749
all,cityyear_cityhigh_highye,idc_stock_high,city_new_share_firm_f,-.1153345269330986,.020885363,-5.5222659,7.4396858e-08,***,9294,291,.3581984370557839
all,cityyear_cityhigh_highye,idc_stock_high,ln_field_new_firm_n_f,.32404711296121,.03756319,8.6267195,4.2174236e-16,***,9294,291,2.726579526304344
all,cityyear_cityhigh_highye,idc_stock_high,ln_field_new_firm_pat_f,.3378336223535904,.045645084,7.4013143,1.4672055e-12,***,9294,291,3.239505142142618
all,cityyear_cityhigh_highye,idc_stock_high,field_new_share_tot_f,-.0526021189694506,.012837204,-4.0976305,.000054221186,***,9294,291,.2286372187574123
all,cityyear_cityhigh_highye,idc_stock_high,field_new_share_firm_f,-.1593659165225849,.025873138,-6.1595125,2.4300049e-09,***,9294,291,.4294581722656221
all,cityyear_cityhigh_highye,idc_stock_high,ln_firm_pat_f,.3413105398317016,.054465774,6.2665143,1.3321344e-09,***,9294,291,3.977028172946104
all,cityyear_cityhigh_highye,idc_stock_high,ln_firm_inc_pat_f,.5231913286399344,.074685596,7.0052509,1.7250338e-11,***,9294,291,3.500931078941426
all,cityyear_cityhigh_highye,idc_stock_high,ln_firm_act_f,.3286566434105774,.038171481,8.6100044,4.7369862e-16,***,9294,291,3.143241618428056
all,cityyear_cityhigh_highye,idc_stock_high,firm_share_f,-.0623973966210392,.015833244,-3.9409106,.00010178885,***,9294,291,.4964117393383138
all,cityyear_cityhigh_highye,idc_stock_high,ln_tot_pat_f,.1664926126401561,.044658639,3.7281165,.00023194937,***,9294,291,4.620677842718099
all,cityyear_cityhigh_highye,idc_new_high,ln_city_new_firm_n_f,.1135527821351428,.030027818,3.7815862,.00018923818,***,9294,291,2.597589041907146
all,cityyear_cityhigh_highye,idc_new_high,ln_city_new_firm_pat_f,.1659345998743114,.038941924,4.2610788,.000027534326,***,9294,291,3.099529367237137
all,cityyear_cityhigh_highye,idc_new_high,city_new_share_tot_f,-.001705386769852,.0099837026,-.17081706,.86448675,,9294,291,.1904111056446749
all,cityyear_cityhigh_highye,idc_new_high,city_new_share_firm_f,-.0279569354635953,.015586434,-1.793671,.073907427,*,9294,291,.3581984370557839
all,cityyear_cityhigh_highye,idc_new_high,ln_field_new_firm_n_f,.1155015827077012,.029143423,3.9632127,.000093174065,***,9294,291,2.726579526304344
all,cityyear_cityhigh_highye,idc_new_high,ln_field_new_firm_pat_f,.1559579485821541,.037283335,4.1830473,.000038151822,***,9294,291,3.239505142142618
all,cityyear_cityhigh_highye,idc_new_high,field_new_share_tot_f,-.0038400022983938,.010548076,-.36404768,.7160877,,9294,291,.2286372187574123
all,cityyear_cityhigh_highye,idc_new_high,field_new_share_firm_f,-.0351626300570424,.016897168,-2.0809779,.038313303,**,9294,291,.4294581722656221
all,cityyear_cityhigh_highye,idc_new_high,ln_firm_pat_f,.1586249136660144,.036375701,4.3607383,.000018028437,***,9294,291,3.977028172946104
all,cityyear_cityhigh_highye,idc_new_high,ln_firm_inc_pat_f,.1993000990837967,.040823326,4.8820152,1.7369588e-06,***,9294,291,3.500931078941426
all,cityyear_cityhigh_highye,idc_new_high,ln_firm_act_f,.1091925346869691,.025616666,4.2625585,.000027363303,***,9294,291,3.143241618428056
all,cityyear_cityhigh_highye,idc_new_high,firm_share_f,.0109126336522972,.012112657,.90092814,.36837408,,9294,291,.4964117393383138
all,cityyear_cityhigh_highye,idc_new_high,ln_tot_pat_f,.0764651084735019,.028058257,2.7252266,.006816308,***,9294,291,4.620677842718099
