eventdef,spec,outcome,event,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
stock_ge_1,province_year_fe,ln1p_new_applicants,es_m4,-.0247974384124321,.040038902,-.61933362,.53648847,,2.528727676248278,.058864452,2855,179,95,4.106901412409615
stock_ge_1,province_year_fe,ln1p_new_applicants,es_m3,-.0506859438262124,.0436364,-1.161552,.24697272,,2.528727676248278,.058864452,2855,179,95,4.106901412409615
stock_ge_1,province_year_fe,ln1p_new_applicants,es_m2,-.1114159500216724,.044955954,-2.4783359,.014131331,**,2.528727676248278,.058864452,2855,179,95,4.106901412409615
stock_ge_1,province_year_fe,ln1p_new_applicants,es_0,-.0413154095068735,.035833903,-1.1529698,.25046873,,2.528727676248278,.058864452,2855,179,95,4.106901412409615
stock_ge_1,province_year_fe,ln1p_new_applicants,es_p1,-.0924265166983312,.039262816,-2.3540471,.019660858,**,2.528727676248278,.058864452,2855,179,95,4.106901412409615
stock_ge_1,province_year_fe,ln1p_new_applicants,es_p2,-.1058840267176524,.040429179,-2.6190002,.0095793903,***,2.528727676248278,.058864452,2855,179,95,4.106901412409615
stock_ge_1,province_year_fe,ln1p_new_applicants,es_p3,-.0527534411590529,.044409253,-1.187893,.23645818,,2.528727676248278,.058864452,2855,179,95,4.106901412409615
stock_ge_1,province_year_fe,ln1p_new_applicants,es_p4,-.0793243712746902,.038087547,-2.0826852,.038709424,**,2.528727676248278,.058864452,2855,179,95,4.106901412409615
stock_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m4,-.0235407630982477,.038614679,-.60963249,.54288268,,2.926725292187867,.035198867,2855,179,95,4.106901412409615
stock_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m3,-.0357235043798285,.039344884,-.90795809,.36512798,,2.926725292187867,.035198867,2855,179,95,4.106901412409615
stock_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m2,-.1032654925608245,.039766748,-2.5967801,.010196927,**,2.926725292187867,.035198867,2855,179,95,4.106901412409615
stock_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_0,-.0320482624864861,.037061825,-.86472434,.38835394,,2.926725292187867,.035198867,2855,179,95,4.106901412409615
stock_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p1,-.0915352194234448,.038881686,-2.3541987,.019653087,**,2.926725292187867,.035198867,2855,179,95,4.106901412409615
stock_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p2,-.1007220059505588,.040448111,-2.4901536,.013685607,**,2.926725292187867,.035198867,2855,179,95,4.106901412409615
stock_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p3,-.0455798114188086,.044461086,-1.0251619,.30667797,,2.926725292187867,.035198867,2855,179,95,4.106901412409615
stock_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p4,-.0559938013083796,.035439547,-1.5799807,.11588663,,2.926725292187867,.035198867,2855,179,95,4.106901412409615
stock_ge_1,province_year_fe,new_applicant_share,es_m4,-.0031085029692684,.015875831,-.19580095,.8449893,,1.406619664186603,.24244194,2855,179,95,.4727124830661
stock_ge_1,province_year_fe,new_applicant_share,es_m3,-.0112637562773777,.016508371,-.68230575,.49593255,,1.406619664186603,.24244194,2855,179,95,.4727124830661
stock_ge_1,province_year_fe,new_applicant_share,es_m2,-.0266991411425588,.013281583,-2.0102379,.045915812,**,1.406619664186603,.24244194,2855,179,95,.4727124830661
