spec,outcome,xvar,coef,se,t,p,sig,N,N_city,r2,mean_y
city_year_fe,ln1p_total_patents,ln1p_idc_stock_l1,.042663419095503,.031301592,1.3629792,.17394641,,4647,291,.9544918041663373,6.2192569
province_year_fe,ln1p_total_patents,ln1p_idc_stock_l1,.0246753656332107,.0285307,.86487067,.38782462,,4647,291,.9761659158145128,6.2192569
provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_stock_l1,.100926856914294,.031934187,3.1604643,.0017418035,***,4647,291,.9779333974479034,6.2192569
city_trend,ln1p_total_patents,ln1p_idc_stock_l1,.0989207440834246,.051255375,1.9299585,.054587122,*,4647,291,.9694943780644243,6.2192569
city_year_fe,ln1p_total_patents,ln1p_idc_stock,.0352609335772769,.032602035,1.0815563,.2803483,,4647,291,.954466514606497,6.2192569
province_year_fe,ln1p_total_patents,ln1p_idc_stock,.0170550844857846,.028930783,.58951342,.55597591,,4647,291,.9761568235773024,6.2192569
provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_stock,.0934992050562106,.031343393,2.9830596,.0030963826,***,4647,291,.9779013452344689,6.2192569
city_trend,ln1p_total_patents,ln1p_idc_stock,.0576510889563116,.053949077,1.0686204,.28612942,,4647,291,.9694431420221697,6.2192569
city_year_fe,ln1p_new_applicants,ln1p_idc_stock_l1,.0143132685635442,.026577879,.53854066,.59061694,,4647,291,.9476797893872483,4.6149664
province_year_fe,ln1p_new_applicants,ln1p_idc_stock_l1,.0049988824112691,.022439307,.22277348,.82386863,,4647,291,.9700257138565039,4.6149664
provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_stock_l1,.0688255661798991,.024741294,2.7818093,.0057600131,***,4647,291,.9723372306316376,4.6149664
city_trend,ln1p_new_applicants,ln1p_idc_stock_l1,.0817962131606486,.041095134,1.9904112,.047484189,**,4647,291,.9663899199491582,4.6149664
city_year_fe,ln1p_new_applicants,ln1p_idc_stock,.0139798980893404,.027502958,.50830525,.61162573,,4647,291,.9476788298918686,4.6149664
province_year_fe,ln1p_new_applicants,ln1p_idc_stock,-.0033157564003003,.023306023,-.14227036,.88696527,,4647,291,.9700249928719243,4.6149664
provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_stock,.058724543867327,.025611613,2.2928874,.0225702,**,4647,291,.9722855030120141,4.6149664
city_trend,ln1p_new_applicants,ln1p_idc_stock,.0682600358454981,.044855513,1.5217758,.12915486,,4647,291,.9663621100846332,4.6149664
city_year_fe,new_applicant_share,ln1p_idc_stock_l1,.0154488627749412,.0059442082,2.5989773,.0098283933,***,4647,291,.7025795794886477,.43233556
province_year_fe,new_applicant_share,ln1p_idc_stock_l1,.0209164592988464,.0065966072,3.1707907,.0016830775,***,4647,291,.7559486749795327,.43233556
provyr_baseyr_fe,new_applicant_share,ln1p_idc_stock_l1,.0047207341960179,.0067072632,.70382422,.48210698,,4647,291,.7699676885094549,.43233556
city_trend,new_applicant_share,ln1p_idc_stock_l1,.0158190852334275,.010916506,1.4490978,.14839073,,4647,291,.7533611015348305,.43233556
city_year_fe,new_applicant_share,ln1p_idc_stock,.0148373193700457,.0061212163,2.4239168,.01596573,**,4647,291,.7024827999434283,.43233556
province_year_fe,new_applicant_share,ln1p_idc_stock,.0175893250866218,.0069851452,2.5181043,.01233732,**,4647,291,.755567158677716,.43233556
provyr_baseyr_fe,new_applicant_share,ln1p_idc_stock,.0004947392865349,.007186668,.068841264,.94516343,,4647,291,.7699166970658834,.43233556
city_trend,new_applicant_share,ln1p_idc_stock,.0117904237763808,.011603687,1.0160929,.31043211,,4647,291,.7532713267238127,.43233556
city_year_fe,hhi,ln1p_idc_stock_l1,.0151367880011912,.0040929555,3.6982536,.00025960777,***,4647,291,.5788267608013211,.06067162
province_year_fe,hhi,ln1p_idc_stock_l1,.0105316303649081,.0037993097,2.7719853,.0059320382,***,4647,291,.6925561534615305,.06067162
provyr_baseyr_fe,hhi,ln1p_idc_stock_l1,.0028403252361661,.00423432,.67078662,.50289035,,4647,291,.7338384796148703,.06067162
