sample,scope,outcome,xvar,coef,se,t,p,sig,N,N_city,r2,mean_y
matched_2008_2024,all_pub,hhi,ln1p_idc_stock_l1,.0063817529183618,.0042387233,1.5055838,.13326246,,4946,291,.4820556010642177,.031659666
matched_2008_2024,all_pub,hhi,ln1p_idc_stock,.0067419580470608,.0043985113,1.5327817,.1264198,,4946,291,.4821695948530672,.031659666
matched_2008_2024,all_pub,hhi,ln1p_idc_new_l1,.0042757091215623,.0020555884,2.0800416,.038399752,**,4946,291,.4809555413090357,.031659666
matched_2008_2024,all_pub,hhi,ln1p_idc_new,.0037468408951509,.001802646,2.0785229,.038540337,**,4946,291,.4808785078449702,.031659666
matched_2008_2024,all_pub,top1_share,ln1p_idc_stock_l1,.0066021197368534,.0048115007,1.3721539,.17107596,,4946,291,.5571977148990519,.10056837
matched_2008_2024,all_pub,top1_share,ln1p_idc_stock,.0068117043153216,.0050862795,1.3392313,.18154408,,4946,291,.5572197238519021,.10056837
matched_2008_2024,all_pub,top1_share,ln1p_idc_new_l1,.0030384203808273,.0031235463,.97274703,.33148971,,4946,291,.5565534573351447,.10056837
matched_2008_2024,all_pub,top1_share,ln1p_idc_new,.0018284218327851,.0031546431,.57959706,.56263638,,4946,291,.5565046627557863,.10056837
matched_2008_2024,all_pub,top5_share,ln1p_idc_stock_l1,.0138953140199229,.0061999168,2.2412097,.025769047,**,4946,291,.6840194830835069,.22917482
matched_2008_2024,all_pub,top5_share,ln1p_idc_stock,.0147394884754314,.0065516662,2.2497313,.025215862,**,4946,291,.6841428960237934,.22917482
matched_2008_2024,all_pub,top5_share,ln1p_idc_new_l1,.0083040653279554,.0051415153,1.6151007,.10737628,,4946,291,.6828832656417769,.22917482
matched_2008_2024,all_pub,top5_share,ln1p_idc_new,.0066728281085808,.0055543277,1.2013745,.23058616,,4946,291,.6827939397629397,.22917482
matched_2008_2024,all_pub,top10_share,ln1p_idc_stock_l1,.0203881235188508,.0066104336,3.084234,.0022374897,***,4946,291,.7462229535366989,.30513534
matched_2008_2024,all_pub,top10_share,ln1p_idc_stock,.021214737838393,.0069526089,3.0513349,.0024891382,***,4946,291,.7463313089415209,.30513534
matched_2008_2024,all_pub,top10_share,ln1p_idc_new_l1,.0147811821644974,.0055485815,2.6639569,.0081547452,***,4946,291,.7445630597600276,.30513534
matched_2008_2024,all_pub,top10_share,ln1p_idc_new,.0118916696829926,.0059579122,1.9959458,.046874817,**,4946,291,.7443501130110433,.30513534
matched_2008_2024,all_pub,ln_effective_applicants,ln1p_idc_stock_l1,-.0372396720317276,.045909125,-.81116056,.41793868,,4946,291,.7707172189670815,4.225132
matched_2008_2024,all_pub,ln_effective_applicants,ln1p_idc_stock,-.0409499672847131,.048346639,-.84700751,.39768937,,4946,291,.7707453128920498,4.225132
matched_2008_2024,all_pub,ln_effective_applicants,ln1p_idc_new_l1,-.0146693872073131,.044216894,-.33175981,.74031025,,4946,291,.7705652896556994,4.225132
