route,sample,outcome,xvar,coef,se,t,p,n,firms,clusters,r2,mean_y
A_digital,clean_2012_2022,ln1p_digital_invpat,ln1p_idc_stock,.0050474731388197,.0030405372,1.6600596,.097998448,37439,5163,287,.58805072,.043150812
A_digital,clean_2011_2024,ln1p_digital_invpat,ln1p_idc_stock,.000164566715662,.0024698495,.066630259,.94692242,49859,5532,288,.47888356,.034672029
A_digital,clean_2012_2022,ln1p_digital_invpat,ln1p_idc_stock_l1,.0028329475204279,.0030137487,.94000787,.34800676,37439,5163,287,.58801717,.043150812
A_digital,clean_2011_2024,ln1p_digital_invpat,ln1p_idc_stock_l1,-.0019798639964694,.0024221714,-.81739223,.41438237,49859,5532,288,.47889504,.034672029
A_digital,clean_2012_2022,ln1p_digital_invpat,ln1p_idc_new,.0060703409177127,.0027004101,2.2479329,.025342284,37439,5163,287,.58812708,.043150812
A_digital,clean_2011_2024,ln1p_digital_invpat,ln1p_idc_new,.0068336270459847,.003174766,2.1524823,.032193001,49859,5532,288,.47910655,.034672029
A_digital,clean_2012_2022,ln1p_digital_invpat,ln1p_idc_new_l1,.0039586717394196,.0025370864,1.5603219,.11978965,37439,5163,287,.58806318,.043150812
A_digital,clean_2011_2024,ln1p_digital_invpat,ln1p_idc_new_l1,.0029974157357576,.0028700067,1.0443933,.29718235,49859,5532,288,.47892866,.034672029
A_digital,clean_2012_2022,has_digital_invpat,ln1p_idc_stock,.0043805899692096,.002253562,1.9438516,.052893952,37439,5163,287,.43976125,.038542695
A_digital,clean_2011_2024,has_digital_invpat,ln1p_idc_stock,.0001900737604962,.0015465883,.12289875,.9022733,49859,5532,288,.35886532,.031107724
A_digital,clean_2012_2022,has_digital_invpat,ln1p_idc_stock_l1,.002785443801073,.0021854942,1.2745144,.20351572,37439,5163,287,.4397245,.038542695
A_digital,clean_2011_2024,has_digital_invpat,ln1p_idc_stock_l1,-.0015606556997975,.0015285278,-1.0210189,.30810541,49859,5532,288,.35887709,.031107724
A_digital,clean_2012_2022,has_digital_invpat,ln1p_idc_new,.0047641354209322,.0018572621,2.5651391,.010823634,37439,5163,287,.43982902,.038542695
A_digital,clean_2011_2024,has_digital_invpat,ln1p_idc_new,.0057872873469438,.0018604619,3.1106725,.0020544725,49859,5532,288,.35913152,.031107724
A_digital,clean_2012_2022,has_digital_invpat,ln1p_idc_new_l1,.0039344745028446,.0016366808,2.4039352,.016855881,37439,5163,287,.43980163,.038542695
A_digital,clean_2011_2024,has_digital_invpat,ln1p_idc_new_l1,.0035082585577066,.0017185311,2.0414286,.042122629,49859,5532,288,.35896817,.031107724
B_broad_title,clean_2012_2022,ln1p_ai_title_patent,ln1p_idc_stock,.000333256164538,.0011129236,.29944211,.76482022,37439,5163,287,.41350847,.007269172
B_broad_title,clean_2011_2024,ln1p_ai_title_patent,ln1p_idc_stock,-.0002319884561291,.0011849861,-.19577315,.84492624,49859,5532,288,.33343837,.0081471326
B_broad_title,clean_2012_2022,ln1p_ai_title_patent,ln1p_idc_stock_l1,.0003924267394639,.00096207904,.40789449,.68365633,37439,5163,287,.41350907,.007269172
