sample,outcome,xvar,coef,se,t,p,n,firms,clusters,r2
clean_2012_2022,企业创新韧性1,ln1p_idc_stock,-2.154116441721579,1.5703603,-1.3717339,.17134258,22972,4220,258,.14081548
clean_2008_2024,企业创新韧性1,ln1p_idc_stock,-1.381440616405718,1.276783,-1.0819699,.28027228,33924,5058,260,.14456899
clean_2012_2022,企业创新韧性1,ln1p_idc_stock_l1,-3.491993759749192,2.2595549,-1.5454344,.12347168,22972,4220,258,.14094517
clean_2008_2024,企业创新韧性1,ln1p_idc_stock_l1,-3.012122705334342,1.3151772,-2.2902792,.022809301,33924,5058,260,.14464618
clean_2012_2022,企业创新韧性1,ln1p_idc_new,-1.883420437875997,1.4057792,-1.3397697,.18150367,22972,4220,258,.14084674
clean_2008_2024,企业创新韧性1,ln1p_idc_new,-2.738851025821382,1.8529794,-1.4780796,.14060152,33924,5058,260,.14466651
clean_2012_2022,企业创新韧性1,ln1p_idc_new_l1,-.6915547820915751,1.5122806,-.45729265,.64784706,22972,4220,258,.14075789
clean_2008_2024,企业创新韧性1,ln1p_idc_new_l1,-1.964867126010783,1.5786371,-1.2446604,.21438169,33924,5058,260,.14457524
clean_2012_2022,企业创新韧性2,ln1p_idc_stock,.4027922191551523,1.445327,.27868587,.78070742,28462,4573,261,.17233494
clean_2008_2024,企业创新韧性2,ln1p_idc_stock,.39322830982987,1.0127691,.38827044,.6981312,41700,5239,263,.1226929
clean_2012_2022,企业创新韧性2,ln1p_idc_stock_l1,1.456663961032681,.95587522,1.523906,.12874758,28462,4573,261,.17235494
clean_2008_2024,企业创新韧性2,ln1p_idc_stock_l1,-.0643106217026353,.61738372,-.10416637,.917117,41700,5239,263,.12269037
clean_2012_2022,企业创新韧性2,ln1p_idc_new,-.0940545436468326,1.2900554,-.072907373,.9419359,28462,4573,261,.17233354
clean_2008_2024,企业创新韧性2,ln1p_idc_new,-.7158038910141034,1.034266,-.69208878,.48949444,41700,5239,263,.12270413
clean_2012_2022,企业创新韧性2,ln1p_idc_new_l1,-.4463788798549498,1.1314356,-.39452431,.69351739,28462,4573,261,.17233501
clean_2008_2024,企业创新韧性2,ln1p_idc_new_l1,-1.051368534392306,1.0064076,-1.0446746,.29713628,41700,5239,263,.12270169
clean_2012_2022,企业创新韧性3,ln1p_idc_stock,-1.151475539991891,1.8858136,-.6105988,.54199654,28117,4547,262,.4542608
clean_2008_2024,企业创新韧性3,ln1p_idc_stock,2.998842130287537,3.1408696,.95478082,.34056863,41100,5231,263,.26834276
clean_2012_2022,企业创新韧性3,ln1p_idc_stock_l1,-.1811092322643319,1.0952823,-.16535394,.86879343,28117,4547,262,.45425576
clean_2008_2024,企业创新韧性3,ln1p_idc_stock_l1,-3.580427698176776,3.8640916,-.92658973,.35499233,41100,5231,263,.26834857
clean_2012_2022,企业创新韧性3,ln1p_idc_new,-2.825288773064417,2.2981071,-1.2293983,.22002967,28117,4547,262,.45431268
clean_2008_2024,企业创新韧性3,ln1p_idc_new,-2.383275036810809,1.7400371,-1.3696691,.17196296,41100,5231,263,.268343
clean_2012_2022,企业创新韧性3,ln1p_idc_new_l1,2.753459390123253,4.8115563,.57225966,.56763864,28117,4547,262,.45428109
clean_2008_2024,企业创新韧性3,ln1p_idc_new_l1,4.296532847119307,4.1681008,1.0308131,.30357912,41100,5231,263,.26834539
clean_2012_2022,企业创新韧性4,ln1p_idc_stock,.0103841851816339,.011491435,.90364563,.36696288,28584,4599,280,.22089438
clean_2008_2024,企业创新韧性4,ln1p_idc_stock,.0229553469089162,.0098268278,2.3359876,.020195249,41875,5269,282,.55133516
clean_2012_2022,企业创新韧性4,ln1p_idc_stock_l1,-.0180916239003348,.010083794,-1.7941288,.073875248,28584,4599,280,.22096935
clean_2008_2024,企业创新韧性4,ln1p_idc_stock_l1,-.0144446762919253,.0098614413,-1.4647632,.14410344,41875,5269,282,.55127323
clean_2012_2022,企业创新韧性4,ln1p_idc_new,.0191285891039371,.0082679726,2.3135767,.021417931,28584,4599,280,.22106843
clean_2008_2024,企业创新韧性4,ln1p_idc_new,.0258714534644907,.0083434377,3.1008146,.0021259894,41875,5269,282,.5514428
clean_2012_2022,企业创新韧性4,ln1p_idc_new_l1,.016094484959647,.012598518,1.2774903,.20249119,28584,4599,280,.22092956
clean_2008_2024,企业创新韧性4,ln1p_idc_new_l1,.0056732684049019,.010433255,.54376781,.58703238,41875,5269,282,.55123019
