spec,sample,outcome,y_version,xvar,coef,se,t,p,n,firms,clusters,r2
nocontrol_full,2012_2022,企业创新韧性1,raw,ln1p_idc_stock,-2.158430879262062,1.5672387,-1.377219,.16963823,22985,4221,259,.14079769
nocontrol_ctrlsample,2012_2022,企业创新韧性1,raw,ln1p_idc_stock,-2.15229196630836,1.5640576,-1.3760951,.16998546,22851,4121,259,.14002039
controls,2012_2022,企业创新韧性1,raw,ln1p_idc_stock,-2.147795821733005,1.4874054,-1.4439882,.14995553,22851,4121,259,.1400416
nocontrol_full,2008_2024,企业创新韧性1,raw,ln1p_idc_stock,-1.383299200076184,1.2751681,-1.0847976,.27901614,33945,5059,261,.14456509
nocontrol_ctrlsample,2008_2024,企业创新韧性1,raw,ln1p_idc_stock,-1.231583417536799,1.2710314,-.96896386,.33346373,33477,4832,261,.14153308
controls,2008_2024,企业创新韧性1,raw,ln1p_idc_stock,-1.193225255382076,1.2307913,-.96947807,.3332077,33477,4832,261,.14154458
nocontrol_full,2012_2022,企业创新韧性1,raw,ln1p_idc_stock_l1,-2.039428649880546,1.5671958,-1.3013235,.19430862,22985,4221,259,.14079346
nocontrol_ctrlsample,2012_2022,企业创新韧性1,raw,ln1p_idc_stock_l1,-2.03878734956982,1.5642515,-1.3033628,.19361281,22851,4121,259,.14001648
controls,2012_2022,企业创新韧性1,raw,ln1p_idc_stock_l1,-2.040938651331795,1.4869591,-1.3725587,.17108156,22851,4121,259,.1400381
nocontrol_full,2008_2024,企业创新韧性1,raw,ln1p_idc_stock_l1,-1.305151236977249,1.2644231,-1.0322108,.30293256,33945,5059,261,.14456409
nocontrol_ctrlsample,2008_2024,企业创新韧性1,raw,ln1p_idc_stock_l1,-1.185966865197891,1.2594894,-.94162512,.34725866,33477,4832,261,.14153281
controls,2008_2024,企业创新韧性1,raw,ln1p_idc_stock_l1,-1.152703391172655,1.2219952,-.94329607,.34640518,33477,4832,261,.14154442
nocontrol_full,2012_2022,企业创新韧性1,raw,ln1p_idc_new,-1.88696599683276,1.4064022,-1.3416972,.18087389,22985,4221,259,.14082901
nocontrol_ctrlsample,2012_2022,企业创新韧性1,raw,ln1p_idc_new,-1.882020562836281,1.4039929,-1.3404772,.18126941,22851,4121,259,.14005147
controls,2012_2022,企业创新韧性1,raw,ln1p_idc_new,-1.877740971988372,1.3985473,-1.3426368,.18056971,22851,4121,259,.14007264
nocontrol_full,2008_2024,企业创新韧性1,raw,ln1p_idc_new,-2.73927943689581,1.8523067,-1.4788476,.14039153,33945,5059,261,.14466265
nocontrol_ctrlsample,2008_2024,企业创新韧性1,raw,ln1p_idc_new,-2.745918945113699,1.8613501,-1.4752297,.14136072,33477,4832,261,.14163476
controls,2008_2024,企业创新韧性1,raw,ln1p_idc_new,-2.72739775714065,1.8415017,-1.4810727,.13979805,33477,4832,261,.1416453
nocontrol_full,2012_2022,企业创新韧性1,raw,ln1p_idc_new_l1,-2.278106732205852,1.4115512,-1.6139029,.10777084,22985,4221,259,.14089569
nocontrol_ctrlsample,2012_2022,企业创新韧性1,raw,ln1p_idc_new_l1,-2.289740590471287,1.4082129,-1.6259904,.1051725,22851,4121,259,.1401203
controls,2012_2022,企业创新韧性1,raw,ln1p_idc_new_l1,-2.293021769569584,1.3444476,-1.7055494,.089295559,22851,4121,259,.1401419
nocontrol_full,2008_2024,企业创新韧性1,raw,ln1p_idc_new_l1,-1.430217284490182,1.0043015,-1.4240915,.15561904,33945,5059,261,.14458138
nocontrol_ctrlsample,2008_2024,企业创新韧性1,raw,ln1p_idc_new_l1,-1.428940372518068,1.0031116,-1.4245079,.15549865,33477,4832,261,.14155275
controls,2008_2024,企业创新韧性1,raw,ln1p_idc_new_l1,-1.409447966372193,.98011667,-1.4380411,.15162493,33477,4832,261,.14156413
nocontrol_full,2012_2022,企业创新韧性1,winsor,ln1p_idc_stock,-1.32076048290485,.42102703,-3.136997,.0019048117,22985,4221,259,.15031092
nocontrol_ctrlsample,2012_2022,企业创新韧性1,winsor,ln1p_idc_stock,-1.316472417117109,.42021766,-3.1328347,.0019310134,22851,4121,259,.14806405
controls,2012_2022,企业创新韧性1,winsor,ln1p_idc_stock,-1.216180822956908,.4061501,-2.9944122,.0030169394,22851,4121,259,.14904626
nocontrol_full,2008_2024,企业创新韧性1,winsor,ln1p_idc_stock,-.7593318659180903,.24662046,-3.0789492,.0022998631,33945,5059,261,.14114195
nocontrol_ctrlsample,2008_2024,企业创新韧性1,winsor,ln1p_idc_stock,-.7283936327675991,.2439505,-2.9858255,.0030978532,33477,4832,261,.13567735
controls,2008_2024,企业创新韧性1,winsor,ln1p_idc_stock,-.682320426403925,.24093218,-2.8320019,.0049877246,33477,4832,261,.13657859
nocontrol_full,2012_2022,企业创新韧性1,winsor,ln1p_idc_stock_l1,-1.309082019030269,.40893432,-3.2012036,.0015400882,22985,4221,259,.15032566
nocontrol_ctrlsample,2012_2022,企业创新韧性1,winsor,ln1p_idc_stock_l1,-1.308707677051478,.40848148,-3.203836,.0015266162,22851,4121,259,.14808199
controls,2012_2022,企业创新韧性1,winsor,ln1p_idc_stock_l1,-1.198663683868519,.39488506,-3.0354748,.0026472709,22851,4121,259,.14905344
nocontrol_full,2008_2024,企业创新韧性1,winsor,ln1p_idc_stock_l1,-.7401279563990811,.23912546,-3.095145,.0021821603,33945,5059,261,.14114286
nocontrol_ctrlsample,2008_2024,企业创新韧性1,winsor,ln1p_idc_stock_l1,-.7150675912460213,.23588547,-3.0314186,.0026798849,33477,4832,261,.13568158
controls,2008_2024,企业创新韧性1,winsor,ln1p_idc_stock_l1,-.6657604401879728,.23378107,-2.8477945,.0047540106,33477,4832,261,.13657987
nocontrol_full,2012_2022,企业创新韧性1,winsor,ln1p_idc_new,-.5167156549680584,.25721014,-2.008924,.045586921,22985,4221,259,.14993556
nocontrol_ctrlsample,2012_2022,企业创新韧性1,winsor,ln1p_idc_new,-.5111616634650961,.25641531,-1.9934913,.047260605,22851,4121,259,.1476872
controls,2012_2022,企业创新韧性1,winsor,ln1p_idc_new,-.4755811944250818,.2510938,-1.8940381,.059338465,22851,4121,259,.14873017
nocontrol_full,2008_2024,企业创新韧性1,winsor,ln1p_idc_new,-.4195582944209636,.19337694,-2.1696398,.03094014,33945,5059,261,.1410255
nocontrol_ctrlsample,2008_2024,企业创新韧性1,winsor,ln1p_idc_new,-.4015462921587434,.19183789,-2.0931542,.037304554,33477,4832,261,.1355675
controls,2008_2024,企业创新韧性1,winsor,ln1p_idc_new,-.3785157538674095,.19151677,-1.9764105,.049165126,33477,4832,261,.13648424
nocontrol_full,2012_2022,企业创新韧性1,winsor,ln1p_idc_new_l1,-.8096759534035449,.26873744,-3.0128884,.002845105,22985,4221,259,.15023269
nocontrol_ctrlsample,2012_2022,企业创新韧性1,winsor,ln1p_idc_new_l1,-.8152854190931014,.26690581,-3.0545809,.0024898786,22851,4121,259,.14799474
controls,2012_2022,企业创新韧性1,winsor,ln1p_idc_new_l1,-.7634637418591765,.26528826,-2.8778648,.0043389876,22851,4121,259,.14899969
nocontrol_full,2008_2024,企业创新韧性1,winsor,ln1p_idc_new_l1,-.6280380842658008,.19002475,-3.3050332,.0010832745,33945,5059,261,.14120719
nocontrol_ctrlsample,2008_2024,企业创新韧性1,winsor,ln1p_idc_new_l1,-.6213929082063538,.18762097,-3.3119588,.0010578777,33477,4832,261,.13575536
controls,2008_2024,企业创新韧性1,winsor,ln1p_idc_new_l1,-.5892897190557654,.18937245,-3.1118028,.0020669147,33477,4832,261,.13665389
nocontrol_full,2012_2022,企业创新韧性2,raw,ln1p_idc_stock,.3975205765715618,1.44295,.2754916,.78315657,28476,4574,262,.17233464
nocontrol_ctrlsample,2012_2022,企业创新韧性2,raw,ln1p_idc_stock,.4320474132767937,1.4433794,.29933047,.76492614,28254,4432,262,.16734697
controls,2012_2022,企业创新韧性2,raw,ln1p_idc_stock,.8371755368601801,1.3261825,.63126725,.52841824,28254,4432,262,.1680101
nocontrol_full,2008_2024,企业创新韧性2,raw,ln1p_idc_stock,.3900350752076309,1.0097473,.38626999,.69960904,41727,5240,264,.12268952
nocontrol_ctrlsample,2008_2024,企业创新韧性2,raw,ln1p_idc_stock,.4014138851851068,1.0058025,.39909813,.69014603,41091,5000,263,.12037718
controls,2008_2024,企业创新韧性2,raw,ln1p_idc_stock,.5245116601436841,.93134689,.56317538,.57379711,41091,5000,263,.12097616
nocontrol_full,2012_2022,企业创新韧性2,raw,ln1p_idc_stock_l1,-.2044356398994524,1.389464,-.14713272,.88314086,28476,4574,262,.17233354
nocontrol_ctrlsample,2012_2022,企业创新韧性2,raw,ln1p_idc_stock_l1,-.2096282964921924,1.3865559,-.15118633,.87994552,28254,4432,262,.1673456
controls,2012_2022,企业创新韧性2,raw,ln1p_idc_stock_l1,.2454724935467461,1.2751344,.19250715,.84749466,28254,4432,262,.16800393
nocontrol_full,2008_2024,企业创新韧性2,raw,ln1p_idc_stock_l1,.1115038342044081,.98660237,.11301801,.91010249,41727,5240,264,.12268718
nocontrol_ctrlsample,2008_2024,企业创新韧性2,raw,ln1p_idc_stock_l1,.1157986434778021,.98261088,.11784792,.90627843,41091,5000,263,.12037466
controls,2008_2024,企业创新韧性2,raw,ln1p_idc_stock_l1,.2596554574300734,.91859984,.28266439,.77765733,41091,5000,263,.12097269
nocontrol_full,2012_2022,企业创新韧性2,raw,ln1p_idc_new,-.0913965908727829,1.2896215,-.070870869,.94355482,28476,4574,262,.17233327
nocontrol_ctrlsample,2012_2022,企业创新韧性2,raw,ln1p_idc_new,.0890159709108532,1.2870967,.069160283,.944915,28254,4432,262,.1673453
