eventdef,spec,outcome,event,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_1,province_year_fe,ln1p_new_applicants,es_m4,.0409939758647456,.044761576,.9158296,.36070722,,1.370598946510085,.25247887,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_m3,.0072317501393554,.049532544,.14599998,.88404816,,1.370598946510085,.25247887,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_m2,-.0485068176338886,.052929673,-.91643906,.36038831,,1.370598946510085,.25247887,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_0,-.0626634646811023,.034470517,-1.8178859,.070371337,*,1.370598946510085,.25247887,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_p1,-.0661626566621816,.03675843,-1.7999315,.07317058,*,1.370598946510085,.25247887,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_p2,-.0573490126552844,.040213153,-1.4261258,.15517624,,1.370598946510085,.25247887,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_p3,-.0545300378085619,.041049972,-1.3283818,.18535724,,1.370598946510085,.25247887,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_p4,-.0491478998145552,.03938042,-1.2480289,.21327862,,1.370598946510085,.25247887,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m4,.0192602995271418,.043013874,.44776946,.65473741,,.9542614668995107,.41511148,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m3,-.003351842693847,.046787981,-.071638972,.94295096,,.9542614668995107,.41511148,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m2,-.0561191867874356,.051410124,-1.0915979,.27614218,,.9542614668995107,.41511148,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_0,-.0476238653940192,.036700647,-1.2976301,.19570322,,.9542614668995107,.41511148,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p1,-.0509138269663336,.03904153,-1.3040941,.19349387,,.9542614668995107,.41511148,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p2,-.034788461058551,.040868163,-.85123622,.39551589,,.9542614668995107,.41511148,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p3,-.0315049072956874,.04033076,-.78116322,.43550289,,.9542614668995107,.41511148,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p4,-.0246594550765702,.036271039,-.67986625,.49726695,,.9542614668995107,.41511148,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,new_applicant_share,es_m4,-.0045206135285366,.016134351,-.28018564,.77958477,,.55628776967092,.64441496,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_m3,-.009937373240449,.017338844,-.57312775,.56711328,,.55628776967092,.64441496,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_m2,-.0172890116611521,.013611888,-1.2701406,.20530692,,.55628776967092,.64441496,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_0,-.0127664351786953,.014315412,-.89179653,.37342599,,.55628776967092,.64441496,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_p1,-.002622187318089,.013623603,-.19247386,.84753942,,.55628776967092,.64441496,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_p2,.0178839925665611,.014723979,1.2146168,.22574708,,.55628776967092,.64441496,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_p3,.0093143571546472,.012220614,.76218408,.4467243,,.55628776967092,.64441496,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_p4,.0015924785790225,.011514489,.13830215,.89012158,,.55628776967092,.64441496,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_m4,.0099405383507699,.015536892,.63980222,.52293247,,.8552187934775187,.46506768,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_m3,.0001524084740434,.017771512,.0085759992,.99316478,,.8552187934775187,.46506768,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_m2,-.0158503788212256,.01436324,-1.1035379,.27093697,,.8552187934775187,.46506768,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_0,-.0187799135739331,.015887689,-1.1820419,.23839921,,.8552187934775187,.46506768,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_p1,-.0117170576631293,.014959103,-.78327274,.43426582,,.8552187934775187,.46506768,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_p2,.0099399491851626,.015461043,.64290291,.52092195,,.8552187934775187,.46506768,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_p3,.0014170754244225,.01213247,.11680023,.90711939,,.8552187934775187,.46506768,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_p4,-.0052042227212583,.010968944,-.47445065,.63562483,,.8552187934775187,.46506768,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,hhi,es_m4,-.0086407817346197,.010830739,-.79780167,.4258014,,1.387832404330486,.24720523,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_m3,-.0105913340313122,.011582078,-.91445887,.36142519,,1.387832404330486,.24720523,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_m2,.00177420081132,.011176924,.15873784,.87401354,,1.387832404330486,.24720523,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_0,.0025486643532782,.0090482719,.28167415,.77844447,,1.387832404330486,.24720523,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_p1,.0044987479162224,.0086132856,.52230334,.6019575,,1.387832404330486,.24720523,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_p2,.0075328848232676,.0087787053,.85808611,.39173055,,1.387832404330486,.24720523,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_p3,.0083958329153688,.0063906624,1.3137658,.1902227,,1.387832404330486,.24720523,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_p4,.0129618078042742,.0065445304,1.9805558,.04882247,**,1.387832404330486,.24720523,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_m4,-.0059414655848987,.011439856,-.51936543,.60400105,,1.021779398029555,.38370612,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_m3,-.0073231122461737,.011961157,-.61224109,.54097784,,1.021779398029555,.38370612,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_m2,.0040757265408691,.011891381,.34274629,.73209965,,1.021779398029555,.38370612,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_0,.0021488627271305,.0088132108,.24382292,.80758345,,1.021779398029555,.38370612,3719,233,79,.0659890855742629
