eventdef,spec,outcome,event,rel,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_1,province_year_fe,ln1p_new_applicants,es_m4,-4,.032263629,.063859239,.50523037,.61387664,,.7787518226013462,.50688022,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_m3,-3,.034474202,.042702314,.80731463,.42031217,,.7787518226013462,.50688022,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_m2,-2,-.020254724,.038999408,-.51935977,.60400498,,.7787518226013462,.50688022,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_0,0,-.030437704,.031620324,-.96259934,.33675084,,.7787518226013462,.50688022,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_p1,1,-.028418571,.040800557,-.69652408,.48679793,,.7787518226013462,.50688022,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_p2,2,-.015755739,.052680865,-.299079,.76514751,,.7787518226013462,.50688022,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_p3,3,-.0059141289,.059171122,-.099949576,.92047065,,.7787518226013462,.50688022,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,ln1p_new_applicants,es_p4,4,.051272679,.062957495,.81440151,.41625011,,.7787518226013462,.50688022,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m4,-4,-.028361753,.06319996,-.44876221,.6540221,,.9412956336032656,.42138544,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m3,-3,.0084872702,.043460555,.19528674,.84533942,,.9412956336032656,.42138544,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_m2,-2,-.036634691,.039680932,-.92323166,.35684565,,.9412956336032656,.42138544,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_0,0,-.016754901,.033762708,-.49625465,.6201846,,.9412956336032656,.42138544,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p1,1,-.011548443,.044234626,-.26107246,.79426825,,.9412956336032656,.42138544,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p2,2,.011856027,.055218656,.21471053,.8301816,,.9412956336032656,.42138544,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p3,3,.027169472,.063342363,.42893052,.6683718,,.9412956336032656,.42138544,3719,233,79,4.33819638026051
scope_ge_1,provyr_baseyr_fe,ln1p_new_applicants,es_p4,4,.099233478,.0682422,1.4541366,.14725991,,.9412956336032656,.42138544,3719,233,79,4.33819638026051
scope_ge_1,province_year_fe,new_applicant_share,es_m4,-4,.00676138,.017950093,.37667656,.70675826,,.1139139425578497,.95190096,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_m3,-3,.006557351,.017483832,.37505224,.70796424,,.1139139425578497,.95190096,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_m2,-2,-.0013244731,.012064336,-.10978417,.91267544,,.1139139425578497,.95190096,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_0,0,.0047378517,.01444054,.3280938,.74313664,,.1139139425578497,.95190096,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_p1,1,.017533667,.015407641,1.1379852,.25630051,,.1139139425578497,.95190096,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_p2,2,.0397515,.017359139,2.2899466,.022923041,**,.1139139425578497,.95190096,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_p3,3,.033643968,.017994028,1.8697295,.062780999,*,.1139139425578497,.95190096,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,new_applicant_share,es_p4,4,.037244208,.01733637,2.1483278,.032723587,**,.1139139425578497,.95190096,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_m4,-4,.033963919,.018431049,1.8427557,.066640563,*,1.33381598355187,.26408321,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_m3,-3,.02156953,.018131588,1.1896106,.2354155,,1.33381598355187,.26408321,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_m2,-2,.0025206157,.012149162,.2074724,.83582294,,1.33381598355187,.26408321,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_0,0,-.0012598822,.015017131,-.083896331,.93321121,,1.33381598355187,.26408321,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_p1,1,.0078550288,.015790533,.49745181,.61934161,,1.33381598355187,.26408321,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_p2,2,.030294675,.017767711,1.7050411,.089525349,*,1.33381598355187,.26408321,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_p3,3,.022608262,.018547252,1.2189548,.22409931,,1.33381598355187,.26408321,3719,233,79,.4555013134560745
scope_ge_1,provyr_baseyr_fe,new_applicant_share,es_p4,4,.019324735,.018551564,1.0416769,.29864579,,1.33381598355187,.26408321,3719,233,79,.4555013134560745
scope_ge_1,province_year_fe,hhi,es_m4,-4,-.012177165,.014640726,-.83173227,.40641534,,1.151144311171109,.32924461,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_m3,-3,-.0096444478,.0081511196,-1.1832054,.23793879,,1.151144311171109,.32924461,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_m2,-2,.0036764839,.0058574993,.62765419,.53084779,,1.151144311171109,.32924461,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_0,0,.005744393,.0052340413,1.0975063,.27355793,,1.151144311171109,.32924461,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_p1,1,.0084619066,.0086114174,.982638,.32680926,,1.151144311171109,.32924461,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_p2,2,.012205826,.0094914623,1.2859796,.19973217,,1.151144311171109,.32924461,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_p3,3,.013895981,.012197984,1.1392031,.25579333,,1.151144311171109,.32924461,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,hhi,es_p4,4,.018700108,.017216863,1.0861506,.2785396,,1.151144311171109,.32924461,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_m4,-4,-.0082556186,.013192242,-.62579346,.53206557,,.9161155061413737,.43379691,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_m3,-3,-.0075124688,.0077840523,-.96511024,.33549452,,.9161155061413737,.43379691,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_m2,-2,.0045507639,.0059739347,.76176995,.446971,,.9161155061413737,.43379691,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_0,0,.0035104209,.0051638195,.67981094,.49730194,,.9161155061413737,.43379691,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_p1,1,.0039574415,.0084297601,.46946079,.63918126,,.9161155061413737,.43379691,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_p2,2,.0070974175,.0095645469,.74205476,.45880473,,.9161155061413737,.43379691,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_p3,3,.008794196,.013177102,.66738462,.50518978,,.9161155061413737,.43379691,3719,233,79,.0659890855742629
scope_ge_1,provyr_baseyr_fe,hhi,es_p4,4,.011194369,.01917346,.58384711,.55989039,,.9161155061413737,.43379691,3719,233,79,.0659890855742629
scope_ge_1,province_year_fe,top10_share,es_m4,-4,-.0075178505,.022346465,-.33642238,.73685646,,.0504942918400191,.98497325,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_m3,-3,-.0040462404,.016569203,-.24420248,.80728984,,.0504942918400191,.98497325,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_m2,-2,-.00022231901,.013531507,-.01642973,.98690569,,.0504942918400191,.98497325,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_0,0,.0054470263,.011193703,.48661524,.62699038,,.0504942918400191,.98497325,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_p1,1,.0012224987,.014280402,.085606746,.93185288,,.0504942918400191,.98497325,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_p2,2,.0057501928,.018156148,.31670776,.75175017,,.0504942918400191,.98497325,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_p3,3,.0046570417,.019804625,.23514922,.81430036,,.0504942918400191,.98497325,3719,233,79,.4725234794578038
scope_ge_1,province_year_fe,top10_share,es_p4,4,.019676803,.021820441,.90176004,.36811957,,.0504942918400191,.98497325,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_m4,-4,.0068099005,.021242131,.32058463,.74881375,,.0816235745278652,.96997041,3719,233,79,.4725234794578038
scope_ge_1,provyr_baseyr_fe,top10_share,es_m3,-3,-.00036401796,.016533306,-.02201725,.98245311,,.0816235745278652,.96997041,3719,233,79,.4725234794578038
