table,spec,outcome,xvar,coef,se,t,p,sig,N,N_city,mean_y
main,city_year_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,-.0061172249333186,.03842105,-.15921545,.87360996,,4647,291,6.219256666685361
main,province_year_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,-.0205253338987787,.040339526,-.50881445,.61126918,,4647,291,6.219256666685361
main,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_scope_stock_l1,.0852649059357648,.04540211,1.8779943,.061385285,*,4647,291,6.219256666685361
main,city_trend,ln1p_total_patents,ln1p_idc_scope_stock_l1,.0128029124013433,.055954151,.22881077,.81917727,,4647,291,6.219256666685361
main,city_year_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,-.0055442082220495,.031707343,-.17485565,.86131507,,4647,291,4.614966163841457
main,province_year_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,.0245989248108153,.040013891,.61475962,.53919554,,4647,291,4.614966163841457
main,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,.118206775905034,.044276278,2.6697543,.0080186659,***,4647,291,4.614966163841457
main,city_trend,ln1p_new_applicants,ln1p_idc_scope_stock_l1,.1046855996340216,.055399954,1.8896333,.059804328,*,4647,291,4.614966163841457
main,city_year_fe,new_applicant_share,ln1p_idc_scope_stock_l1,.0227612600576354,.0077245519,2.9466124,.0034735228,***,4647,291,.4323355655967836
main,province_year_fe,new_applicant_share,ln1p_idc_scope_stock_l1,.0430022324725301,.0093594715,4.5945153,6.4772289e-06,***,4647,291,.4323355655967836
main,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_stock_l1,.0227459137945829,.011364773,2.0014403,.04627642,**,4647,291,.4323355655967836
main,city_trend,new_applicant_share,ln1p_idc_scope_stock_l1,.0317385006630817,.014295127,2.2202322,.027175982,**,4647,291,.4323355655967836
main,city_year_fe,hhi,ln1p_idc_scope_stock_l1,.0161425693874001,.0050231409,3.2136405,.0014584244,***,4647,291,.0606716210857318
main,province_year_fe,hhi,ln1p_idc_scope_stock_l1,.0106419942534311,.0063290349,1.6814561,.093750909,*,4647,291,.0606716210857318
main,provyr_baseyr_fe,hhi,ln1p_idc_scope_stock_l1,.0008414059582476,.0075983666,.11073511,.91190302,,4647,291,.0606716210857318
main,city_trend,hhi,ln1p_idc_scope_stock_l1,-.0006829431967591,.0049151997,-.13894516,.88958991,,4647,291,.0606716210857318
main,city_year_fe,top10_share,ln1p_idc_scope_stock_l1,.0381186587778103,.0097424015,3.9126554,.00011379094,***,4647,291,.4544191153075489
main,province_year_fe,top10_share,ln1p_idc_scope_stock_l1,.0306680637558382,.013599964,2.2550106,.024878358,**,4647,291,.4544191153075489
main,provyr_baseyr_fe,top10_share,ln1p_idc_scope_stock_l1,-.0106899778925106,.012045907,-.88743651,.37557933,,4647,291,.4544191153075489
main,city_trend,top10_share,ln1p_idc_scope_stock_l1,-.0251056644216872,.01281938,-1.958415,.051139712,*,4647,291,.4544191153075489
main,city_year_fe,base_top_share,ln1p_idc_scope_stock_l1,.0362922426809671,.010217466,3.5519807,.00044606309,***,4647,291,.1988030133008628
main,province_year_fe,base_top_share,ln1p_idc_scope_stock_l1,.0258955228470561,.01248419,2.0742652,.038936801,**,4647,291,.1988030133008628
main,provyr_baseyr_fe,base_top_share,ln1p_idc_scope_stock_l1,-.0145900463196895,.013107859,-1.1130763,.26659742,,4647,291,.1988030133008628
main,city_trend,base_top_share,ln1p_idc_scope_stock_l1,-.0197259398015674,.011711073,-1.6843836,.093183443,*,4647,291,.1988030133008628
main,city_year_fe,base_mid_inc_share,ln1p_idc_scope_stock_l1,-.0213135821601444,.0079992712,-2.6644404,.0081433142,***,4647,291,.3962865480434242
main,province_year_fe,base_mid_inc_share,ln1p_idc_scope_stock_l1,-.032461011364912,.010238533,-3.1704748,.0016848454,***,4647,291,.3962865480434242
main,provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_scope_stock_l1,-.0056762113425193,.014324418,-.39626122,.69220376,,4647,291,.3962865480434242
main,city_trend,base_mid_inc_share,ln1p_idc_scope_stock_l1,-.0153752842373713,.013072245,-1.1761779,.24048842,,4647,291,.3962865480434242
x_robust_city,province_year_fe,ln1p_total_patents,ln1p_idc_scope_new_l1,-.0848032561509835,.035317566,-2.4011636,.01697262,**,4647,291,6.219256666685361
x_robust_city,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_scope_new_l1,-.0603385729415332,.032089673,-1.8803113,.061067823,*,4647,291,6.219256666685361
x_robust_city,province_year_fe,ln1p_new_applicants,ln1p_idc_scope_new_l1,-.0184323237617128,.025188768,-.73176754,.46490139,,4647,291,4.614966163841457
x_robust_city,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_new_l1,-.0072450646612853,.028997514,-.24985123,.80287927,,4647,291,4.614966163841457
x_robust_city,province_year_fe,new_applicant_share,ln1p_idc_scope_new_l1,.0062873608958853,.0079281963,.79303801,.428404,,4647,291,.4323355655967836
x_robust_city,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_new_l1,.0054863586448983,.0094612455,.57987696,.56244785,,4647,291,.4323355655967836
x_robust_city,province_year_fe,hhi,ln1p_idc_scope_new_l1,.0019106042156251,.0027500379,.69475555,.48776475,,4647,291,.0606716210857318
x_robust_city,provyr_baseyr_fe,hhi,ln1p_idc_scope_new_l1,.0001332327518291,.0027404281,.048617497,.96125758,,4647,291,.0606716210857318
x_robust_city,province_year_fe,top10_share,ln1p_idc_scope_new_l1,-.0034367230278145,.011284256,-.30455911,.76092041,,4647,291,.4544191153075489
x_robust_city,provyr_baseyr_fe,top10_share,ln1p_idc_scope_new_l1,-.0064430066492362,.012019592,-.53604203,.59234041,,4647,291,.4544191153075489
x_robust_city,province_year_fe,base_top_share,ln1p_idc_scope_new_l1,.0035491418798909,.0082945172,.42789012,.66904873,,4647,291,.1988030133008628
x_robust_city,provyr_baseyr_fe,base_top_share,ln1p_idc_scope_new_l1,-.001710440184841,.007030183,-.24329953,.80794537,,4647,291,.1988030133008628
x_robust_city,province_year_fe,base_mid_inc_share,ln1p_idc_scope_new_l1,-.0008331627718014,.0086147524,-.096713491,.92302072,,4647,291,.3962865480434242
x_robust_city,provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_scope_new_l1,-.0030204792556246,.0094970101,-.31804529,.75067949,,4647,291,.3962865480434242
x_robust_city,province_year_fe,ln1p_total_patents,ln1p_idc_scope_pre5_l1,-.0470596975437624,.029812843,-1.5785042,.11553995,,4647,291,6.219256666685361
x_robust_city,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_scope_pre5_l1,.0208354188724376,.032698762,.63719296,.52450186,,4647,291,6.219256666685361
x_robust_city,province_year_fe,ln1p_new_applicants,ln1p_idc_scope_pre5_l1,.0179508765104239,.030726295,.58421868,.55952734,,4647,291,4.614966163841457
x_robust_city,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_pre5_l1,.0746694209796547,.034026999,2.194417,.028998433,**,4647,291,4.614966163841457
x_robust_city,province_year_fe,new_applicant_share,ln1p_idc_scope_pre5_l1,.0292948985460658,.0083524249,3.5073526,.00052433088,***,4647,291,.4323355655967836
x_robust_city,provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_pre5_l1,.0221507664895657,.0094836308,2.3356843,.020189364,**,4647,291,.4323355655967836
x_robust_city,province_year_fe,hhi,ln1p_idc_scope_pre5_l1,.0032192476417914,.0037785212,.85198611,.39492482,,4647,291,.0606716210857318
x_robust_city,provyr_baseyr_fe,hhi,ln1p_idc_scope_pre5_l1,-.0018722749418889,.0039124284,-.47854549,.6326226,,4647,291,.0606716210857318
x_robust_city,province_year_fe,top10_share,ln1p_idc_scope_pre5_l1,.0066649218856951,.012073576,.55202556,.58135599,,4647,291,.4544191153075489
x_robust_city,provyr_baseyr_fe,top10_share,ln1p_idc_scope_pre5_l1,-.0177518774784445,.010355095,-1.7143134,.087539613,*,4647,291,.4544191153075489
x_robust_city,province_year_fe,base_top_share,ln1p_idc_scope_pre5_l1,.0084025652378994,.0087325564,.96221137,.33674502,,4647,291,.1988030133008628
x_robust_city,provyr_baseyr_fe,base_top_share,ln1p_idc_scope_pre5_l1,-.0165193682061907,.0081874095,-2.0176551,.04454805,**,4647,291,.1988030133008628
x_robust_city,province_year_fe,base_mid_inc_share,ln1p_idc_scope_pre5_l1,-.0130930524248931,.0085965078,-1.5230665,.12883176,,4647,291,.3962865480434242
x_robust_city,provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_scope_pre5_l1,-.0033338278399445,.010880229,-.30641153,.75951117,,4647,291,.3962865480434242
x_robust_city,province_year_fe,ln1p_total_patents,ln1p_idc_registered_stock_l1,.0117965546517231,.025821008,.45685881,.64811456,,4647,291,6.219256666685361
x_robust_city,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_registered_stock_l1,.0953589142775927,.028592877,3.3350585,.00096378621,***,4647,291,6.219256666685361
x_robust_city,province_year_fe,ln1p_new_applicants,ln1p_idc_registered_stock_l1,-.0041904532045893,.025761381,-.16266416,.87089616,,4647,291,4.614966163841457
x_robust_city,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_registered_stock_l1,.0647699598811102,.027620064,2.3450329,.019699611,**,4647,291,4.614966163841457
x_robust_city,province_year_fe,new_applicant_share,ln1p_idc_registered_stock_l1,.0228662358948077,.0078222118,2.9232445,.0037369609,***,4647,291,.4323355655967836
x_robust_city,provyr_baseyr_fe,new_applicant_share,ln1p_idc_registered_stock_l1,.005662050166309,.0081786606,.69229549,.48930573,,4647,291,.4323355655967836
x_robust_city,province_year_fe,hhi,ln1p_idc_registered_stock_l1,.0072883101459734,.0038901188,1.8735443,.061998863,*,4647,291,.0606716210857318
x_robust_city,provyr_baseyr_fe,hhi,ln1p_idc_registered_stock_l1,.0014678505370192,.004513381,.32522196,.7452476,,4647,291,.0606716210857318
x_robust_city,province_year_fe,top10_share,ln1p_idc_registered_stock_l1,.0304791786531791,.010435836,2.9206264,.0037675854,***,4647,291,.4544191153075489
x_robust_city,provyr_baseyr_fe,top10_share,ln1p_idc_registered_stock_l1,-.0016733354414042,.010023789,-.16693641,.86753643,,4647,291,.4544191153075489
x_robust_city,province_year_fe,base_top_share,ln1p_idc_registered_stock_l1,.022442421732551,.0089477021,2.508177,.012681653,**,4647,291,.1988030133008628
x_robust_city,provyr_baseyr_fe,base_top_share,ln1p_idc_registered_stock_l1,-.0103537946070363,.0081441412,-1.2713181,.20463422,,4647,291,.1988030133008628
x_robust_city,province_year_fe,base_mid_inc_share,ln1p_idc_registered_stock_l1,-.0200170108525656,.0081525557,-2.4553051,.01466348,**,4647,291,.3962865480434242
x_robust_city,provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_registered_stock_l1,.0074834981354934,.0088543901,.84517372,.39871061,,4647,291,.3962865480434242
x_robust_city,province_year_fe,ln1p_total_patents,ln1p_idc_combined_stock_l1,.0011774132462105,.030108836,.03910524,.96883339,,4647,291,6.219256666685361
x_robust_city,provyr_baseyr_fe,ln1p_total_patents,ln1p_idc_combined_stock_l1,.0899272443771419,.033232559,2.7059982,.0072132773,***,4647,291,6.219256666685361
x_robust_city,province_year_fe,ln1p_new_applicants,ln1p_idc_combined_stock_l1,.0089090901849162,.026976952,.33024821,.74145085,,4647,291,4.614966163841457
x_robust_city,provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_combined_stock_l1,.0861632136456297,.031285278,2.7541137,.0062569529,***,4647,291,4.614966163841457
x_robust_city,province_year_fe,new_applicant_share,ln1p_idc_combined_stock_l1,.0312750790008746,.0071978108,4.3450823,.000019278528,***,4647,291,.4323355655967836
x_robust_city,provyr_baseyr_fe,new_applicant_share,ln1p_idc_combined_stock_l1,.0133899555715767,.0081185661,1.6493005,.10016884,,4647,291,.4323355655967836
x_robust_city,province_year_fe,hhi,ln1p_idc_combined_stock_l1,.0095783111638454,.0043905559,2.1815715,.029944032,**,4647,291,.0606716210857318
x_robust_city,provyr_baseyr_fe,hhi,ln1p_idc_combined_stock_l1,.0017974785914186,.0052617826,.34161019,.73289168,,4647,291,.0606716210857318
x_robust_city,province_year_fe,top10_share,ln1p_idc_combined_stock_l1,.0303355068879529,.010520998,2.8833296,.0042294865,***,4647,291,.4544191153075489
x_robust_city,provyr_baseyr_fe,top10_share,ln1p_idc_combined_stock_l1,-.0055831985688391,.0099208225,-.56277573,.57402241,,4647,291,.4544191153075489
x_robust_city,province_year_fe,base_top_share,ln1p_idc_combined_stock_l1,.0224271317503546,.0095721381,2.3429594,.01980732,**,4647,291,.1988030133008628
x_robust_city,provyr_baseyr_fe,base_top_share,ln1p_idc_combined_stock_l1,-.014361880551661,.0095269689,-1.5074973,.1327718,,4647,291,.1988030133008628
x_robust_city,province_year_fe,base_mid_inc_share,ln1p_idc_combined_stock_l1,-.0235795051871463,.0079233367,-2.9759564,.0031667997,***,4647,291,.3962865480434242
x_robust_city,provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_combined_stock_l1,.0029483369459943,.0095817354,.30770385,.75852859,,4647,291,.3962865480434242
x_robust_province,city_year_fe,ln1p_total_patents,ln1p_idc_scope_prov_stock_l1,-.0335601738384367,.030995961,-1.0827273,.27982891,,4647,291,6.219256666685361
x_robust_province,city_trend,ln1p_total_patents,ln1p_idc_scope_prov_stock_l1,-.0593971475254973,.039492402,-1.5040145,.13366587,,4647,291,6.219256666685361
x_robust_province,city_year_fe,ln1p_new_applicants,ln1p_idc_scope_prov_stock_l1,-.0402915101481912,.024895895,-1.6183997,.10666352,,4647,291,4.614966163841457
x_robust_province,city_trend,ln1p_new_applicants,ln1p_idc_scope_prov_stock_l1,-.0170283509647563,.03533566,-.48190272,.63023853,,4647,291,4.614966163841457
x_robust_province,city_year_fe,new_applicant_share,ln1p_idc_scope_prov_stock_l1,-.0021807840303814,.006684537,-.3262431,.74447572,,4647,291,.4323355655967836
x_robust_province,city_trend,new_applicant_share,ln1p_idc_scope_prov_stock_l1,.0062209042754599,.0092076864,.67562073,.49981984,,4647,291,.4323355655967836
x_robust_province,city_year_fe,hhi,ln1p_idc_scope_prov_stock_l1,.0232359873548658,.0045962683,5.0554028,7.6218697e-07,***,4647,291,.0606716210857318
x_robust_province,city_trend,hhi,ln1p_idc_scope_prov_stock_l1,.0086660853645492,.0037504828,2.3106587,.021553304,**,4647,291,.0606716210857318
x_robust_province,city_year_fe,top10_share,ln1p_idc_scope_prov_stock_l1,.0379595226470464,.0075092395,5.0550423,7.6351193e-07,***,4647,291,.4544191153075489
x_robust_province,city_trend,top10_share,ln1p_idc_scope_prov_stock_l1,.0144818464261825,.0095112743,1.5225979,.12894899,,4647,291,.4544191153075489
x_robust_province,city_year_fe,base_top_share,ln1p_idc_scope_prov_stock_l1,.0458169180029903,.0089345817,5.1280427,5.3620471e-07,***,4647,291,.1988030133008628
x_robust_province,city_trend,base_top_share,ln1p_idc_scope_prov_stock_l1,.0169448605672124,.0082409177,2.0561862,.040659342,**,4647,291,.1988030133008628
x_robust_province,city_year_fe,base_mid_inc_share,ln1p_idc_scope_prov_stock_l1,-.0112827458019448,.0058726487,-1.9212363,.055682011,*,4647,291,.3962865480434242
x_robust_province,city_trend,base_mid_inc_share,ln1p_idc_scope_prov_stock_l1,-.0134572687382531,.0077087511,-1.7457131,.081919834,*,4647,291,.3962865480434242
x_robust_province,city_year_fe,ln1p_total_patents,ln1p_idc_scope_prov_new_l1,-.003976808748919,.017434934,-.22809426,.81973368,,4647,291,6.219256666685361
x_robust_province,city_trend,ln1p_total_patents,ln1p_idc_scope_prov_new_l1,-.0045547069532123,.018365912,-.24799787,.80431157,,4647,291,6.219256666685361
x_robust_province,city_year_fe,ln1p_new_applicants,ln1p_idc_scope_prov_new_l1,.0100956736857142,.014611553,.69093776,.49015734,,4647,291,4.614966163841457
x_robust_province,city_trend,ln1p_new_applicants,ln1p_idc_scope_prov_new_l1,.0052750148250971,.015117685,.34893006,.727395,,4647,291,4.614966163841457
x_robust_province,city_year_fe,new_applicant_share,ln1p_idc_scope_prov_new_l1,.0112153037676525,.0042046239,2.6673739,.0080742873,***,4647,291,.4323355655967836
x_robust_province,city_trend,new_applicant_share,ln1p_idc_scope_prov_new_l1,.0108928683703225,.0043185223,2.5223601,.012192274,**,4647,291,.4323355655967836
x_robust_province,city_year_fe,hhi,ln1p_idc_scope_prov_new_l1,.0021111534798877,.0015988911,1.3203859,.18774731,,4647,291,.0606716210857318
x_robust_province,city_trend,hhi,ln1p_idc_scope_prov_new_l1,.0032939051337331,.0017248883,1.9096339,.057166915,*,4647,291,.0606716210857318
x_robust_province,city_year_fe,top10_share,ln1p_idc_scope_prov_new_l1,.0034246735158754,.0044078031,.77695704,.43781739,,4647,291,.4544191153075489
x_robust_province,city_trend,top10_share,ln1p_idc_scope_prov_new_l1,.003239438056237,.0044643655,.72562116,.46865621,,4647,291,.4544191153075489
x_robust_province,city_year_fe,base_top_share,ln1p_idc_scope_prov_new_l1,.0075669188745382,.0036942731,2.0482836,.041432425,**,4647,291,.1988030133008628
x_robust_province,city_trend,base_top_share,ln1p_idc_scope_prov_new_l1,.007476103300878,.0039169183,1.9086696,.057291798,*,4647,291,.1988030133008628
x_robust_province,city_year_fe,base_mid_inc_share,ln1p_idc_scope_prov_new_l1,-.008043791933339,.0038991249,-2.0629735,.040005177,**,4647,291,.3962865480434242
x_robust_province,city_trend,base_mid_inc_share,ln1p_idc_scope_prov_new_l1,-.0069825055121472,.0038341971,-1.8211128,.069620028,*,4647,291,.3962865480434242
x_robust_province,city_year_fe,ln1p_total_patents,ln1p_idc_scope_prov_pre5_l1,-.0040875824023747,.023247834,-.17582639,.86055303,,4647,291,6.219256666685361
x_robust_province,city_trend,ln1p_total_patents,ln1p_idc_scope_prov_pre5_l1,-.0098486942195255,.023919653,-.41174066,.68083364,,4647,291,6.219256666685361
x_robust_province,city_year_fe,ln1p_new_applicants,ln1p_idc_scope_prov_pre5_l1,-.000626414858136,.019103533,-.032790523,.9738642,,4647,291,4.614966163841457
x_robust_province,city_trend,ln1p_new_applicants,ln1p_idc_scope_prov_pre5_l1,.0092047238761003,.020811165,.4422974,.65860367,,4647,291,4.614966163841457
x_robust_province,city_year_fe,new_applicant_share,ln1p_idc_scope_prov_pre5_l1,.0015331983929201,.0051749204,.29627475,.7672323,,4647,291,.4323355655967836
x_robust_province,city_trend,new_applicant_share,ln1p_idc_scope_prov_pre5_l1,.0042012812761215,.0056133186,.74844873,.45479611,,4647,291,.4323355655967836
x_robust_province,city_year_fe,hhi,ln1p_idc_scope_prov_pre5_l1,.0140656587400716,.0027444281,5.1251693,5.4375630e-07,***,4647,291,.0606716210857318
x_robust_province,city_trend,hhi,ln1p_idc_scope_prov_pre5_l1,.0064887827777243,.0024992363,2.5963063,.0099033471,***,4647,291,.0606716210857318
x_robust_province,city_year_fe,top10_share,ln1p_idc_scope_prov_pre5_l1,.0254865202232208,.0060427757,4.2176843,.000033029337,***,4647,291,.4544191153075489
x_robust_province,city_trend,top10_share,ln1p_idc_scope_prov_pre5_l1,.0087846580551761,.0057970681,1.5153623,.13076986,,4647,291,.4544191153075489
x_robust_province,city_year_fe,base_top_share,ln1p_idc_scope_prov_pre5_l1,.0316420889851859,.0059186323,5.3461823,1.8224716e-07,***,4647,291,.1988030133008628
x_robust_province,city_trend,base_top_share,ln1p_idc_scope_prov_pre5_l1,.0120265931153443,.0047052535,2.5559924,.011098438,**,4647,291,.1988030133008628
x_robust_province,city_year_fe,base_mid_inc_share,ln1p_idc_scope_prov_pre5_l1,-.0103536820563495,.0044901422,-2.3058693,.021823324,**,4647,291,.3962865480434242
x_robust_province,city_trend,base_mid_inc_share,ln1p_idc_scope_prov_pre5_l1,-.0074111325820623,.004903588,-1.5113693,.13178326,,4647,291,.3962865480434242
