sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
all,province_year_fe,ln1p_new_applicants,.0245989248108153,.040013891,.61475962,.53919554,,4647,291,4.614966163841457
all,provyr_baseyr_fe,ln1p_new_applicants,.118206775905034,.044276278,2.6697543,.0080186659,***,4647,291,4.614966163841457
all,province_year_fe,new_applicant_share,.0430022324725301,.0093594715,4.5945153,6.4772289e-06,***,4647,291,.4323355655967836
all,provyr_baseyr_fe,new_applicant_share,.0227459137945829,.011364773,2.0014403,.04627642,**,4647,291,.4323355655967836
all,province_year_fe,hhi,.0106419942534311,.0063290349,1.6814561,.093750909,*,4647,291,.0606716210857318
all,provyr_baseyr_fe,hhi,.0008414059582476,.0075983666,.11073511,.91190302,,4647,291,.0606716210857318
all,province_year_fe,top10_share,.0306680637558382,.013599964,2.2550106,.024878358,**,4647,291,.4544191153075489
all,provyr_baseyr_fe,top10_share,-.0106899778925106,.012045907,-.88743651,.37557933,,4647,291,.4544191153075489
all,province_year_fe,base_top_share,.0258955228470561,.01248419,2.0742652,.038936801,**,4647,291,.1988030133008628
all,provyr_baseyr_fe,base_top_share,-.0145900463196895,.013107859,-1.1130763,.26659742,,4647,291,.1988030133008628
all,province_year_fe,base_mid_inc_share,-.032461011364912,.010238533,-3.1704748,.0016848454,***,4647,291,.3962865480434242
all,provyr_baseyr_fe,base_mid_inc_share,-.0056762113425193,.014324418,-.39626122,.69220376,,4647,291,.3962865480434242
drop_bsgsh,province_year_fe,ln1p_new_applicants,.0143256496237865,.041390631,.3461085,.72951651,,4567,286,4.555838747296801
drop_bsgsh,provyr_baseyr_fe,ln1p_new_applicants,.1091928185798805,.045278776,2.4115672,.016516455,**,4567,286,4.555838747296801
drop_bsgsh,province_year_fe,new_applicant_share,.0383452544210247,.0093865665,4.0851202,.000057307941,***,4567,286,.4367764586562431
drop_bsgsh,provyr_baseyr_fe,new_applicant_share,.0186826594030926,.011518679,1.6219447,.10592089,,4567,286,.4367764586562431
drop_bsgsh,province_year_fe,hhi,.0126438618450495,.0065194275,1.9394128,.053437781,*,4567,286,.0613251781628418
drop_bsgsh,provyr_baseyr_fe,hhi,.0019420495135544,.007756725,.25036979,.80248177,,4567,286,.0613251781628418
drop_bsgsh,province_year_fe,top10_share,.0366483919873142,.01340285,2.7343731,.0066413386,***,4567,286,.4570304428220701
drop_bsgsh,provyr_baseyr_fe,top10_share,-.0064227266668392,.012204613,-.526254,.59912097,,4567,286,.4570304428220701
drop_bsgsh,province_year_fe,base_top_share,.0315038366900079,.012031951,2.6183481,.0093080904,***,4567,286,.19791647926077
drop_bsgsh,provyr_baseyr_fe,base_top_share,-.0107011861070665,.013124102,-.81538427,.41553327,,4567,286,.19791647926077
drop_bsgsh,province_year_fe,base_mid_inc_share,-.0333140820251613,.01047609,-3.180011,.001635075,***,4567,286,.3932067956466437
drop_bsgsh,provyr_baseyr_fe,base_mid_inc_share,-.0059483833409345,.014679015,-.40523043,.68561214,,4567,286,.3932067956466437
drop_top10city,province_year_fe,ln1p_new_applicants,.0106156395390385,.043066364,.2464949,.80547976,,4487,281,4.506810774848047
drop_top10city,provyr_baseyr_fe,ln1p_new_applicants,.1027590754449435,.047080941,2.1826046,.029895753,**,4487,281,4.506810774848047
drop_top10city,province_year_fe,new_applicant_share,.0358681472435342,.0098556653,3.639343,.00032542,***,4487,281,.4402986945171775
drop_top10city,provyr_baseyr_fe,new_applicant_share,.0154560429600918,.011879629,1.3010545,.19430944,,4487,281,.4402986945171775
drop_top10city,province_year_fe,hhi,.0131272190341668,.0071423356,1.8379449,.067129865,*,4487,281,.0621279842592074
drop_top10city,provyr_baseyr_fe,hhi,.0028950644463534,.0081946645,.3532865,.72413951,,4487,281,.0621279842592074
drop_top10city,province_year_fe,top10_share,.0370204845057725,.014282991,2.591928,.010044758,**,4487,281,.4599499214239502
drop_top10city,provyr_baseyr_fe,top10_share,-.0017539899272396,.012899403,-.1359745,.89193916,,4487,281,.4599499214239502
drop_top10city,province_year_fe,base_top_share,.0271445229219685,.012330196,2.2014673,.028518736,**,4487,281,.1968748774932527
drop_top10city,provyr_baseyr_fe,base_top_share,-.0097937861540239,.01375142,-.71220177,.47693285,,4487,281,.1968748774932527
drop_top10city,province_year_fe,base_mid_inc_share,-.0300103175766432,.011044319,-2.717263,.0069925892,***,4487,281,.3911859085253823
drop_top10city,provyr_baseyr_fe,base_mid_inc_share,-.0045559866521653,.015252236,-.29870942,.76538336,,4487,281,.3911859085253823
min20,province_year_fe,ln1p_new_applicants,.0479211685255689,.039922059,1.2003682,.23097602,,4453,291,4.739597395492638
min20,provyr_baseyr_fe,ln1p_new_applicants,.1213596624271722,.044889718,2.7035069,.007266209,***,4453,291,4.739597395492638
min20,province_year_fe,new_applicant_share,.0406393405477276,.0097091449,4.1856766,.000037737827,***,4453,291,.4201790124446582
min20,provyr_baseyr_fe,new_applicant_share,.0222797375122754,.011472625,1.9419913,.053106304,*,4453,291,.4201790124446582
min20,province_year_fe,hhi,.0039849210775701,.0057156398,.69719595,.48623869,,4453,291,.0522298142558093
min20,provyr_baseyr_fe,hhi,.0002917133948102,.0075880755,.038443662,.96936041,,4453,291,.0522298142558093
min20,province_year_fe,top10_share,.0205712856790349,.012606821,1.6317583,.10381579,,4453,291,.432661518104773
min20,provyr_baseyr_fe,top10_share,-.0110509910491462,.011992834,-.92146623,.357573,,4453,291,.432661518104773
min20,province_year_fe,base_top_share,.0157134682794408,.011633278,1.3507344,.17783353,,4453,291,.1872910844572879
min20,provyr_baseyr_fe,base_top_share,-.0117258857439345,.013004677,-.90166682,.36798212,,4453,291,.1872910844572879
