spec,outcome,xvar,coef,se,t,p,sig,N,N_city,mean_y
city_year_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,-.0055442082220495,.031707343,-.17485565,.86131507,,4647,291,4.614966163841457
province_year_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,.0245989248108153,.040013891,.61475962,.53919554,,4647,291,4.614966163841457
provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_scope_stock_l1,.118206775905034,.044276278,2.6697543,.0080186659,***,4647,291,4.614966163841457
city_year_fe,new_applicant_share,ln1p_idc_scope_stock_l1,.0227612600576354,.0077245519,2.9466124,.0034735228,***,4647,291,.4323355655967836
province_year_fe,new_applicant_share,ln1p_idc_scope_stock_l1,.0430022324725301,.0093594715,4.5945153,6.4772289e-06,***,4647,291,.4323355655967836
provyr_baseyr_fe,new_applicant_share,ln1p_idc_scope_stock_l1,.0227459137945829,.011364773,2.0014403,.04627642,**,4647,291,.4323355655967836
city_year_fe,hhi,ln1p_idc_scope_stock_l1,.0161425693874001,.0050231409,3.2136405,.0014584244,***,4647,291,.0606716210857318
province_year_fe,hhi,ln1p_idc_scope_stock_l1,.0106419942534311,.0063290349,1.6814561,.093750909,*,4647,291,.0606716210857318
provyr_baseyr_fe,hhi,ln1p_idc_scope_stock_l1,.0008414059582476,.0075983666,.11073511,.91190302,,4647,291,.0606716210857318
city_year_fe,top10_share,ln1p_idc_scope_stock_l1,.0381186587778103,.0097424015,3.9126554,.00011379094,***,4647,291,.4544191153075489
province_year_fe,top10_share,ln1p_idc_scope_stock_l1,.0306680637558382,.013599964,2.2550106,.024878358,**,4647,291,.4544191153075489
provyr_baseyr_fe,top10_share,ln1p_idc_scope_stock_l1,-.0106899778925106,.012045907,-.88743651,.37557933,,4647,291,.4544191153075489
city_year_fe,base_top_share,ln1p_idc_scope_stock_l1,.0362922426809671,.010217466,3.5519807,.00044606309,***,4647,291,.1988030133008628
province_year_fe,base_top_share,ln1p_idc_scope_stock_l1,.0258955228470561,.01248419,2.0742652,.038936801,**,4647,291,.1988030133008628
provyr_baseyr_fe,base_top_share,ln1p_idc_scope_stock_l1,-.0145900463196895,.013107859,-1.1130763,.26659742,,4647,291,.1988030133008628
city_year_fe,base_mid_inc_share,ln1p_idc_scope_stock_l1,-.0213135821601444,.0079992712,-2.6644404,.0081433142,***,4647,291,.3962865480434242
province_year_fe,base_mid_inc_share,ln1p_idc_scope_stock_l1,-.032461011364912,.010238533,-3.1704748,.0016848454,***,4647,291,.3962865480434242
provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_scope_stock_l1,-.0056762113425193,.014324418,-.39626122,.69220376,,4647,291,.3962865480434242
city_year_fe,ln1p_new_applicants,ln1p_idc_registered_stock_l1,-.0057178797977054,.029520625,-.19369102,.84655344,,4647,291,4.614966163841457
province_year_fe,ln1p_new_applicants,ln1p_idc_registered_stock_l1,-.0041904532045893,.025761381,-.16266416,.87089616,,4647,291,4.614966163841457
provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_registered_stock_l1,.0647699598811102,.027620064,2.3450329,.019699611,**,4647,291,4.614966163841457
city_year_fe,new_applicant_share,ln1p_idc_registered_stock_l1,.0191345605657365,.0068273288,2.8026423,.005410091,***,4647,291,.4323355655967836
province_year_fe,new_applicant_share,ln1p_idc_registered_stock_l1,.0228662358948077,.0078222118,2.9232445,.0037369609,***,4647,291,.4323355655967836
provyr_baseyr_fe,new_applicant_share,ln1p_idc_registered_stock_l1,.005662050166309,.0081786606,.69229549,.48930573,,4647,291,.4323355655967836
city_year_fe,hhi,ln1p_idc_registered_stock_l1,.0149501536115505,.0038615637,3.8715284,.00013368104,***,4647,291,.0606716210857318
province_year_fe,hhi,ln1p_idc_registered_stock_l1,.0072883101459734,.0038901188,1.8735443,.061998863,*,4647,291,.0606716210857318
provyr_baseyr_fe,hhi,ln1p_idc_registered_stock_l1,.0014678505370192,.004513381,.32522196,.7452476,,4647,291,.0606716210857318
city_year_fe,top10_share,ln1p_idc_registered_stock_l1,.0444632764457843,.008980358,4.95117,1.2539289e-06,***,4647,291,.4544191153075489
province_year_fe,top10_share,ln1p_idc_registered_stock_l1,.0304791786531791,.010435836,2.9206264,.0037675854,***,4647,291,.4544191153075489
provyr_baseyr_fe,top10_share,ln1p_idc_registered_stock_l1,-.0016733354414042,.010023789,-.16693641,.86753643,,4647,291,.4544191153075489
city_year_fe,base_top_share,ln1p_idc_registered_stock_l1,.044945764118383,.0080367485,5.5925307,5.1717137e-08,***,4647,291,.1988030133008628
province_year_fe,base_top_share,ln1p_idc_registered_stock_l1,.022442421732551,.0089477021,2.508177,.012681653,**,4647,291,.1988030133008628
provyr_baseyr_fe,base_top_share,ln1p_idc_registered_stock_l1,-.0103537946070363,.0081441412,-1.2713181,.20463422,,4647,291,.1988030133008628
city_year_fe,base_mid_inc_share,ln1p_idc_registered_stock_l1,-.0275800102312745,.0068962276,-3.9992895,.000080687023,***,4647,291,.3962865480434242
province_year_fe,base_mid_inc_share,ln1p_idc_registered_stock_l1,-.0200170108525656,.0081525557,-2.4553051,.01466348,**,4647,291,.3962865480434242
provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_registered_stock_l1,.0074834981354934,.0088543901,.84517372,.39871061,,4647,291,.3962865480434242
city_year_fe,ln1p_new_applicants,ln1p_idc_combined_stock_l1,-.0114627979643984,.027105309,-.42289862,.67268264,,4647,291,4.614966163841457
province_year_fe,ln1p_new_applicants,ln1p_idc_combined_stock_l1,.0089090901849162,.026976952,.33024821,.74145085,,4647,291,4.614966163841457
provyr_baseyr_fe,ln1p_new_applicants,ln1p_idc_combined_stock_l1,.0861632136456297,.031285278,2.7541137,.0062569529,***,4647,291,4.614966163841457
city_year_fe,new_applicant_share,ln1p_idc_combined_stock_l1,.0180219300319373,.0062865536,2.8667424,.0044510346,***,4647,291,.4323355655967836
province_year_fe,new_applicant_share,ln1p_idc_combined_stock_l1,.0312750790008746,.0071978108,4.3450823,.000019278528,***,4647,291,.4323355655967836
provyr_baseyr_fe,new_applicant_share,ln1p_idc_combined_stock_l1,.0133899555715767,.0081185661,1.6493005,.10016884,,4647,291,.4323355655967836
city_year_fe,hhi,ln1p_idc_combined_stock_l1,.0167121220922162,.0043422082,3.8487608,.00014606482,***,4647,291,.0606716210857318
province_year_fe,hhi,ln1p_idc_combined_stock_l1,.0095783111638454,.0043905559,2.1815715,.029944032,**,4647,291,.0606716210857318
provyr_baseyr_fe,hhi,ln1p_idc_combined_stock_l1,.0017974785914186,.0052617826,.34161019,.73289168,,4647,291,.0606716210857318
city_year_fe,top10_share,ln1p_idc_combined_stock_l1,.0408951267668966,.0081550926,5.0146732,9.2674878e-07,***,4647,291,.4544191153075489
province_year_fe,top10_share,ln1p_idc_combined_stock_l1,.0303355068879529,.010520998,2.8833296,.0042294865,***,4647,291,.4544191153075489
provyr_baseyr_fe,top10_share,ln1p_idc_combined_stock_l1,-.0055831985688391,.0099208225,-.56277573,.57402241,,4647,291,.4544191153075489
city_year_fe,base_top_share,ln1p_idc_combined_stock_l1,.039701974489933,.0081624584,4.8639727,1.8899802e-06,***,4647,291,.1988030133008628
province_year_fe,base_top_share,ln1p_idc_combined_stock_l1,.0224271317503546,.0095721381,2.3429594,.01980732,**,4647,291,.1988030133008628
provyr_baseyr_fe,base_top_share,ln1p_idc_combined_stock_l1,-.014361880551661,.0095269689,-1.5074973,.1327718,,4647,291,.1988030133008628
city_year_fe,base_mid_inc_share,ln1p_idc_combined_stock_l1,-.0208020815418663,.0064528729,-3.2236929,.0014099096,***,4647,291,.3962865480434242
province_year_fe,base_mid_inc_share,ln1p_idc_combined_stock_l1,-.0235795051871463,.0079233367,-2.9759564,.0031667997,***,4647,291,.3962865480434242
provyr_baseyr_fe,base_mid_inc_share,ln1p_idc_combined_stock_l1,.0029483369459943,.0095817354,.30770385,.75852859,,4647,291,.3962865480434242
