sample,outcome,transform,coef,se,t,p,n,firms,clusters,r2
clean_2008_2024,企业创新韧性1,raw,-1.44427209741162,3.5115194,-.4112955,.68108124,33924,5058,392,.14455718
clean_2008_2024,企业创新韧性1,winsor_p1p99,-.9185421362598267,.54247719,-1.6932365,.091206945,33924,5058,392,.14103194
clean_2000_2024,企业创新韧性1,raw,-1.392592906646554,3.3871775,-.41113669,.68119526,34995,5090,396,.14408515
all_2008_2024,企业创新韧性1,raw,-1.879417443244603,3.6174836,-.51953721,.60367936,35039,5151,393,.14262605
clean_2008_2024,企业创新韧性2,raw,-2.356385071705232,2.8599253,-.82393241,.41047898,41700,5239,393,.12271366
clean_2008_2024,企业创新韧性2,winsor_p1p99,.2395928058945419,.43647087,.54893196,.58336467,41700,5239,393,.12459769
clean_2000_2024,企业创新韧性2,raw,-2.144611884451852,2.6305826,-.81526119,.41541412,44907,5295,396,.10908946
all_2008_2024,企业创新韧性2,raw,-2.428564383885216,2.7492862,-.88334358,.37758932,43238,5337,395,.12021462
clean_2008_2024,企业创新韧性3,raw,6.237209680896036,3.5375159,1.7631608,.078646526,41100,5231,396,.26834366
clean_2008_2024,企业创新韧性3,winsor_p1p99,.7922222345896971,.62685144,1.2638118,.2070429,41100,5231,396,.15898609
clean_2000_2024,企业创新韧性3,raw,5.649974170484223,3.2751806,1.7250879,.085287921,43869,5277,399,.26756147
all_2008_2024,企业创新韧性3,raw,5.985833094249724,3.4000292,1.760524,.079088949,42604,5325,398,.25877956
clean_2008_2024,企业创新韧性4,raw,.0327930607331047,.020763751,1.5793419,.1150177,41875,5269,417,.55128056
clean_2008_2024,企业创新韧性4,winsor_p1p99,.0402975102310641,.020914126,1.9268082,.054684356,41875,5269,417,.5696941
clean_2000_2024,企业创新韧性4,raw,.0240083779208815,.02033687,1.1805345,.23845741,45084,5323,420,.52345705
all_2008_2024,企业创新韧性4,raw,.0228024821229327,.020100925,1.1343997,.25727707,43431,5366,419,.54812783
