sample,outcome,xvar,coef,se,t,p,sig,N,N_city,r2_within,abs_t
2008_2024,ln1p_city_invgrant,ln1p_ndi_kw_per10k,-.0620123429527165,.016015863,-3.8719327,.00013395135,***,4652,286,.8393356734992715,3.8719327
2008_2024,ln1p_listed_invgrant,ln1p_ndi_kw_per10k,-.1125362061614885,.030345121,-3.7085438,.00025051314,***,4652,286,.5641522060431405,3.7085438
2008_2024,ln1p_nonlisted_invgrant_proxy,ln1p_ndi_kw_per10k,-.0600169690290811,.017188132,-3.4917681,.00055594201,***,4652,286,.7986967042305576,3.4917681
2008_2024,diff_nl_ls_inv,ln1p_ndi_kw_per10k,.0525192373182942,.03350246,1.5676234,.11807865,,4652,286,.0231151412941619,1.5676234
2008_2024,diff_ls_city_inv,ln1p_ndi_kw_per10k,-.0505238618699219,.030033913,-1.6822271,.093620054,*,4652,286,.0390301318444085,1.6822271
2008_2024,listed_share_invgrant_clean,ln1p_ndi_kw_per10k,-.0010166866575573,.0034802039,-.29213423,.77039653,,4652,286,.0559489424639225,.29213423
2008_2024,listed_share_apply_clean,ln1p_ndi_kw_per10k,-.0011947406278287,.0020253954,-.58988023,.55573833,,4700,286,.0295827144899689,.58988023
2008_2024,listed_share_grant_clean,ln1p_ndi_kw_per10k,-.00155160499104,.0025149824,-.61694473,.53776371,,4702,286,.0238381754706329,.61694473
2008_2024,ln1p_city_invgrant,ndi_entropy_mm,.0160632922034586,.081658423,.19671322,.84419215,,4652,286,.8383322563003552,.19671322
2008_2024,ln1p_listed_invgrant,ndi_entropy_mm,.278271310283533,.15238491,1.8261081,.068880148,*,4652,286,.5616885380629776,1.8261081
2008_2024,ln1p_nonlisted_invgrant_proxy,ndi_entropy_mm,.0296078379864939,.092116825,.32141617,.74813062,,4652,286,.7977464939601957,.32141617
2008_2024,diff_nl_ls_inv,ndi_entropy_mm,-.2486634860819768,.16450593,-1.5115776,.13174933,,4652,286,.0225984386361129,1.5115776
