family,outcome_type,sample,spec,outcome,coef,se,stat,p,sig,N,N_city,mean_y,converged
sustained_entry,count_ppml,all,city_year,surv2_applicants,.0319589240445469,.047930468,.66677678,.5049147,,4059,291,80.763245,1
sustained_entry,count_ppml,all,provyr_base,surv2_applicants,.0816652152752924,.048631296,1.6792729,.093098871,*,3992,286,80.763245,1
sustained_entry,count_ppml,all,provyr_base_policy,surv2_applicants,.0546042864577416,.048457403,1.1268513,.25980535,,3992,286,80.763245,1
sustained_entry,count_ppml,all,city_year,surv3_applicants,.0153458157952424,.045502275,.33725381,.73592556,,3768,291,88.343155,1
sustained_entry,count_ppml,all,provyr_base,surv3_applicants,.0582011623166302,.04609381,1.2626675,.20670867,,3706,286,88.343155,1
sustained_entry,count_ppml,all,provyr_base_policy,surv3_applicants,.0298674504757892,.044965349,.66423261,.50654149,,3706,286,88.343155,1
sustained_entry,count_ppml,all,city_year,surv2_entry_patents,-.0135464951432372,.084451422,-.16040577,.87256145,,4059,291,312.78763,1
sustained_entry,count_ppml,all,provyr_base,surv2_entry_patents,.0393032334509995,.086022504,.45689479,.64774668,,3992,286,312.78763,1
sustained_entry,count_ppml,all,provyr_base_policy,surv2_entry_patents,.025661529362514,.090200566,.2844941,.77603173,,3992,286,312.78763,1
sustained_entry,count_ppml,all,city_year,surv3_entry_patents,-.0473210667421703,.079801627,-.59298372,.55319202,,3768,291,334.70914,1
sustained_entry,count_ppml,all,provyr_base,surv3_entry_patents,.021534140720626,.080309197,.26814041,.78859127,,3706,286,334.70914,1
sustained_entry,count_ppml,all,provyr_base_policy,surv3_entry_patents,.0001025806090488,.08256498,.0012424227,.99900872,,3706,286,334.70914,1
sustained_entry,count_ppml,all,city_year,surv2_future_patents,.0835006459657026,.091525808,.91231805,.36160132,,4059,291,574.13452,1
sustained_entry,count_ppml,all,provyr_base,surv2_future_patents,.048273632580967,.086136438,.5604322,.5751847,,3992,286,574.13452,1
sustained_entry,count_ppml,all,provyr_base_policy,surv2_future_patents,.0385542681252524,.092905775,.41498247,.67815477,,3992,286,574.13452,1
sustained_entry,count_ppml,all,city_year,surv3_future_patents,.1043258669028929,.08414828,1.2397861,.21505451,,3768,291,802.27228,1
sustained_entry,count_ppml,all,provyr_base,surv3_future_patents,.0728802942585208,.077561907,.93964028,.34740213,,3706,286,802.27228,1
sustained_entry,count_ppml,all,provyr_base_policy,surv3_future_patents,.0569969156487127,.083864026,.67963487,.49673569,,3706,286,802.27228,1
