sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
all,province_year_fe,ln1p_org_total_patents,-.1411070022693039,.044982128,-3.1369569,.001882621,***,4647,291,5.840900489662149
all,provyr_baseyr_fe,ln1p_org_total_patents,.0373720448726809,.047923122,.77983326,.43612498,,4647,291,5.840900489662149
all,province_year_fe,ln1p_org_active_applicants,-.061668920595125,.029666763,-2.0787208,.038521975,**,4647,291,4.532222790677579
all,provyr_baseyr_fe,ln1p_org_active_applicants,.0273611931676594,.033811647,.80922389,.4190498,,4647,291,4.532222790677579
all,province_year_fe,ln1p_org_new_applicants,-.0021302451108818,.031388782,-.067866445,.94593871,,4647,291,3.932873191743421
all,provyr_baseyr_fe,ln1p_org_new_applicants,.0482741519360415,.037940048,1.2723798,.20425746,,4647,291,3.932873191743421
all,province_year_fe,org_new_share,.0684282555269492,.011050341,6.1924114,2.0215596e-09,***,4647,291,.3660945196468086
all,provyr_baseyr_fe,org_new_share,.0139648557160713,.010442243,1.3373425,.1821588,,4647,291,.3660945196468086
all,province_year_fe,org_hhi,.0331722528697247,.0089520002,3.705569,.00025255859,***,4647,291,.1015326262960138
all,provyr_baseyr_fe,org_hhi,.0103126130428342,.010514284,.9808194,.32749933,,4647,291,.1015326262960138
all,province_year_fe,org_top10_share,.046309579729213,.01250902,3.7020948,.00025588347,***,4647,291,.5700800665669324
all,provyr_baseyr_fe,org_top10_share,.012055676932748,.014220062,.84779358,.39725211,,4647,291,.5700800665669324
all,province_year_fe,ln_org_effective_applicants,-.1322125231611568,.07524173,-1.7571702,.079944015,*,4647,291,2.868984725634184
all,provyr_baseyr_fe,ln_org_effective_applicants,.0127480517585118,.09382005,.13587768,.89201224,,4647,291,2.868984725634184
all,province_year_fe,org_patent_share_total,-.0558905749698353,.011674741,-4.7873077,2.6982318e-06,***,4647,291,.7186110884651179
all,provyr_baseyr_fe,org_patent_share_total,-.024318512961711,.014465356,-1.6811554,.093809336,*,4647,291,.7186110884651179
min20,province_year_fe,ln1p_org_total_patents,-.096676814055543,.043575808,-2.2185891,.027288942,**,4453,291,6.026741453547447
min20,provyr_baseyr_fe,ln1p_org_total_patents,.0410216656116235,.048436925,.84690893,.39774424,,4453,291,6.026741453547447
min20,province_year_fe,ln1p_org_active_applicants,-.0344744842531444,.02763862,-1.2473302,.21328281,,4453,291,4.673717781931885
min20,provyr_baseyr_fe,ln1p_org_active_applicants,.0293734094426043,.034072869,.86207622,.38935786,,4453,291,4.673717781931885
min20,province_year_fe,ln1p_org_new_applicants,.0207930463192963,.031164773,.66719711,.50517678,,4453,291,4.057495670181049
min20,provyr_baseyr_fe,ln1p_org_new_applicants,.0529170100069995,.038486239,1.3749592,.17020541,,4453,291,4.057495670181049
min20,province_year_fe,org_new_share,.0666619207321772,.011059009,6.0278382,5.0395537e-09,***,4453,291,.3523866749722719
min20,provyr_baseyr_fe,org_new_share,.0150368006993606,.01049134,1.4332583,.15286122,,4453,291,.3523866749722719
min20,province_year_fe,org_hhi,.0182862811352549,.0073181018,2.4987738,.013015661,**,4453,291,.0865333011217784
min20,provyr_baseyr_fe,org_hhi,.0076038528925408,.010307455,.73770428,.46129066,,4453,291,.0865333011217784
min20,province_year_fe,org_top10_share,.0508306113594034,.012769693,3.9805665,.000086954416,***,4453,291,.554546903987016
min20,provyr_baseyr_fe,org_top10_share,.0093629783678293,.01431782,.65393883,.51366943,,4453,291,.554546903987016
min20,province_year_fe,ln_org_effective_applicants,-.0903178115958563,.074741222,-1.208407,.22787517,,4453,291,2.957252437860785
min20,provyr_baseyr_fe,ln_org_effective_applicants,.0177334255281119,.095121115,.18642996,.85223794,,4453,291,2.957252437860785
min20,province_year_fe,org_patent_share_total,-.0508267687573965,.011927939,-4.2611527,.000027525764,***,4453,291,.7283308259245158
min20,provyr_baseyr_fe,org_patent_share_total,-.0256949107464893,.014685593,-1.7496679,.081233367,*,4453,291,.7283308259245158
min50,province_year_fe,ln1p_org_total_patents,-.05457751286676,.041279223,-1.3221545,.18716578,,4157,289,6.253710876966283
min50,provyr_baseyr_fe,ln1p_org_total_patents,.0464558121877804,.045903634,1.0120291,.31237364,,4157,289,6.253710876966283
min50,province_year_fe,ln1p_org_active_applicants,.000072912870356,.02672996,.0027277584,.99782544,,4157,289,4.846772970834926
min50,provyr_baseyr_fe,ln1p_org_active_applicants,.043273031262016,.033535305,1.2903724,.19795643,,4157,289,4.846772970834926
min50,province_year_fe,ln1p_org_new_applicants,.0520614354548307,.031192169,1.6690547,.096193179,*,4157,289,4.211902880564118
min50,provyr_baseyr_fe,ln1p_org_new_applicants,.0670430808857568,.038583662,1.7376028,.083349787,*,4157,289,4.211902880564118
min50,province_year_fe,org_new_share,.0575987199250593,.01062431,5.4214082,1.2522941e-07,***,4157,289,.3338028273161417
min50,provyr_baseyr_fe,org_new_share,.0147169325906215,.010004902,1.4709722,.1423904,,4157,289,.3338028273161417
min50,province_year_fe,org_hhi,.0095498953211997,.0062507633,1.5277966,.12766054,,4157,289,.077964113887313
min50,provyr_baseyr_fe,org_hhi,.0020904675161957,.0080662398,.2591626,.79569495,,4157,289,.077964113887313
min50,province_year_fe,org_top10_share,.0369308849769735,.012090002,3.0546632,.0024640332,***,4157,289,.5272813353437127
min50,provyr_baseyr_fe,org_top10_share,.0045991072779902,.014378079,.31986937,.74929929,,4157,289,.5272813353437127
min50,province_year_fe,ln_org_effective_applicants,-.0411515914453186,.075323187,-.54633367,.58525962,,4157,289,3.045099825035166
min50,provyr_baseyr_fe,ln_org_effective_applicants,.0478849781272396,.094815224,.50503469,.61392069,,4157,289,3.045099825035166
min50,province_year_fe,org_patent_share_total,-.0420972450713887,.012081641,-3.4843979,.00056998461,***,4157,289,.7418648162839413
min50,provyr_baseyr_fe,org_patent_share_total,-.0224073172475293,.014597426,-1.5350184,.12587713,,4157,289,.7418648162839413
