sample,scope,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
y2023,inv_grant_pub,province_year_fe,new_applicant_share,.052100079417783,.012192345,4.2731795,.000026165173,***,4629,291,.4542498420982418
y2023,inv_grant_pub,provyr_baseyr_fe,new_applicant_share,.0201588856013908,.013104709,1.5382932,.12506728,,4629,291,.4542498420982418
y2023,inv_grant_pub,province_year_fe,ln1p_new_applicants,.0074474623276165,.033105936,.22495852,.82216996,,4629,291,3.629521599126857
y2023,inv_grant_pub,provyr_baseyr_fe,ln1p_new_applicants,.0577391685918136,.040224321,1.4354292,.15224248,,4629,291,3.629521599126857
y2023,inv_grant_pub,province_year_fe,ln1p_new_patents,.0268113624718302,.038733851,.69219458,.48936898,,4629,291,3.905375296484549
y2023,inv_grant_pub,provyr_baseyr_fe,ln1p_new_patents,.0855385733990649,.045151111,1.8944955,.059154011,*,4629,291,3.905375296484549
y2023,inv_grant_pub,province_year_fe,ln1p_total_patents,.0385864310438629,.046399776,.83160812,.4063144,,4629,291,4.821583033770923
y2023,inv_grant_pub,provyr_baseyr_fe,ln1p_total_patents,.0681979524463476,.054884102,1.2425811,.21502601,,4629,291,4.821583033770923
y2023,inv_grant_pub,province_year_fe,ln1p_incumbent_patents,-.0918582564783341,.062943198,-1.4593834,.14554195,,4629,291,4.169567067418241
y2023,inv_grant_pub,provyr_baseyr_fe,ln1p_incumbent_patents,.0206903250265305,.073469594,.28161752,.77843767,,4629,291,4.169567067418241
y2023,inv_grant_pub,province_year_fe,hhi,.0293864352455754,.011152352,2.6349988,.0088660717,***,4629,291,.1094126174603319
y2023,inv_grant_pub,provyr_baseyr_fe,hhi,.0062265743606101,.011345164,.54883069,.58354396,,4629,291,.1094126174603319
y2023,inv_grant_pub,province_year_fe,top10_share,.0643452432295099,.015896518,4.0477571,.000066395369,***,4629,291,.5933513066796323
y2023,inv_grant_pub,provyr_baseyr_fe,top10_share,-.0079671172449498,.01441827,-.552571,.58098286,,4629,291,.5933513066796323
y2021,inv_grant_pub,province_year_fe,new_applicant_share,.0474148769840413,.012481051,3.7989488,.00017704854,***,4047,291,.4735265991757734
y2021,inv_grant_pub,provyr_baseyr_fe,new_applicant_share,.0184287549493238,.01374237,1.3410172,.18096423,,4047,291,.4735265991757734
y2021,inv_grant_pub,province_year_fe,ln1p_new_applicants,-.0071112533181323,.033566926,-.21185297,.83237058,,4047,291,3.512319556315938
y2021,inv_grant_pub,provyr_baseyr_fe,ln1p_new_applicants,.0320930452697025,.040259812,.79714847,.42601699,,4047,291,3.512319556315938
y2021,inv_grant_pub,province_year_fe,ln1p_new_patents,.0149879963160505,.04009001,.37385866,.70878267,,4047,291,3.777321519982043
y2021,inv_grant_pub,provyr_baseyr_fe,ln1p_new_patents,.0598224463674215,.046706457,1.2808175,.20128115,,4047,291,3.777321519982043
y2021,inv_grant_pub,province_year_fe,ln1p_total_patents,.0317917844404259,.048103109,.66090912,.50919527,,4047,291,4.6438622461663
y2021,inv_grant_pub,provyr_baseyr_fe,ln1p_total_patents,.0475433036618628,.056276515,.84481603,.39890999,,4047,291,4.6438622461663
y2021,inv_grant_pub,province_year_fe,ln1p_incumbent_patents,-.0888840529250119,.065087765,-1.3656031,.17312181,,4047,291,3.957495865643009
y2021,inv_grant_pub,provyr_baseyr_fe,ln1p_incumbent_patents,.0031240045921304,.075403318,.0414306,.96698111,,4047,291,3.957495865643009
y2021,inv_grant_pub,province_year_fe,hhi,.0304658397248774,.011538931,2.6402652,.0087327026,***,4047,291,.1142047758463571
y2021,inv_grant_pub,provyr_baseyr_fe,hhi,.0078247197308035,.011960575,.65420932,.51349545,,4047,291,.1142047758463571
y2021,inv_grant_pub,province_year_fe,top10_share,.0623408190846418,.015596974,3.9969816,.000081435668,***,4047,291,.6077335793947823
y2021,inv_grant_pub,provyr_baseyr_fe,top10_share,-.0049804811038194,.014363997,-.34673366,.72904289,,4047,291,.6077335793947823
y2023,inv_app_pub,province_year_fe,new_applicant_share,.047058897231538,.0093187597,5.0499101,7.8260467e-07,***,4643,291,.4366919070694474
y2023,inv_app_pub,provyr_baseyr_fe,new_applicant_share,.023657433885568,.011130989,2.1253669,.03440119,**,4643,291,.4366919070694474
y2023,inv_app_pub,province_year_fe,ln1p_new_applicants,.01013134284817,.035493005,.2854462,.77550608,,4643,291,4.578488192823826
y2023,inv_app_pub,provyr_baseyr_fe,ln1p_new_applicants,.1099132548581919,.037764281,2.9105084,.0038881085,***,4643,291,4.578488192823826
y2023,inv_app_pub,province_year_fe,ln1p_new_patents,.0014834699265612,.038920175,.038115706,.96962166,,4643,291,5.201349608116658
y2023,inv_app_pub,provyr_baseyr_fe,ln1p_new_patents,.1224398291922233,.042975347,2.8490713,.0046986514,***,4643,291,5.201349608116658
y2023,inv_app_pub,province_year_fe,ln1p_total_patents,-.0447186072935138,.037646849,-1.1878446,.23586656,,4643,291,6.122502119393588
y2023,inv_app_pub,provyr_baseyr_fe,ln1p_total_patents,.0684560289028021,.041531995,1.648272,.10037977,,4643,291,6.122502119393588
y2023,inv_app_pub,province_year_fe,ln1p_incumbent_patents,-.1619805841934717,.047370892,-3.4194117,.00071758614,***,4643,291,5.497691323601916
y2023,inv_app_pub,provyr_baseyr_fe,ln1p_incumbent_patents,.0225601446611699,.051367979,.4391869,.66085315,,4643,291,5.497691323601916
y2023,inv_app_pub,province_year_fe,hhi,.0100685351010479,.0065361736,1.5404327,.12454534,,4643,291,.0612993357893296
y2023,inv_app_pub,provyr_baseyr_fe,hhi,-.0002688797933423,.0071751056,-.037473984,.97013289,,4643,291,.0612993357893296
y2023,inv_app_pub,province_year_fe,top10_share,.0234040968823193,.014910304,1.5696592,.11758482,,4643,291,.4544864735667737
y2023,inv_app_pub,provyr_baseyr_fe,top10_share,-.0168723781237297,.012224562,-1.3802031,.16858713,,4643,291,.4544864735667737
y2021,inv_app_pub,province_year_fe,new_applicant_share,.0461535638479222,.0099135619,4.6555986,4.9229075e-06,***,4061,291,.4569968438271912
y2021,inv_app_pub,provyr_baseyr_fe,new_applicant_share,.0263834557114774,.012536501,2.104531,.036192581,**,4061,291,.4569968438271912
y2021,inv_app_pub,province_year_fe,ln1p_new_applicants,.0052822888476728,.038492221,.13723004,.89094418,,4061,291,4.49257504903585
y2021,inv_app_pub,provyr_baseyr_fe,ln1p_new_applicants,.1012882847552361,.040439006,2.5047174,.012803641,**,4061,291,4.49257504903585
y2021,inv_app_pub,province_year_fe,ln1p_new_patents,.0091205722968674,.042821005,.21299295,.83148211,,4061,291,5.13568294377303
