sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
all,city_year,qgrant_t10_new_pat_sh,.0112291225786223,.010749425,1.0446254,.29706609,,4633,291,.48277178
all,provyr_base,qgrant_t10_new_pat_sh,.0133730313942125,.012870445,1.0390496,.29966235,,4559,286,.48277178
all,provyr_base_policy,qgrant_t10_new_pat_sh,.0117963475531948,.013437578,.87786263,.38075769,,4559,286,.48277178
all,city_year,qgrant_t20_new_pat_sh,-.0003931302431496,.00919919,-.042735308,.96594197,,4633,291,.49928612
all,provyr_base,qgrant_t20_new_pat_sh,-.0018717657829661,.011375486,-.16454381,.86941969,,4559,286,.49928612
all,provyr_base_policy,qgrant_t20_new_pat_sh,-.0033168523983292,.011722162,-.28295568,.77741623,,4559,286,.49928612
all,city_year,qcited_t10_new_pat_sh,-.0170930015751758,.01128844,-1.514204,.13106696,,4343,290,.66618204
all,provyr_base,qcited_t10_new_pat_sh,-.0428608176897717,.015724527,-2.7257304,.0068131187,***,4267,286,.66618204
all,provyr_base_policy,qcited_t10_new_pat_sh,-.0372660490500977,.016288955,-2.287811,.022880964,**,4267,286,.66618204
all,city_year,qcited_t20_new_pat_sh,-.013728988172198,.011327596,-1.2119949,.2265043,,4343,290,.68367499
all,provyr_base,qcited_t20_new_pat_sh,-.0362248481356787,.015478851,-2.3402801,.019959236,**,4267,286,.68367499
all,provyr_base_policy,qcited_t20_new_pat_sh,-.0298060333629834,.016431887,-1.8139143,.070742466,*,4267,286,.68367499
all,city_year,qfcited_t10_new_pat_sh,-.0082590549530846,.010369194,-.79649919,.42639351,,4617,291,.50397605
all,provyr_base,qfcited_t10_new_pat_sh,.0024772812995148,.013255159,.18689185,.8518784,,4544,286,.50397605
all,provyr_base_policy,qfcited_t10_new_pat_sh,.0016742962002381,.013893321,.12051087,.90416336,,4544,286,.50397605
all,city_year,qfcited_t20_new_pat_sh,-.0193067951258441,.0093095442,-2.0738711,.038973667,**,4617,291,.5221715
all,provyr_base,qfcited_t20_new_pat_sh,-.0086032710160454,.012078645,-.71227121,.47687954,,4544,286,.5221715
all,provyr_base_policy,qfcited_t20_new_pat_sh,-.0079681027911272,.012609185,-.6319285,.52794015,,4544,286,.5221715
min20,city_year,qgrant_t10_new_pat_sh,.0196954002709771,.010685627,1.8431674,.066328473,*,4448,290,.4652167
min20,provyr_base,qgrant_t10_new_pat_sh,.016504943104092,.01294725,1.2747837,.20342411,,4367,286,.4652167
min20,provyr_base_policy,qgrant_t10_new_pat_sh,.0147688162798338,.013532348,1.0913713,.27603132,,4367,286,.4652167
min20,city_year,qgrant_t20_new_pat_sh,.0069621783029549,.0091149174,.76382244,.44559619,,4448,290,.48241404
min20,provyr_base,qgrant_t20_new_pat_sh,.0001944461188623,.011484329,.016931431,.98650318,,4367,286,.48241404
min20,provyr_base_policy,qgrant_t20_new_pat_sh,-.0015285243406848,.011776255,-.12979715,.89681846,,4367,286,.48241404
