spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
province_year_fe,top20_firm_share_total,-.0198759572456378,.013073312,-1.5203459,.12951358,,4647,291,.3026138734383242
provyr_baseyr_fe,top20_firm_share_total,-.003320400687864,.012651722,-.26244655,.79316354,,4647,291,.3026138734383242
province_year_fe,top20_univ_share_total,-.0183370715280556,.0086760484,-2.113528,.035409484,**,4647,291,.1042086160870291
provyr_baseyr_fe,top20_univ_share_total,-.0153418735034118,.010946631,-1.4015156,.16212925,,4647,291,.1042086160870291
province_year_fe,top20_research_share_total,-.0038057188512798,.0039137318,-.97240162,.33166116,,4647,291,.0211997823508031
provyr_baseyr_fe,top20_research_share_total,.000570370521569,.003542556,.16100536,.87220126,,4647,291,.0211997823508031
province_year_fe,top20_individual_share_total,.0859123701234193,.012814572,6.7042718,1.0556298e-10,***,4647,291,.1325583350948521
provyr_baseyr_fe,top20_individual_share_total,.0142382820520944,.0089898547,1.5838166,.11432531,,4647,291,.1325583350948521
province_year_fe,top20_firm_share_top20,-.0656082506860455,.017012091,-3.856566,.00014170195,***,4647,291,.5380162521413354
provyr_baseyr_fe,top20_firm_share_top20,-.0041147263971515,.019926744,-.20649266,.83655101,,4647,291,.5380162521413354
province_year_fe,top20_univ_share_top20,-.0188853721334139,.014127835,-1.3367492,.18235224,,4647,291,.2034854383199683
provyr_baseyr_fe,top20_univ_share_top20,-.0168811497451965,.018191068,-.92799115,.35418388,,4647,291,.2034854383199683
province_year_fe,top20_research_share_top20,-.0077332351524572,.0071293018,-1.0847114,.27895039,,4647,291,.0371921952757511
provyr_baseyr_fe,top20_research_share_top20,-.0009985813524881,.0070092957,-.14246529,.88681144,,4647,291,.0371921952757511
province_year_fe,top20_individual_share_top20,.0945691072058979,.015620418,6.0541983,4.3588559e-09,***,4647,291,.1984367673793921
provyr_baseyr_fe,top20_individual_share_top20,.0204713244520534,.016311904,1.254993,.21049172,,4647,291,.1984367673793921
