sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
all,province_year_fe,cur_top_firm_share_total,-.0166648785244725,.012763686,-1.3056479,.19270714,,4647,291,.3074291265132698
all,provyr_baseyr_fe,cur_top_firm_share_total,-.0007223164811546,.012536125,-.057618797,.95409197,,4647,291,.3074291265132698
all,province_year_fe,cur_top_univ_share_total,-.0251738445538066,.0090665743,-2.7765551,.0058514462,***,4647,291,.1148686944705054
all,provyr_baseyr_fe,cur_top_univ_share_total,-.0157021643922772,.0108051,-1.4532179,.1472445,,4647,291,.1148686944705054
all,province_year_fe,cur_top_research_share_total,-.0028528776333874,.0026133086,-1.0916727,.27588314,,4647,291,.0090736748738087
all,provyr_baseyr_fe,cur_top_research_share_total,-.0021737543892566,.0022226179,-.9780153,.32888189,,4647,291,.0090736748738087
all,province_year_fe,cur_top_hospital_share_total,-.0006565777593958,.00079016178,-.8309409,.40669063,,4647,291,.0037083145566052
all,provyr_baseyr_fe,cur_top_hospital_share_total,.0001288334392717,.00092566834,.13917883,.88940543,,4647,291,.0037083145566052
all,province_year_fe,cur_top_individual_share_total,.0844081728363774,.012613678,6.6917968,1.1365951e-10,***,4647,291,.1298179769631289
all,provyr_baseyr_fe,cur_top_individual_share_total,.0143940689643784,.0089246389,1.6128461,.10786559,,4647,291,.1298179769631289
all,province_year_fe,cur_top_knowledge_share_total,-.0286832999465897,.0090897446,-3.1555672,.0017703107,***,4647,291,.1276506839009193
all,provyr_baseyr_fe,cur_top_knowledge_share_total,-.017747085342262,.010881567,-1.630931,.10399039,,4647,291,.1276506839009193
all,province_year_fe,cur_top_org_share_total,-.0412480888728119,.012983699,-3.1769135,.0016491272,***,4647,291,.444849249070378
all,provyr_baseyr_fe,cur_top_org_share_total,-.0175528863060288,.014098017,-1.2450607,.21411461,,4647,291,.444849249070378
all,province_year_fe,base_top_firm_share_total,.004185394006774,.011211644,.37330779,.7091921,,4647,291,.1022990832795162
all,provyr_baseyr_fe,base_top_firm_share_total,-.0008914895621018,.01022859,-.087156639,.93060714,,4647,291,.1022990832795162
all,province_year_fe,base_top_univ_share_total,-.0112082259597476,.010018878,-1.1187106,.26418936,,4647,291,.0840536515540065
all,provyr_baseyr_fe,base_top_univ_share_total,-.0111607886474585,.011899535,-.93791807,.34906697,,4647,291,.0840536515540065
all,province_year_fe,base_top_research_share_total,-.003420401664362,.0021602816,-1.5833127,.1144401,,4647,291,.0045956791283667
all,provyr_baseyr_fe,base_top_research_share_total,-.0013103303879038,.0018514206,-.70774323,.47967315,,4647,291,.0045956791283667
all,province_year_fe,base_top_hospital_share_total,.0001830243786571,.00013078694,1.3994087,.16275918,,4647,291,.0002054826546948
all,provyr_baseyr_fe,base_top_hospital_share_total,.000244614919771,.00024864406,.98379552,.3260361,,4647,291,.0002054826546948
all,province_year_fe,base_top_individual_share_total,.0537990288773278,.0090008285,5.9771194,6.6539765e-09,***,4647,291,.0474517178938905
all,provyr_baseyr_fe,base_top_individual_share_total,.0039159318783785,.0058202241,.67281461,.50160098,,4647,291,.0474517178938905
all,province_year_fe,base_top_knowledge_share_total,-.0144456032454525,.010025659,-1.4408633,.15070213,,4647,291,.088854813337068
all,provyr_baseyr_fe,base_top_knowledge_share_total,-.0122265041155912,.011942687,-1.023765,.30679953,,4647,291,.088854813337068
all,province_year_fe,base_top_org_share_total,-.0068300128373059,.012610526,-.54161209,.58850163,,4647,291,.1943895028889944
all,provyr_baseyr_fe,base_top_org_share_total,-.0128975837485476,.014447966,-.89269203,.37276226,,4647,291,.1943895028889944
all,province_year_fe,cur_top_firm_share_top,-.0582080489207334,.016202221,-3.5925968,.00038448768,***,4647,291,.5475314080767704
all,provyr_baseyr_fe,cur_top_firm_share_top,.0025120316352912,.019708149,.12746157,.8986634,,4647,291,.5475314080767704
all,province_year_fe,cur_top_univ_share_top,-.0321362459204307,.01472974,-2.1817253,.029932553,**,4647,291,.2219364196511648
all,provyr_baseyr_fe,cur_top_univ_share_top,-.0195422924381431,.01811059,-1.0790533,.28146061,,4647,291,.2219364196511648
all,province_year_fe,cur_top_research_share_top,-.0071163071873995,.0043740147,-1.6269509,.10483356,,4647,291,.0150226046658127
all,provyr_baseyr_fe,cur_top_research_share_top,-.0067234420921352,.0038329971,-1.7540953,.080470428,*,4647,291,.0150226046658127
all,province_year_fe,cur_top_individual_share_top,.0931135781462473,.015380811,6.0538797,4.3665214e-09,***,4647,291,.1943814826489421
all,provyr_baseyr_fe,cur_top_individual_share_top,.0208574541491101,.016106283,1.2949886,.19635417,,4647,291,.1943814826489421
all,province_year_fe,cur_top_knowledge_share_top,-.0393923191007906,.014926655,-2.6390586,.0087630991,***,4647,291,.2443938369946788
all,provyr_baseyr_fe,cur_top_knowledge_share_top,-.0255419671752863,.018188136,-1.4043202,.1612936,,4647,291,.2443938369946788
all,province_year_fe,cur_top_org_share_top,-.0931135781462473,.015380811,-6.0538797,4.3665214e-09,***,4647,291,.8056185173510578
all,provyr_baseyr_fe,cur_top_org_share_top,-.02085745414911,.016106283,-1.2949886,.19635417,,4647,291,.8056185173510578
all,province_year_fe,base_top_firm_share_base,-.0817942879046563,.026162963,-3.126339,.0019496114,***,4647,291,.4557299656339419
all,provyr_baseyr_fe,base_top_firm_share_base,-.0310414401218561,.037299357,-.83222449,.40596703,,4647,291,.4557299656339419
all,province_year_fe,base_top_univ_share_base,.0396606385355482,.028685739,1.3825908,.16785413,,4647,291,.3110765900453658
all,provyr_baseyr_fe,base_top_univ_share_base,.0186549184830759,.036744732,.5076896,.61205697,,4647,291,.3110765900453658
all,province_year_fe,base_top_research_share_base,-.024112032892062,.0088290004,-2.7310038,.0067009567,***,4647,291,.0199156458491959
all,provyr_baseyr_fe,base_top_research_share_base,-.0171735705547129,.0079617761,-2.1570024,.031827025,**,4647,291,.0199156458491959
all,province_year_fe,base_top_individual_share_base,.0909977542130092,.017113052,5.3174477,2.1049868e-07,***,4647,291,.1533060745625196
all,provyr_baseyr_fe,base_top_individual_share_base,.0254313401955202,.018217342,1.3959961,.16378342,,4647,291,.1533060745625196
all,province_year_fe,base_top_knowledge_share_base,.0164249806541078,.028391324,.57852113,.56336135,,4647,291,.33193177373541
all,provyr_baseyr_fe,base_top_knowledge_share_base,.0029801065412528,.03817407,.078066252,.9378292,,4647,291,.33193177373541
all,province_year_fe,base_top_org_share_base,-.058929725840332,.01742607,-3.3816991,.00081933872,***,4647,291,.7978452058334347
all,provyr_baseyr_fe,base_top_org_share_base,-.027371425324311,.020310134,-1.3476733,.17881536,,4647,291,.7978452058334347
min20,province_year_fe,cur_top_firm_share_total,-.0062941283491234,.012905994,-.4876903,.62613773,,4453,291,.3039390449918374
min20,provyr_baseyr_fe,cur_top_firm_share_total,-.0009121029888652,.012627811,-.072229698,.94246888,,4453,291,.3039390449918374
min20,province_year_fe,cur_top_univ_share_total,-.0270916964741348,.0091864029,-2.9491084,.0034464123,***,4453,291,.1180054712126306
min20,provyr_baseyr_fe,cur_top_univ_share_total,-.0168458986671629,.010876754,-1.5487982,.1225208,,4453,291,.1180054712126306
min20,province_year_fe,cur_top_research_share_total,-.0031220039001085,.0023564822,-1.3248578,.1862613,,4453,291,.0090077865373806
min20,provyr_baseyr_fe,cur_top_research_share_total,-.0031920980201715,.002116774,-1.5080014,.13264276,,4453,291,.0090077865373806
min20,province_year_fe,cur_top_hospital_share_total,-.000369840700189,.00078159542,-.47318688,.63643581,,4453,291,.0038228192084034
min20,provyr_baseyr_fe,cur_top_hospital_share_total,.0002804241746165,.00091432466,.30670089,.75929117,,4453,291,.0038228192084034
min20,province_year_fe,cur_top_individual_share_total,.075653013632024,.011758335,6.4339905,5.1228366e-10,***,4453,291,.1134948796773398
min20,provyr_baseyr_fe,cur_top_individual_share_total,.0148312000752085,.0090564331,1.6376425,.10258087,,4453,291,.1134948796773398
min20,province_year_fe,cur_top_knowledge_share_total,-.0305835410744321,.0092078038,-3.3214808,.0010100952,***,4453,291,.1308360769584146
min20,provyr_baseyr_fe,cur_top_knowledge_share_total,-.0197575725127178,.010895176,-1.813424,.070800073,*,4453,291,.1308360769584146
min20,province_year_fe,cur_top_org_share_total,-.0331387270120405,.013457733,-2.4624302,.01438132,**,4453,291,.4426422412249073
min20,provyr_baseyr_fe,cur_top_org_share_total,-.0192344149774704,.014370792,-1.338438,.18180205,,4453,291,.4426422412249073
min20,province_year_fe,base_top_firm_share_total,.0050499405577709,.01121664,.45021865,.65288919,,4453,291,.0981652243964907
min20,provyr_baseyr_fe,base_top_firm_share_total,.0002542229391196,.0099979509,.025427505,.97973144,,4453,291,.0981652243964907
