block,eventdef,spec,outcome,coef,p,sig,note
event,scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,-0.00595494496,0.47394544,,pre_p=0.474; post_sig_pos=0; ntreat=79
event,scope_ge_1,province_year_fe,top10_turnover_prev_share,-0.0235467698,0.18305787,,pre_p=0.183; post_sig_pos=0; ntreat=79
event,scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,-0.0015449864800000002,0.86328882,,pre_p=0.863; post_sig_pos=0; ntreat=79
event,scope_ge_1,province_year_fe,top20_turnover_prev_share,-0.017235446539999998,0.86850607,,pre_p=0.869; post_sig_pos=0; ntreat=79
event,scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,-0.02277664466,0.42537862,,pre_p=0.425; post_sig_pos=0; ntreat=79
event,scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,-0.0278353688,0.18113549,,pre_p=0.181; post_sig_pos=0; ntreat=79
event,scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,-0.011493808560000002,0.80602139,,pre_p=0.806; post_sig_pos=0; ntreat=79
event,scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,-0.01176983614,0.7818253,,pre_p=0.782; post_sig_pos=0; ntreat=79
event,scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,0.05725439919999999,0.1783863,,pre_p=0.178; post_sig_pos=4; ntreat=66
event,scope_ge_2,province_year_fe,top10_turnover_prev_share,0.0287873808,0.27450961,,pre_p=0.275; post_sig_pos=1; ntreat=66
event,scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,0.030131481499999994,0.20198733,,pre_p=0.202; post_sig_pos=0; ntreat=66
event,scope_ge_2,province_year_fe,top20_turnover_prev_share,-0.0026297287200000006,0.4261789,,pre_p=0.426; post_sig_pos=0; ntreat=66
event,scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,0.0556057601,0.12807086,,pre_p=0.128; post_sig_pos=3; ntreat=66
event,scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_share,0.03232626079999999,0.15996078,,pre_p=0.160; post_sig_pos=1; ntreat=66
event,scope_ge_2,provyr_baseyr_fe,top20_turnover_prev_pat_share,0.033934750272000005,0.2515544,,pre_p=0.252; post_sig_pos=3; ntreat=66
event,scope_ge_2,provyr_baseyr_fe,top20_turnover_prev_share,0.00797494106,0.45851383,,pre_p=0.459; post_sig_pos=0; ntreat=66
event,scope_ge_3,province_year_fe,top10_turnover_prev_pat_share,0.02159720968,0.02624603,,pre_p=0.026; post_sig_pos=1; ntreat=46
event,scope_ge_3,province_year_fe,top10_turnover_prev_share,-0.0186920166,0.10214873,,pre_p=0.102; post_sig_pos=0; ntreat=46
event,scope_ge_3,province_year_fe,top20_turnover_prev_pat_share,0.00987695472,0.028865537,,pre_p=0.029; post_sig_pos=1; ntreat=46
event,scope_ge_3,province_year_fe,top20_turnover_prev_share,-0.02886303314,0.62872279,,pre_p=0.629; post_sig_pos=0; ntreat=46
event,scope_ge_3,provyr_baseyr_fe,top10_turnover_prev_pat_share,0.0208347438,0.81341493,,pre_p=0.813; post_sig_pos=1; ntreat=46
event,scope_ge_3,provyr_baseyr_fe,top10_turnover_prev_share,-0.010091712800000003,0.25452477,,pre_p=0.255; post_sig_pos=0; ntreat=46
event,scope_ge_3,provyr_baseyr_fe,top20_turnover_prev_pat_share,0.0139355396,0.44888404,,pre_p=0.449; post_sig_pos=0; ntreat=46
event,scope_ge_3,provyr_baseyr_fe,top20_turnover_prev_share,-0.014714282259999998,0.84303182,,pre_p=0.843; post_sig_pos=0; ntreat=46
