eventdef,spec,outcome,event,rel,coef,se,t,p,sig,preF,prep,N,N_city,N_treated_city,mean_y
scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,es_m4,-4,-.017892966,.029088924,-.61511272,.53908318,,.8385390827526478,.47394544,3489,233,79,.4852340126661307
scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,es_m3,-3,-.04737635,.030847613,-1.5358189,.12594542,,.8385390827526478,.47394544,3489,233,79,.4852340126661307
scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,es_m2,-2,-.019534875,.023417668,-.83419383,.40502986,,.8385390827526478,.47394544,3489,233,79,.4852340126661307
scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,es_0,0,-.022321962,.027130544,-.8227613,.41148859,,.8385390827526478,.47394544,3489,233,79,.4852340126661307
scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,es_p1,1,-.013708454,.03195766,-.42895675,.66835272,,.8385390827526478,.47394544,3489,233,79,.4852340126661307
scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,es_p2,2,.0075399512,.035631951,.21160647,.83259982,,.8385390827526478,.47394544,3489,233,79,.4852340126661307
scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,es_p3,3,-.019085256,.036773704,-.51899201,.60426104,,.8385390827526478,.47394544,3489,233,79,.4852340126661307
scope_ge_1,province_year_fe,top10_turnover_prev_pat_share,es_p4,4,.017800996,.032662291,.54500145,.58627605,,.8385390827526478,.47394544,3489,233,79,.4852340126661307
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_m4,-4,.015780749,.030290714,.52097642,.60288006,,.9331275102120352,.42537862,3489,233,79,.4852340126661307
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_m3,-3,-.030927304,.032479595,-.95220721,.3419829,,.9331275102120352,.42537862,3489,233,79,.4852340126661307
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_m2,-2,-.012356658,.02447149,-.50494099,.61407959,,.9331275102120352,.42537862,3489,233,79,.4852340126661307
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_0,0,-.034296587,.027060814,-1.2673894,.20628674,,.9331275102120352,.42537862,3489,233,79,.4852340126661307
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_p1,1,-.030636901,.032256115,-.94980133,.34320158,,.9331275102120352,.42537862,3489,233,79,.4852340126661307
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_p2,2,-.0047427383,.037241928,-.12734942,.89877415,,.9331275102120352,.42537862,3489,233,79,.4852340126661307
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_p3,3,-.029879354,.038439881,-.77730089,.43777314,,.9331275102120352,.42537862,3489,233,79,.4852340126661307
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_p4,4,-.014327643,.033850443,-.42326307,.67249542,,.9331275102120352,.42537862,3489,233,79,.4852340126661307
scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,es_m4,-4,-.014083612,.0279471,-.5039382,.61478299,,.2471891726982964,.86328882,3489,233,79,.5044587856938711
scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,es_m3,-3,-.02224014,.025929168,-.85772669,.39192861,,.2471891726982964,.86328882,3489,233,79,.5044587856938711
scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,es_m2,-2,-.0056623337,.018867604,-.30010879,.76436293,,.2471891726982964,.86328882,3489,233,79,.5044587856938711
scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,es_0,0,-.022623675,.023064664,-.98088038,.32767349,,.2471891726982964,.86328882,3489,233,79,.5044587856938711
scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,es_p1,1,-.008418872,.027984004,-.30084586,.76380146,,.2471891726982964,.86328882,3489,233,79,.5044587856938711
scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,es_p2,2,.022400085,.0305578,.7330398,.46427417,,.2471891726982964,.86328882,3489,233,79,.5044587856938711
scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,es_p3,3,-.0066107172,.030489568,-.21681897,.82853997,,.2471891726982964,.86328882,3489,233,79,.5044587856938711
scope_ge_1,province_year_fe,top20_turnover_prev_pat_share,es_p4,4,.0075282468,.029816125,.25248912,.80088657,,.2471891726982964,.86328882,3489,233,79,.5044587856938711
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_m4,-4,.022281084,.028855076,.77217209,.44079837,,.3267499899695782,.80602139,3489,233,79,.5044587856938711
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_m3,-3,-.00044928977,.027449416,-.016367918,.98695493,,.3267499899695782,.80602139,3489,233,79,.5044587856938711
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_m2,-2,.0028118677,.019548127,.14384332,.88574904,,.3267499899695782,.80602139,3489,233,79,.5044587856938711
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_0,0,-.031380862,.023198875,-1.352689,.17747186,,.3267499899695782,.80602139,3489,233,79,.5044587856938711
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_p1,1,-.022324765,.028363449,-.78709626,.43202883,,.3267499899695782,.80602139,3489,233,79,.5044587856938711
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_p2,2,.015638165,.031362537,.49862564,.61851555,,.3267499899695782,.80602139,3489,233,79,.5044587856938711
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_p3,3,-.01106026,.032286439,-.34256676,.7322346,,.3267499899695782,.80602139,3489,233,79,.5044587856938711
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_p4,4,-.0083413208,.031573351,-.26418865,.7918691,,.3267499899695782,.80602139,3489,233,79,.5044587856938711
scope_ge_1,province_year_fe,top10_turnover_prev_share,es_m4,-4,-.01363774,.026231773,-.519894,.60363317,,1.630400701885456,.18305787,3489,233,79,.6350421051194912
scope_ge_1,province_year_fe,top10_turnover_prev_share,es_m3,-3,-.049602937,.024364928,-2.0358336,.042903475,**,1.630400701885456,.18305787,3489,233,79,.6350421051194912
scope_ge_1,province_year_fe,top10_turnover_prev_share,es_m2,-2,-.019353963,.019209189,-1.0075366,.31472662,,1.630400701885456,.18305787,3489,233,79,.6350421051194912
scope_ge_1,province_year_fe,top10_turnover_prev_share,es_0,0,-.013427746,.02053022,-.65404791,.51372874,,1.630400701885456,.18305787,3489,233,79,.6350421051194912
scope_ge_1,province_year_fe,top10_turnover_prev_share,es_p1,1,-.021506436,.02663273,-.80751902,.42019466,,1.630400701885456,.18305787,3489,233,79,.6350421051194912
scope_ge_1,province_year_fe,top10_turnover_prev_share,es_p2,2,-.011345324,.028779931,-.39420956,.69378841,,1.630400701885456,.18305787,3489,233,79,.6350421051194912
scope_ge_1,province_year_fe,top10_turnover_prev_share,es_p3,3,-.038273316,.029420365,-1.3009124,.19457904,,1.630400701885456,.18305787,3489,233,79,.6350421051194912
scope_ge_1,province_year_fe,top10_turnover_prev_share,es_p4,4,-.033181027,.025287967,-1.312127,.19077402,,1.630400701885456,.18305787,3489,233,79,.6350421051194912
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,es_m4,-4,-.0014747783,.026336228,-.055998079,.95539153,,1.638844347759164,.18113549,3489,233,79,.6350421051194912
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,es_m3,-3,-.043746546,.02513002,-1.7408082,.083042949,*,1.638844347759164,.18113549,3489,233,79,.6350421051194912
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,es_m2,-2,-.018857446,.019153539,-.984541,.32587522,,1.638844347759164,.18113549,3489,233,79,.6350421051194912
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,es_0,0,-.015342413,.020163091,-.7609157,.44748011,,1.638844347759164,.18113549,3489,233,79,.6350421051194912
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,es_p1,1,-.031598594,.02619623,-1.2062268,.2289587,,1.638844347759164,.18113549,3489,233,79,.6350421051194912
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,es_p2,2,-.016872611,.029364562,-.57459098,.56612468,,1.638844347759164,.18113549,3489,233,79,.6350421051194912
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,es_p3,3,-.041733168,.030091647,-1.3868688,.16681282,,1.638844347759164,.18113549,3489,233,79,.6350421051194912
scope_ge_1,provyr_baseyr_fe,top10_turnover_prev_share,es_p4,4,-.033630058,.026213154,-1.2829459,.20079121,,1.638844347759164,.18113549,3489,233,79,.6350421051194912
scope_ge_1,province_year_fe,top20_turnover_prev_share,es_m4,-4,.0029767223,.023487607,.12673587,.89925921,,.2398333911964178,.86850607,3489,233,79,.6791843673679843
scope_ge_1,province_year_fe,top20_turnover_prev_share,es_m3,-3,-.0096675875,.018106014,-.53394347,.59389186,,.2398333911964178,.86850607,3489,233,79,.6791843673679843
scope_ge_1,province_year_fe,top20_turnover_prev_share,es_m2,-2,.0045383591,.015204947,.29847911,.76560467,,.2398333911964178,.86850607,3489,233,79,.6791843673679843
scope_ge_1,province_year_fe,top20_turnover_prev_share,es_0,0,-.028328251,.017181786,-1.6487373,.10055491,,.2398333911964178,.86850607,3489,233,79,.6791843673679843
scope_ge_1,province_year_fe,top20_turnover_prev_share,es_p1,1,-.013344326,.020776687,-.64227402,.52132946,,.2398333911964178,.86850607,3489,233,79,.6791843673679843
scope_ge_1,province_year_fe,top20_turnover_prev_share,es_p2,2,-.0026352783,.023091234,-.11412463,.90923768,,.2398333911964178,.86850607,3489,233,79,.6791843673679843
scope_ge_1,province_year_fe,top20_turnover_prev_share,es_p3,3,-.0070604924,.020677563,-.34145671,.73306888,,.2398333911964178,.86850607,3489,233,79,.6791843673679843
scope_ge_1,province_year_fe,top20_turnover_prev_share,es_p4,4,-.034808885,.022988964,-1.5141563,.13134734,,.2398333911964178,.86850607,3489,233,79,.6791843673679843
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,es_m4,-4,.018641282,.023138115,.80565256,.42126817,,.3601722477468804,.7818253,3489,233,79,.6791843673679843
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,es_m3,-3,.0026833739,.018472686,.14526169,.88463038,,.3601722477468804,.7818253,3489,233,79,.6791843673679843
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,es_m2,-2,.012236872,.015297316,.79993588,.42456627,,.3601722477468804,.7818253,3489,233,79,.6791843673679843
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,es_0,0,-.030936394,.017504435,-1.7673459,.078484923,*,.3601722477468804,.7818253,3489,233,79,.6791843673679843
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,es_p1,1,-.01840381,.021295339,-.8642177,.38836095,,.3601722477468804,.7818253,3489,233,79,.6791843673679843
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,es_p2,2,.0024372959,.023538239,.10354623,.91761893,,.3601722477468804,.7818253,3489,233,79,.6791843673679843
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,es_p3,3,.0021811954,.022332622,.097668573,.92227978,,.3601722477468804,.7818253,3489,233,79,.6791843673679843
scope_ge_1,provyr_baseyr_fe,top20_turnover_prev_share,es_p4,4,-.014127468,.024129361,-.58548868,.55878824,,.3601722477468804,.7818253,3489,233,79,.6791843673679843
scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,es_m4,-4,-.0047218571,.029915625,-.15783916,.87469977,,1.648932994457336,.1783863,4119,275,66,.4690563569268097
scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,es_m3,-3,-.033239357,.03185422,-1.0434837,.29764411,,1.648932994457336,.1783863,4119,275,66,.4690563569268097
scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,es_m2,-2,.019989414,.026523303,.75365484,.45170364,,1.648932994457336,.1783863,4119,275,66,.4690563569268097
scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,es_0,0,.013999458,.028507061,.49108738,.62375778,,1.648932994457336,.1783863,4119,275,66,.4690563569268097
scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,es_p1,1,.06402158,.03096286,2.0676894,.03960789,**,1.648932994457336,.1783863,4119,275,66,.4690563569268097
scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,es_p2,2,.057894934,.03252016,1.7802783,.076138481,*,1.648932994457336,.1783863,4119,275,66,.4690563569268097
scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,es_p3,3,.0793363,.033660647,2.3569453,.019129736,**,1.648932994457336,.1783863,4119,275,66,.4690563569268097
scope_ge_2,province_year_fe,top10_turnover_prev_pat_share,es_p4,4,.071019724,.029405672,2.4151709,.016382715,**,1.648932994457336,.1783863,4119,275,66,.4690563569268097
scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_m4,-4,.03754225,.029684709,1.2646999,.20705354,,1.910744003186589,.12807086,4119,275,66,.4690563569268097
scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_m3,-3,-.017055864,.032706007,-.52149028,.60244656,,1.910744003186589,.12807086,4119,275,66,.4690563569268097
scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_m2,-2,.026157022,.02885369,.90653992,.36544666,,1.910744003186589,.12807086,4119,275,66,.4690563569268097
scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_0,0,.0072467695,.028183481,.25712827,.79727274,,1.910744003186589,.12807086,4119,275,66,.4690563569268097
scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_p1,1,.068437621,.032883484,2.0812156,.038342714,**,1.910744003186589,.12807086,4119,275,66,.4690563569268097
scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_p2,2,.066847093,.034415442,1.9423574,.05311837,*,1.910744003186589,.12807086,4119,275,66,.4690563569268097
scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_p3,3,.090411723,.036153562,2.5007694,.012976628,**,1.910744003186589,.12807086,4119,275,66,.4690563569268097
scope_ge_2,provyr_baseyr_fe,top10_turnover_prev_pat_share,es_p4,4,.045085594,.030326733,1.4866617,.13825394,,1.910744003186589,.12807086,4119,275,66,.4690563569268097
scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,es_m4,-4,-.021871498,.026686825,-.81956166,.41317835,,1.549599076962196,.20198733,4119,275,66,.4878037599304464
scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,es_m3,-3,-.036572967,.02557895,-1.4298073,.15391156,,1.549599076962196,.20198733,4119,275,66,.4878037599304464
scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,es_m2,-2,.0073029539,.022276178,.32783693,.74328536,,1.549599076962196,.20198733,4119,275,66,.4878037599304464
scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,es_0,0,.0016960095,.02133799,.079483099,.93670642,,1.549599076962196,.20198733,4119,275,66,.4878037599304464
scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,es_p1,1,.036802005,.024942845,1.4754534,.14123888,,1.549599076962196,.20198733,4119,275,66,.4878037599304464
scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,es_p2,2,.037737254,.028100548,1.3429365,.18040389,,1.549599076962196,.20198733,4119,275,66,.4878037599304464
scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,es_p3,3,.042552102,.028221915,1.507768,.13276602,,1.549599076962196,.20198733,4119,275,66,.4878037599304464
scope_ge_2,province_year_fe,top20_turnover_prev_pat_share,es_p4,4,.031870037,.023794422,1.3393911,.18155332,,1.549599076962196,.20198733,4119,275,66,.4878037599304464
scope_ge_2,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_m4,-4,.015711116,.025823159,.60841185,.54341841,,1.372191497394559,.2515544,4119,275,66,.4878037599304464
scope_ge_2,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_m3,-3,-.023835368,.025488095,-.93515688,.35053086,,1.372191497394559,.2515544,4119,275,66,.4878037599304464
scope_ge_2,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_m2,-2,.013492137,.023134049,.58321553,.56022793,,1.372191497394559,.2515544,4119,275,66,.4878037599304464
scope_ge_2,provyr_baseyr_fe,top20_turnover_prev_pat_share,es_0,0,-.00077192264,.021185681,-.036436055,.97096121,,1.372191497394559,.2515544,4119,275,66,.4878037599304464
