sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
all,city_year,t10_new_firm_top,-.0067847183335819,.010459676,-.64865476,.51707488,,4359,291,.28330603
all,provyr_base,t10_new_firm_top,.0110142868825492,.013721354,.80271137,.42281047,,4289,286,.28330603
all,provyr_base_policy,t10_new_firm_top,.0221185592296706,.015442786,1.4322908,.15315649,,4289,286,.28330603
all,city_year,t10_new_ind_top,.0510873595793554,.0099588828,5.1298285,5.3156282e-07,***,4359,291,.12384276
all,provyr_base,t10_new_ind_top,.0142240628502889,.012307677,1.1557065,.24876916,,4289,286,.12384276
all,provyr_base_policy,t10_new_ind_top,.002794308179588,.013392893,.20864113,.83487743,,4289,286,.12384276
all,city_year,t10_new_org_top,-.0008255424626571,.010891331,-.075798124,.939632,,4359,291,.32580566
all,provyr_base,t10_new_org_top,.0212952628325723,.01421108,1.4984971,.13511091,,4289,286,.32580566
all,provyr_base_policy,t10_new_org_top,.0320414910525398,.015430517,2.0765016,.038743615,**,4289,286,.32580566
all,city_year,t10_new_kn_top,.000237189371644,.0031342593,.075676374,.93972874,,4359,291,.033051133
all,provyr_base,t10_new_kn_top,.0055762380455711,.0050784228,1.0980256,.27312011,,4289,286,.033051133
all,provyr_base_policy,t10_new_kn_top,.0052607078126703,.005604466,.93866354,.34869835,,4289,286,.033051133
all,city_year,t10_new_univ_top,.0037306720119288,.0026221778,1.4227381,.15588689,,4359,291,.02284001
all,provyr_base,t10_new_univ_top,.0069020797880851,.0045062141,1.5316803,.12671056,,4289,286,.02284001
all,provyr_base_policy,t10_new_univ_top,.006091230029412,.0052777464,1.1541346,.24941184,,4289,286,.02284001
all,city_year,t10_new_res_top,-.0014018409654481,.0013615892,-1.0295624,.30407339,,4359,291,.0064041084
all,provyr_base,t10_new_res_top,-.000667218897841,.0017518641,-.38086224,.7035892,,4289,286,.0064041084
all,provyr_base_policy,t10_new_res_top,-.0003228846464141,.0018492262,-.17460527,.86151379,,4289,286,.0064041084
all,city_year,t20_new_firm_top,-.0199379194891936,.0088090273,-2.263351,.024353184,**,4359,291,.29003611
all,provyr_base,t20_new_firm_top,.0065785530454065,.012816107,.51330358,.60813665,,4289,286,.29003611
all,provyr_base_policy,t20_new_firm_top,.0189772826310789,.014499525,1.3088211,.19164935,,4289,286,.29003611
all,city_year,t20_new_ind_top,.0500816807724992,.0092749745,5.3996568,1.3915670e-07,***,4359,291,.14195885
all,provyr_base,t20_new_ind_top,.0162099417480085,.011713685,1.3838464,.16748831,,4289,286,.14195885
all,provyr_base_policy,t20_new_ind_top,.0048629263904096,.012782076,.38044885,.70389563,,4289,286,.14195885
all,city_year,t20_new_org_top,-.0169737120156259,.0093289921,-1.8194584,.069872566,*,4359,291,.32630584
all,provyr_base,t20_new_org_top,.0110341688766401,.013616153,.81037349,.41840172,,4289,286,.32630584
all,provyr_base_policy,t20_new_org_top,.0235060458833626,.014389397,1.6335672,.10345393,,4289,286,.32630584
all,city_year,t20_new_kn_top,-.0023823087446686,.0022831939,-1.0434107,.29762715,,4359,291,.025856121
all,provyr_base,t20_new_kn_top,.0017674611797912,.0039962362,.44228148,.65862095,,4289,286,.025856121
all,provyr_base_policy,t20_new_kn_top,.0020632906565646,.0044341101,.46532238,.64205599,,4289,286,.025856121
all,city_year,t20_new_univ_top,.0013669180543224,.0018103996,.75503671,.45083973,,4359,291,.016080366
all,provyr_base,t20_new_univ_top,.0023446560056855,.003617208,.64819497,.51738071,,4289,286,.016080366
all,provyr_base_policy,t20_new_univ_top,.0022348713779227,.0042423517,.5268001,.59874219,,4289,286,.016080366
all,city_year,t20_new_res_top,-.0022369258566961,.0010738303,-2.083128,.038115397,**,4359,291,.0060880105
all,provyr_base,t20_new_res_top,-.000855184025745,.0013317947,-.64212906,.52130556,,4289,286,.0060880105
all,provyr_base_policy,t20_new_res_top,-.0005556375223747,.0014758272,-.37649226,.7068311,,4289,286,.0060880105
min20,city_year,t10_new_firm_top,.0021118627343052,.010522381,.20070198,.8410728,,4216,290,.28055188
min20,provyr_base,t10_new_firm_top,.0125591083723654,.013882077,.9046995,.36638874,,4142,286,.28055188
min20,provyr_base_policy,t10_new_firm_top,.0235349083237861,.015651992,1.5036367,.13378224,,4142,286,.28055188
min20,city_year,t10_new_ind_top,.0459841188305328,.0097379852,4.7221389,3.6445172e-06,***,4216,290,.11544532
min20,provyr_base,t10_new_ind_top,.0139914375767824,.012393415,1.1289413,.25987199,,4142,286,.11544532
min20,provyr_base_policy,t10_new_ind_top,.0022869384168779,.013455182,.1699671,.86515659,,4142,286,.11544532
min20,city_year,t10_new_org_top,.0071493108732688,.010872682,.65754807,.51135194,,4216,290,.32189712
min20,provyr_base,t10_new_org_top,.02220782495476,.014279623,1.5552109,.12100558,,4142,286,.32189712
min20,provyr_base_policy,t10_new_org_top,.0330022674468522,.015499399,2.129261,.034089781,**,4142,286,.32189712
min20,city_year,t10_new_kn_top,.0007761549196704,.003124736,.24839056,.80400866,,4216,290,.033187047
min20,provyr_base,t10_new_kn_top,.0043303316915485,.0049861716,.86846828,.38586876,,4142,286,.033187047
min20,provyr_base_policy,t10_new_kn_top,.0039541505331193,.0056011011,.7059595,.48078999,,4142,286,.033187047
min20,city_year,t10_new_univ_top,.0039683197205298,.0025817426,1.5370703,.1253702,,4216,290,.022990527
min20,provyr_base,t10_new_univ_top,.0064085604224593,.0043789824,1.4634817,.14443763,,4142,286,.022990527
min20,provyr_base_policy,t10_new_univ_top,.0059912396634402,.0052482155,1.1415765,.25458831,,4142,286,.022990527
min20,city_year,t10_new_res_top,-.0012584610611844,.001330994,-.94550472,.34519109,,4216,290,.0062951888
min20,provyr_base,t10_new_res_top,-.0015496598454558,.0016133465,-.96052516,.33760518,,4142,286,.0062951888
min20,provyr_base_policy,t10_new_res_top,-.001613113842042,.001651171,-.97695136,.32942173,,4142,286,.0062951888
min20,city_year,t20_new_firm_top,-.0134171648886328,.0088692708,-1.5127697,.13143091,,4216,290,.28755969
min20,provyr_base,t20_new_firm_top,.007900924733156,.012954498,.60989821,.5424152,,4142,286,.28755969
min20,provyr_base_policy,t20_new_firm_top,.0200369641805541,.014675146,1.3653673,.17321435,,4142,286,.28755969
min20,city_year,t20_new_ind_top,.0471355335940189,.0090620033,5.2014475,3.7514184e-07,***,4216,290,.13421743
min20,provyr_base,t20_new_ind_top,.0158397670944552,.011795309,1.3428869,.18037707,,4142,286,.13421743
min20,provyr_base_policy,t20_new_ind_top,.0039565253373846,.012825552,.30848771,.7579366,,4142,286,.13421743
min20,city_year,t20_new_org_top,-.0112791135937004,.0092886025,-1.2142961,.22562599,,4216,290,.3224194
min20,provyr_base,t20_new_org_top,.0121212251298275,.013690878,.88535047,.37671399,,4142,286,.3224194
min20,provyr_base_policy,t20_new_org_top,.0242002343201373,.014455026,1.6741743,.095193349,*,4142,286,.3224194
min20,city_year,t20_new_kn_top,-.001968713961481,.0022282244,-.88353491,.3776817,,4216,290,.025753934
min20,provyr_base,t20_new_kn_top,.0007180960995854,.0039287717,.18277878,.85510153,,4142,286,.025753934
min20,provyr_base_policy,t20_new_kn_top,.000681265609496,.0044446317,.15327831,.87828726,,4142,286,.025753934
min20,city_year,t20_new_univ_top,.0014810480181338,.0017293203,.85643363,.39246753,,4216,290,.015991934
min20,provyr_base,t20_new_univ_top,.0020260907404604,.0035391443,.57248038,.5674479,,4142,286,.015991934
min20,provyr_base_policy,t20_new_univ_top,.0020463642774136,.0042446447,.48210496,.63010144,,4142,286,.015991934
min20,city_year,t20_new_res_top,-.0021715054949932,.0010045164,-2.1617424,.03145884,**,4216,290,.0059839557
min20,provyr_base,t20_new_res_top,-.00176517606909,.0011612999,-1.5200002,.12961952,,4142,286,.0059839557
min20,provyr_base_policy,t20_new_res_top,-.0018587275449617,.0012265957,-1.5153546,.13079089,,4142,286,.0059839557
min50,city_year,t10_new_firm_top,.0112233921353606,.010720953,1.0468651,.29604265,,3977,288,.27443132
min50,provyr_base,t10_new_firm_top,.0164218117138604,.013770282,1.1925545,.23404285,,3895,284,.27443132
min50,provyr_base_policy,t10_new_firm_top,.0269903284608367,.015551753,1.7355167,.083737843,*,3895,284,.27443132
min50,city_year,t10_new_ind_top,.0371442353473002,.010097481,3.6785645,.0002800108,***,3977,288,.10399655
min50,provyr_base,t10_new_ind_top,.0092337702835216,.012929905,.71414059,.47572884,,3895,284,.10399655
min50,provyr_base_policy,t10_new_ind_top,-.0024684077024297,.013802126,-.17884257,.85818928,,3895,284,.10399655
min50,city_year,t10_new_org_top,.0153531493530703,.011076624,1.3860857,.16679668,,3977,288,.31416854
min50,provyr_base,t10_new_org_top,.0255778625043698,.013943673,1.8343704,.067648791,*,3895,284,.31416854
min50,provyr_base_policy,t10_new_org_top,.0362284406304793,.015243344,2.3766727,.018134758,**,3895,284,.31416854
min50,city_year,t10_new_kn_top,.0010040694525094,.0031087452,.32298222,.74694389,,3977,288,.033282943
min50,provyr_base,t10_new_kn_top,.0040994089407026,.005121774,.80038851,.42415711,,3895,284,.033282943
min50,provyr_base_policy,t10_new_kn_top,.0039781675414291,.005798602,.68605632,.49323925,,3895,284,.033282943
min50,city_year,t10_new_univ_top,.0040450172956114,.0026145745,1.5471035,.12294024,,3977,288,.023353064
min50,provyr_base,t10_new_univ_top,.0059718528004092,.0045119082,1.3235759,.18671218,,3895,284,.023353064
min50,provyr_base_policy,t10_new_univ_top,.0057512869474796,.005457113,1.0539066,.29282469,,3895,284,.023353064
min50,city_year,t10_new_res_top,-.0014137478879543,.0012621476,-1.120113,.26360208,,3977,288,.0059782397
min50,provyr_base,t10_new_res_top,-.0014879750295578,.0015997801,-.9301123,.35310566,,3895,284,.0059782397
min50,provyr_base_policy,t10_new_res_top,-.0014933298256842,.0016661048,-.89630002,.37085432,,3895,284,.0059782397
min50,city_year,t20_new_firm_top,-.0043992874088869,.009280676,-.47402659,.63584137,,3977,288,.28382227
min50,provyr_base,t20_new_firm_top,.0127328982738816,.012844326,.99132472,.32237387,,3895,284,.28382227
min50,provyr_base_policy,t20_new_firm_top,.0250544654561604,.0144552,1.7332493,.084140606,*,3895,284,.28382227
min50,city_year,t20_new_ind_top,.0366275776328724,.0094296103,3.8843153,.00012744509,***,3977,288,.12118292
min50,provyr_base,t20_new_ind_top,.010608232203691,.012259679,.86529446,.38761011,,3895,284,.12118292
min50,provyr_base_policy,t20_new_ind_top,-.0017059493217332,.013137302,-.12985538,.8967731,,3895,284,.12118292
min50,city_year,t20_new_org_top,-.0036896143126993,.0096829524,-.38104227,.70345378,,3977,288,.31675902
min50,provyr_base,t20_new_org_top,.0166935628527989,.013467606,1.2395345,.21617451,,3895,284,.31675902
min50,provyr_base_policy,t20_new_org_top,.029148134359876,.014105206,2.0664804,.039692726,**,3895,284,.31675902
min50,city_year,t20_new_kn_top,-.0020656021736618,.0022260731,-.92791301,.3542324,,3977,288,.025553206
min50,provyr_base,t20_new_kn_top,.0006649426459022,.0039897505,.16666272,.86775446,,3895,284,.025553206
min50,provyr_base_policy,t20_new_kn_top,.0007994848524108,.0045788358,.1746044,.86151534,,3895,284,.025553206
